"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","NES_sign"
"GOCC_RESPIRASOME","GOCC_RESPIRASOME","GOCC_RESPIRASOME",76,0.770138806600404,1.74403869464481,1e-10,5.42571428571429e-08,4.72481203007519e-08,1722,"tags=78%, list=18%, signal=64%","UQCR11/NDUFB9/COX7B/HIGD2A/NDUFA4/COX6A1/NDUFS7/NDUFB2/COX5B/COX7A2/NDUFA1/UQCRH/CYCS/NDUFS5/COX4I1/NDUFA11/NDUFA6/COX6B1/COX6C/NDUFB7/COX5A/NDUFAB1/NDUFS6/SDHB/NDUFB8/NDUFB6/UQCRFS1/NDUFS8/NDUFB3/NDUFB4/UQCRQ/NDUFC2/NDUFA12/COX8A/CYC1/NDUFB10/UQCRB/NDUFB11/NDUFA2/NDUFV2/NDUFB5/UQCRC1/NDUFA13/COA6/UQCRC2/NDUFA3/NDUFS4/NDUFC1/NDUFS2/SDHC/STMP1/NDUFA9/COX7A2L/HIGD1A/NDUFB1/NDUFV3/NDUFA8/NDUFA10/SDHD","Positive"
"GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX","GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX","GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",109,0.71712489729251,1.64889601879384,1e-10,5.42571428571429e-08,4.72481203007519e-08,1722,"tags=63%, list=18%, signal=53%","UQCR11/NDUFB9/COX7B/NDUFA4/COX6A1/NDUFS7/MICOS10/NDUFB2/COX5B/COX7A2/NDUFA1/UQCRH/APOO/NDUFS5/COX4I1/NDUFA11/PHB/NDUFA6/COX6B1/COX6C/NDUFB7/DNAJC15/COX5A/NDUFAB1/NDUFS6/SDHB/NDUFB8/CHCHD10/NDUFB6/UQCRFS1/NDUFS8/NDUFB3/NDUFB4/UQCRQ/NDUFC2/NDUFA12/COX8A/CYC1/NDUFB10/UQCRB/NDUFB11/NDUFA2/NDUFV2/NDUFB5/UQCRC1/NDUFA13/PHB2/ROMO1/MCUB/SLC25A6/UQCRC2/NDUFA3/NDUFS4/TIMM17A/NDUFC1/NDUFS2/SDHC/NDUFA9/TIMM10/IMMP2L/COX7A2L/TIMM9/MTX1/TIMM17B/NDUFB1/NDUFV3/NDUFA8/NDUFA10/SDHD","Positive"
"GOMF_ELECTRON_TRANSFER_ACTIVITY","GOMF_ELECTRON_TRANSFER_ACTIVITY","GOMF_ELECTRON_TRANSFER_ACTIVITY",91,0.72077072739509,1.64475002458335,1e-10,5.42571428571429e-08,4.72481203007519e-08,1722,"tags=67%, list=18%, signal=56%","UQCR11/NDUFB9/COX7B/NDUFA4/CYB5A/COX6A1/NDUFS7/NDUFB2/COX5B/COX7A2/NDUFA1/UQCRH/CYBB/CYCS/NDUFS5/COX4I1/NDUFA6/COX6B1/AKR1B1/NDUFB7/COX5A/NDUFS6/SDHB/NDUFB8/NDUFB6/UQCRFS1/CYBA/NDUFS8/NDUFB3/NDUFB4/NDUFC2/NDUFA12/COX8A/CYC1/NDUFB10/NDUFA2/NDUFV2/NDUFB5/NCF2/UQCRC1/NDUFA13/ETFB/ADH5/NDUFA3/NDUFS4/NDUFC1/NDUFS2/SDHC/GLRX2/ETFA/NDUFA9/COX7A2L/ALDH2/NQO2/FDX1/NDUFB1/DEGS1/NDUFV3/NDUFA8/NDUFA10/SDHD","Positive"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX",220,0.673570741052641,1.58146744005474,1e-10,5.42571428571429e-08,4.72481203007519e-08,1995,"tags=62%, list=21%, signal=51%","UQCR11/NDUFB9/COX7B/VDAC1/NDUFA4/COX6A1/NDUFS7/MICOS10/BAX/NDUFB2/COX5B/COX7A2/NDUFA1/UQCRH/TIMM13/APOO/NDUFS5/MRPL41/COX4I1/NDUFA11/PHB/NDUFA6/COX6B1/COX6C/NDUFB7/DNAJC15/COX5A/NDUFAB1/NDUFS6/SDHB/NDUFB8/CHCHD10/NDUFB6/UQCRFS1/MRPL51/NDUFS8/NDUFB3/NDUFB4/UQCRQ/NDUFC2/NDUFA12/MRPS21/COX8A/CYC1/MRPS34/MRPL20/MRPL52/NDUFB10/UQCRB/TIMM8B/NDUFB11/NDUFA2/MRPL57/NDUFV2/NDUFB5/SLC25A5/UQCRC1/MRPS16/MRPL27/MRPL14/NDUFA13/PHB2/MRPS18C/MRPL3/ROMO1/MCUB/SLC25A6/TOMM5/MRPL13/HSD17B10/MRPL34/UQCRC2/MRPL33/MRPS15/MRPL36/MRPL55/NDUFA3/HADHA/MRPL18/NDUFS4/TIMM17A/MRPS5/NDUFC1/NDUFS2/SDHC/MRPL4/MRPS11/IDH3G/MRPL47/MRPL32/NDUFA9/TIMM10/MRPL22/MRPL28/TOMM20/MRPS10/MRPS18B/TOMM40/IMMP2L/COX7A2L/MRPS36/MRPL12/MRPL50/MRPL40/MRPS26/MRPL15/MRPS14/TIMM9/TRMT10C/MRPL42/MRPL11/MTX1/TIMM17B/NDUFB1/NDUFV3/MRPL17/NDUFA8/TOMM22/MRPS12/MRPS7/NDUFA10/MRPL35/SDHD/MRPL43/DNAJC19/MRPL16/MRPL37/MRPL54/MRPL24/MRPS6/PDHA1/MRPS18A/IDH3B/BCKDK/PPIF/CHCHD3/IMMT","Positive"
"GOBP_AEROBIC_RESPIRATION","GOBP_AEROBIC_RESPIRATION","GOBP_AEROBIC_RESPIRATION",127,0.672800136925988,1.55497862048808,1e-10,5.42571428571429e-08,4.72481203007519e-08,2268,"tags=65%, list=24%, signal=51%","NDUFB9/CHCHD2/NDUFA4/COX6A1/MDH1/NDUFS7/NDUFB2/COX5B/COX7A2/NDUFA1/BLOC1S1/UQCRH/CYCS/NDUFS5/COX4I1/GHITM/NDUFA6/NOP53/NDUFB7/DNAJC15/COX5A/PARK7/NDUFAB1/NDUFS6/SDHB/NDUFB8/CHCHD10/NDUFB6/UQCRFS1/NDUFS8/NDUFB3/NDUFB4/UQCRQ/NDUFC2/NDUFA12/CYC1/NDUFB10/UQCRB/NDUFA2/UQCC2/NDUFV2/ISCU/MDH2/NDUFB5/UQCRC1/COA6/UQCRC2/NDUFA3/IDH1/HIF1A/NDUFS4/NDUFC1/NDUFS2/SDHC/IDH3G/DGUOK/NDUFA9/STOML2/COX7A2L/MRPS36/NDUFB1/NDUFV3/OXA1L/NDUFA8/NDUFA10/ADSL/SDHD/UQCC3/PDHA1/IDH3B/PPIF/ARL2/SHMT2/SUCLG1/PDHB/IDH2/DLD/CCNB1/ACO2/NIPSNAP2/CAT/NDUFV1/CDK1","Positive"
"GOBP_CELLULAR_RESPIRATION","GOBP_CELLULAR_RESPIRATION","GOBP_CELLULAR_RESPIRATION",156,0.654008187276854,1.52106516614891,1e-10,5.42571428571429e-08,4.72481203007519e-08,2268,"tags=60%, list=24%, signal=47%","NDUFB9/PRELID1/CHCHD2/NDUFA4/COX6A1/MDH1/NDUFS7/NDUFB2/COX5B/COX7A2/NDUFA1/BLOC1S1/UQCRH/CYCS/NDUFS5/COX4I1/GHITM/NDUFA6/NOP53/NDUFB7/DNAJC15/COX5A/PARK7/NDUFAB1/NDUFS6/SDHB/NDUFB8/CHCHD10/NDUFB6/UQCRFS1/NDUFS8/NDUFB3/NDUFB4/UQCRQ/NDUFC2/NDUFA12/CYC1/NDUFB10/UQCRB/NDUFA2/UQCC2/NDUFV2/ISCU/MDH2/NDUFB5/UQCRC1/ETFB/COA6/UQCRC2/NDUFA3/IDH1/HIF1A/NDUFS4/NDUFC1/NDUFS2/SDHC/IDH3G/ETFA/DGUOK/NDUFA9/STOML2/IL10RB/IMMP2L/COX7A2L/MRPS36/MTLN/CISD1/SCO2/SLC25A13/NDUFB1/NDUFV3/OXA1L/NDUFA8/NDUFA10/ADSL/SDHD/IFNAR1/UQCC3/PDHA1/IDH3B/PPIF/ARL2/SHMT2/OPN3/SUCLG1/PDHB/IDH2/DLD/CCNB1/ACO2/NIPSNAP2/CAT/NDUFV1/CDK1","Positive"
"GOBP_ATP_METABOLIC_PROCESS","GOBP_ATP_METABOLIC_PROCESS","GOBP_ATP_METABOLIC_PROCESS",166,0.650784623466756,1.51593300042631,1e-10,5.42571428571429e-08,4.72481203007519e-08,1751,"tags=48%, list=18%, signal=40%","GAPDH/PKM/ENO1/ALDOA/TPI1/TSPO/NDUFB9/CHCHD2/NDUFA4/FBP1/COX6A1/NDUFS7/HSPA8/HSPA1A/NDUFB2/COX5B/COX7A2/NDUFA1/UQCRH/PGAM1/CYCS/NDUFS5/COX4I1/EIF6/GHITM/NDUFA6/NDUFB7/DNAJC15/COX5A/PARK7/NDUFAB1/STAT3/LDHA/NDUFS6/NDUFB8/CHCHD10/NDUFB6/UQCRFS1/ZBTB20/NDUFS8/NDUFB3/NDUFB4/FIS1/PGK1/UQCRQ/NDUFC2/NDUFA12/CYC1/NDUFB10/UQCRB/NDUFA2/HSPA1B/UQCC2/NDUFV2/ISCU/NDUFB5/UQCRC1/TREM2/COA6/UQCRC2/NDUFA3/HIF1A/NDUFS4/NDUFC1/NDUFS2/SDHC/DGUOK/NDUFA9/STOML2/COX7A2L/PFKL/INSR/SLC25A13/NDUFB1/NDUFV3/APP/NDUFA8/NDUFA10/SDHD/NUDT5","Positive"
"GOCC_VESICLE_LUMEN","GOCC_VESICLE_LUMEN","GOCC_VESICLE_LUMEN",204,0.642785809700486,1.50646144750187,1e-10,5.42571428571429e-08,4.72481203007519e-08,2178,"tags=55%, list=23%, signal=43%","CTSD/HSP90AA1/SLPI/TUBB/PKM/CAP1/ANXA2/ALDOA/CTSC/HMGB1/RNASET2/TIMP1/HEXB/HSP90AB1/PSMB1/SDCBP/CTSA/SRP14/ARPC5/GRN/HSPA8/MIF/PGAM1/PPIA/PA2G4/PSMD7/TRAPPC1/PRDX6/LYZ/CSTB/TIMP2/SELENOP/CTSZ/PSMA2/ATG7/S100A11/CREG1/ILF2/PRDX4/GSN/PYCARD/PSMA5/ADA2/PDXK/TUBB4B/DYNLT1/DPP7/PSMC3/GMFG/RETN/PSMD6/CCT8/MNDA/ACTN1/XRCC5/VAT1/PSMB7/S100A9/APRT/NFKB1/SERPING1/KPNB1/GDI2/CCT2/NIT2/FUCA2/SCCPDH/CFD/IDH1/GCA/ACTR10/CYB5R3/ARMC8/PLAC8/GLA/PSMD14/PSMD13/NME2/PSMD2/PFKL/FABP5/PTPN6/PSMC2/FGR/SERPINB1/ACTR2/PSMD3/APP/IMPDH2/PSMD11/TEX264/ERP44/NEU1/CSNK2B/MAGED2/XRCC6/GYG1/FERMT3/GUSB/NAPRT/GM2A/LGALS3BP/DOCK2/GNS/FAM3C/HP/COMMD9/HEBP2/SERPINE1/ACAA1/CTSW/VEGFA","Positive"
"GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS","GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS","GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS",201,0.630680807733723,1.4774069640848,1e-10,5.42571428571429e-08,4.72481203007519e-08,2278,"tags=53%, list=24%, signal=41%","IL6ST/NDUFB9/PRELID1/CHCHD2/NDUFA4/COX6A1/MDH1/NDUFS7/NDUFB2/COX5B/COX7A2/NDUFA1/BLOC1S1/UQCRH/CYCS/NDUFS5/COX4I1/GHITM/NDUFA6/NOP53/NDUFB7/PPP1CA/DNAJC15/COX5A/PARK7/NDUFAB1/NDUFS6/SDHB/NDUFB8/CHCHD10/NDUFB6/UQCRFS1/NDUFS8/NDUFB3/NDUFB4/UQCRQ/NDUFC2/NDUFA12/CYC1/NDUFB10/UQCRB/NDUFA2/UQCC2/ACADVL/NDUFV2/ISCU/MDH2/NDUFB5/UQCRC1/PTGES3/ETFB/COA6/PPP1CC/UQCRC2/PHLDA2/SELENOS/NDUFA3/IDH1/HIF1A/NDUFS4/NDUFC1/NDUFS2/SDHC/IDH3G/ETFA/DGUOK/NDUFA9/STOML2/IL10RB/UGP2/IMMP2L/COX7A2L/MRPS36/MTLN/CISD1/SCO2/INSR/SLC25A13/NDUFB1/NDUFV3/OXA1L/NDUFA8/NDUFA10/ADSL/SDHD/IFNAR1/UQCC3/PDHA1/GYG1/IDH3B/PPIF/ARL2/SHMT2/OPN3/SUCLG1/PDHB/IDH2/GAA/DLD/PER2/CCNB1/ACO2/NIPSNAP2/CAT/NDUFV1/CDK1/GSK3B","Positive"
"GOCC_SECRETORY_GRANULE","GOCC_SECRETORY_GRANULE","GOCC_SECRETORY_GRANULE",478,0.61796704528458,1.47219560793022,1e-10,5.42571428571429e-08,4.72481203007519e-08,2196,"tags=48%, list=23%, signal=39%","SFTPA1/CTSD/CD68/SFTPC/SFTPB/FTH1/HSP90AA1/CD63/SLPI/TUBB/PKM/CAP1/SCGB1A1/CTSL/ANXA2/CALR/ALDOA/CTSB/DYNLL1/CTSC/HMGB1/RNASET2/TIMP1/HEXB/HSP90AB1/FCER1G/SFTPA2/PSMB1/LGALS3/SDCBP/CTSA/SRP14/HSPD1/ARPC5/GRN/HSPA8/HSPA1A/MIF/CD9/ASAH1/CYBB/TMED10/PGAM1/LAMP2/SOD1/MCEMP1/PLAUR/CD59/SLIRP/BSG/PPIA/HEXA/BRI3/PSAP/RAB5C/PA2G4/PSMD7/RAC1/TRAPPC1/SFTA3/MGST1/PRDX6/LYZ/RAB13/CSTB/TIMP2/LAMTOR1/TYROBP/CYBA/CTSS/LAMP1/SELENOP/CTSZ/PSMA2/NDUFC2/VDAC2/ATG7/SNX10/APLP2/S100A11/HSPA1B/CREG1/ILF2/PRDX4/GSN/STXBP2/CST3/PYCARD/PSMA5/NAPSA/ADA2/PDXK/TMEM179B/TUBB4B/NCF2/DYNLT1/STX3/DPP7/PSMC3/GMFG/RETN/LAIR1/CD14/PSMD6/CCT8/DDOST/MNDA/ACTN1/C3AR1/XRCC5/VAT1/FPR1/PSMB7/S100A9/B4GALT1/APRT/TMED2/LAMTOR2/NFKB1/TCP1/SERPING1/ADGRE5/VAMP8/KPNB1/OLR1/GDI2/MFGE8/CCT2/NIT2/FUCA2/SPAG9/SCCPDH/CFD/IDH1/GCA/ACTR10/BST2/CMTM6/COL1A1/DENND4C/CYB5R3/SYPL1/ARMC8/RHOG/PLAC8/PTPRJ/GLIPR1/GLA/VAPA/CKAP4/PSMD14/PECAM1/PSMD13/CD47/NME2/SLC11A1/PSMD2/AGPAT2/LTA4H/CLEC12A/PFKL/FABP5/PTPN6/GNAI3/STK10/PSMC2/PDAP1/FGR/FCGR2A/SERPINB1/ACTR2/RAP1B/DEGS1/SERPINB6/MLEC/PSMD3/SRI/APP/IMPDH2/IL1B/STX7/PLAU/ANXA11/CDK13/PSMD11/TEX264/ERP44/NEU1/CSNK2B/ANXA7/CD53/PRCP/TMEM30A/IQGAP2/ADGRE3/MAGED2/C5AR1/YPEL5/ITGAV/XRCC6/RAB18/GYG1/SIRPA/FERMT3/GUSB/NAPRT/GM2A/LGALS3BP/DOCK2/GNS/ITPR2/FAM3C/DOK3/VPS35L/HP/COMMD9/HEBP2/COMMD3/RAB14/SERPINE1/ACAA1/PTAFR/CTSW/NUDT1/GAA/VEGFA/LHFPL2/DLD","Positive"
