"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ND4L",1.35213641360823e-29,1.22523071814435,0.861,0.408,3.66699395370552e-25,"Normal","ND4L"
"ATP6",3.06251781991419e-28,1.23588003446798,0.861,0.412,8.30554832760727e-24,"Normal","ATP6"
"COX2",8.22312861918292e-28,1.20412531465475,0.856,0.416,2.23011248152241e-23,"Normal","COX2"
"COX1",9.68903629053201e-28,1.21292160750687,0.866,0.416,2.62766664199228e-23,"Normal","COX1"
"ND2",2.25749372715746e-27,1.19818839928971,0.856,0.416,6.12232298805102e-23,"Normal","ND2"
"ND1",9.23011976198214e-26,1.19151395193153,0.841,0.399,2.50320847944956e-21,"Normal","ND1"
"CYTB",2.15341856667563e-25,1.16038762527617,0.844,0.416,5.8400711528243e-21,"Normal","CYTB"
"ND5",3.35895397183177e-25,1.31639738033439,0.781,0.361,9.10948317160775e-21,"Normal","ND5"
"MTCO1P12",1.50141829214601e-24,1.19295963413218,0.821,0.412,4.07184640829999e-20,"Normal","MTCO1P12"
"ATP8",7.19560668006369e-24,1.16016662429255,0.834,0.412,1.95144853163327e-19,"Normal","ATP8"
"ND3",1.66549424633624e-23,1.128601180883,0.831,0.403,4.51682039606389e-19,"Normal","ND3"
"LINC00486",3.10640452743706e-22,1.28362755462294,0.741,0.352,8.42456907840932e-18,"Normal","LINC00486"
"GPC5",2.39831362581927e-21,1.53536267930646,0.655,0.318,6.50422655322186e-17,"Normal","GPC5"
"MTND1P23",2.23135990530072e-20,1.18061634930534,0.738,0.378,6.05144806317555e-16,"Normal","MTND1P23"
"MAGI1",1.03631536231137e-19,0.896367656264365,0.854,0.618,2.81048726258845e-15,"Normal","MAGI1"
"MTATP8P1",2.26325994335414e-19,1.11261055264298,0.771,0.399,6.13796096637643e-15,"Normal","MTATP8P1"
"NEBL",4.69912696989278e-19,0.830006329773168,0.841,0.67,1.27440323423492e-14,"Normal","NEBL"
"ND6",5.45796177790032e-19,1.3528312898231,0.65,0.313,1.48019923416657e-14,"Normal","ND6"
"MTATP6P1",9.92740384134514e-19,1.1492234149039,0.728,0.352,2.6923119217728e-14,"Normal","MTATP6P1"
"MECOM",2.75795575881867e-18,1.12309457220516,0.756,0.532,7.47957601791624e-14,"Normal","MECOM"
"PARD3",5.81653420971139e-17,0.978239581251578,0.763,0.511,1.57744407767373e-12,"Normal","PARD3"
"MTND2P28",2.15777547754905e-15,1.19807980581307,0.607,0.296,5.85188709511303e-11,"Normal","MTND2P28"
"CCSER1",1.31053864175193e-14,1.04614395771851,0.655,0.352,3.55418079643123e-10,"Normal","CCSER1"
"PRKG1",4.03595318313617e-14,1.31714830541511,0.577,0.309,1.09455050326653e-09,"Normal","PRKG1"
"PATJ",1.43198158323811e-13,0.783295711890889,0.766,0.597,3.88353405374175e-09,"Normal","PATJ"
"PDE4D",2.06784856418809e-13,1.06063700899359,0.683,0.485,5.60800530607811e-09,"Normal","PDE4D"
"CUX1",2.15902956072858e-13,0.700551065825258,0.801,0.67,5.8552881686959e-09,"Normal","CUX1"
"CYP4Z2P",3.07980156493185e-13,1.20533658893857,0.569,0.279,8.35242184409519e-09,"Normal","CYP4Z2P"
"LOC101928626",9.84955340683151e-13,0.990987764767749,0.635,0.339,2.67119888393271e-08,"Normal","LOC101928626"
"ADK",1.08515601848141e-12,0.94197200681933,0.683,0.498,2.94294312212157e-08,"Normal","ADK"
"ATXN1",1.13762132780386e-12,0.868979940964459,0.715,0.528,3.08522904100408e-08,"Normal","ATXN1"
"MTCO2P12",1.55171125373304e-12,1.17211292485328,0.549,0.275,4.20824092012401e-08,"Normal","MTCO2P12"
"NEDD4L",1.67129840708436e-12,0.511522815959463,0.889,0.768,4.53256128001279e-08,"Normal","NEDD4L"
"MED13L",1.49331113905169e-11,1.0010592169735,0.627,0.446,4.04985980910819e-07,"Normal","MED13L"
"LOC729732",1.60350369396346e-11,2.0850047568957,0.35,0.124,4.34870201802891e-07,"Normal","LOC729732"
"PHACTR1",1.71789969187826e-11,0.958414842860061,0.657,0.502,4.65894396437385e-07,"Normal","PHACTR1"
"FHIT",2.41416616885359e-11,1.38731882692218,0.491,0.262,6.54721864993095e-07,"Normal","FHIT"
"POLR2J3",3.68619275083016e-11,1.64940621571225,0.395,0.163,9.99695474025139e-07,"Normal","POLR2J3"
"GPHN",6.7443063637606e-11,1.58644547330326,0.448,0.236,1.82905588585187e-06,"Normal","GPHN"
