"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A1BG",0.000220105926330012,0.116886313258287,"COPD",5.1842953034388e-05,"AT2",0.0912087912087912,0.0439914163090129
"2","A2M",0.010129506296596,0.101778823290625,"COPD",0.00571535391553376,"AT2",0.0967032967032967,0.0622317596566524
"3","A4GALT",0.0279742497234552,0.0336558674936568,"COPD",0.0221643398475699,"AT2",0.0230769230769231,0.00965665236051502
"4","AACS",0.00298495038402613,0.0896717101732951,"Normal",0.00118953111989431,"AT2",0.067032967032967,0.108369098712446
"5","AADAC",1.40444013521193e-08,0.166449839791318,"Normal",1.10173770167635e-09,"AT2",0.0472527472527473,0.127682403433476
"6","AAGAB",0.0157668803772302,0.0743822112295571,"Normal",0.0102597585980878,"AT2",0.0615384615384615,0.092274678111588
"7","AAK1",0.0394954473810872,0.0668078217916063,"Normal",0.0355606195188412,"AT2",0.130769230769231,0.163090128755365
"8","AAMDC",0.0100259559069664,0.10260700346136,"Normal",0.00563420770901402,"AT2",0.148351648351648,0.1931330472103
"9","AAMP",0.00427749231065401,0.103663878924901,"Normal",0.00188246572761475,"AT2",0.202197802197802,0.263948497854077
"10","AARD",2.61531546948153e-06,0.129742373724153,"Normal",3.41083504060643e-07,"AT2",0.0494505494505494,0.11480686695279
"11","AARS",0.00157413593598295,0.134923876413627,"Normal",0.000551116843866083,"AT2",0.0978021978021978,0.145922746781116
"12","AASDH",0.037306064775517,0.0508375924836373,"Normal",0.0328943061837075,"AT2",0.0593406593406593,0.0847639484978541
"13","AASS",0.0314501580279233,0.107907758756371,"Normal",0.0259792244780571,"AT2",0.126373626373626,0.157725321888412
"14","ABC7-42404400C24.1",0.00108350034643941,0.0227025999056559,"Normal",0.000351462948227257,"AT2",0,0.0139484978540773
"15","ABCA3",6.70308294173683e-13,0.687803142670196,"Normal",2.62917550175989e-14,"AT2",0.515384615384615,0.746781115879828
"16","ABCA4",0.0188596106574266,0.0142290892261644,"COPD",0.0130703347303766,"AT2",0.00659340659340659,0
"17","ABCA7",0.00428729158387993,0.0916760175507135,"Normal",0.00189519048419244,"AT2",0.0549450549450549,0.092274678111588
"18","ABCB5",0.048454773763129,0.00960228391021905,"Normal",0.0480053322827149,"AT2",0,0.00429184549356223
"19","ABCB6",0.048454773763129,0.00528723126524931,"Normal",0.0480053322827149,"AT2",0,0.00429184549356223
"20","ABCB7",0.000990018063227004,0.0909520780223762,"Normal",0.000315897114899065,"AT2",0.0637362637362637,0.110515021459227
"21","ABCC1",0.032472259742214,0.0392469950134969,"Normal",0.0272056273031453,"AT2",0.021978021978022,0.0396995708154506
"22","ABCC3",8.42549278960268e-05,0.0668195789580378,"Normal",1.70856237388687e-05,"AT2",0.00989010989010989,0.0418454935622318
"23","ABCC5",0.0138657910818897,0.0516696422814703,"Normal",0.00869637181405828,"AT2",0.0230769230769231,0.0450643776824034
"24","ABCC6",0.00918593864713079,0.106091471190975,"Normal",0.00499449057958687,"AT2",0.135164835164835,0.180257510729614
"25","ABCD4",0.0168660472369158,0.0493922231189576,"Normal",0.0112263903357702,"AT2",0.0681318681318681,0.100858369098712
"26","ABCF1",0.00546071767471893,0.121909949688951,"Normal",0.00257667909891621,"AT2",0.175824175824176,0.227467811158798
"27","ABCF2",0.000168325814085523,0.0594691504515347,"Normal",3.76991723250966e-05,"AT2",0.0241758241758242,0.0643776824034335
"28","ABCG1",0.00518640422420524,0.0335270451572428,"Normal",0.0024187623544146,"AT2",0.00879120879120879,0.0278969957081545
"29","ABHD11",0.000207249303079141,0.121647220396771,"Normal",4.82050742208005e-05,"AT2",0.0912087912087912,0.152360515021459
