"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","AAAS",3.7897126741034e-05,0.296605894341057,"Normal",4.4085813846001e-06,"Airway Epithelial",0.0357142857142857,0.228571428571429
"2","AACS",0.0482262735105425,0.0725099715076256,"Normal",0.0479953764970992,"Airway Epithelial",0.0571428571428571,0.128571428571429
"3","AADACL2",0.0288816214380498,0.119139583411949,"COPD",0.0245164902476199,"Airway Epithelial",0.0357142857142857,0
"4","AADAT",0.00635373536783763,0.0998159585689765,"Normal",0.00350902465708217,"Airway Epithelial",0.00714285714285714,0.0785714285714286
"5","AAK1",0.0417614478936862,0.178735229945473,"Normal",0.0392216082831747,"Airway Epithelial",0.192857142857143,0.321428571428571
"6","AAMDC",3.75202948547745e-05,0.444333913797998,"Normal",4.34305906089364e-06,"Airway Epithelial",0.1,0.328571428571429
"7","AAMP",4.64789994787299e-06,0.434247905707491,"Normal",2.63429111952429e-07,"Airway Epithelial",0.0785714285714286,0.335714285714286
"8","AAR2",0.0060362938455522,0.137784820845921,"Normal",0.00328371885697482,"Airway Epithelial",0.0357142857142857,0.135714285714286
"9","AARS",0.0197250849869138,0.0906383656811117,"Normal",0.0150043943154458,"Airway Epithelial",0.0357142857142857,0.114285714285714
"10","AARS2",0.0237208206692228,0.0561629726336629,"Normal",0.019008280077897,"Airway Epithelial",0.00714285714285714,0.0571428571428571
"11","AARSD1",0.00114816333954936,0.214617037915864,"Normal",0.00039059542180063,"Airway Epithelial",0.05,0.192857142857143
"12","AASDH",0.00120784585055183,0.189797286644522,"Normal",0.000419807706338277,"Airway Epithelial",0.0357142857142857,0.164285714285714
"13","AASDHPPT",2.85030005271663e-05,0.388434107634682,"Normal",3.04162926401774e-06,"Airway Epithelial",0.0571428571428571,0.271428571428571
"14","AASS",0.0128608693066166,0.130561449698323,"Normal",0.00864880147340661,"Airway Epithelial",0.05,0.15
"15","AATF",0.0023745283916384,0.255129857122568,"Normal",0.000990615881811879,"Airway Epithelial",0.114285714285714,0.278571428571429
"16","ABALON",0.0181009190670502,0.160128989884696,"COPD",0.0135639780431273,"Airway Epithelial",0.0428571428571429,0
"17","ABCA3",6.05400458800804e-05,0.58021320050111,"Normal",8.43706384741804e-06,"Airway Epithelial",0.0928571428571429,0.314285714285714
"18","ABCA5",0.0380294771393205,0.143607681680294,"Normal",0.0350670359853517,"Airway Epithelial",0.0928571428571429,0.185714285714286
"19","ABCA6",0.0237208206692228,0.09890647930046,"Normal",0.019008280077897,"Airway Epithelial",0.00714285714285714,0.0571428571428571
"20","ABCA8",0.00639232350888078,0.176316281369501,"Normal",0.00353860765670186,"Airway Epithelial",0.0214285714285714,0.107142857142857
