"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MTND1P23",3.84195632322988e-19,1.84617155544093,0.971,0.315,1.04193855485994e-14,"Normal","MTND1P23"
"COX1",7.16306610857013e-19,1.6064284537322,1,0.371,1.94262352864422e-14,"Normal","COX1"
"MTCO1P12",1.04854182864641e-18,1.62172160085483,1,0.371,2.84364543928907e-14,"Normal","MTCO1P12"
"MTATP8P1",1.18733813950316e-18,1.67492088700624,1,0.348,3.22006103433258e-14,"Normal","MTATP8P1"
"ND2",7.30689959319482e-18,1.60607860732106,1,0.36,1.98163116967443e-13,"Normal","ND2"
"ND4L",8.25841985003812e-18,1.54012541263676,1,0.371,2.23968346333034e-13,"Normal","ND4L"
"ATP8",1.04055753972178e-17,1.54589590613953,1,0.371,2.82199204772548e-13,"Normal","ATP8"
"ND1",1.13400217440066e-17,1.56571348594345,1,0.36,3.0754138969746e-13,"Normal","ND1"
"SEPTIN9",1.26728782182866e-17,1.93611165267838,0.912,0.303,3.43688457279933e-13,"Normal","SEPTIN9"
"ND6",3.7662497408531e-17,1.82425347749732,0.931,0.292,1.02140692971936e-12,"Normal","ND6"
"MTATP6P1",5.11879008740476e-17,1.55852079907607,0.99,0.371,1.38821587170417e-12,"Normal","MTATP6P1"
"COX2",7.54572344652047e-17,1.50319461783865,1,0.371,2.04640019869635e-12,"Normal","COX2"
"CYTB",1.0514124144978e-16,1.52496098839145,1,0.36,2.85143046811804e-12,"Normal","CYTB"
"ATP6",2.74534104424921e-16,1.47529907798397,1,0.371,7.44536491200386e-12,"Normal","ATP6"
"PARD3",3.58052217708482e-16,1.53838540055937,0.931,0.528,9.71037614425403e-12,"Normal","PARD3"
"MIR205HG",4.58424556122947e-15,1.79544714684785,0.863,0.236,1.24324739620543e-10,"Normal","MIR205HG"
"ND5",7.08626143132179e-15,1.5000472225856,0.922,0.326,1.92179410017447e-10,"Normal","ND5"
"LINC00486",1.10247195942458e-14,1.44479536399992,0.941,0.36,2.98990395395946e-10,"Normal","LINC00486"
"PDE4D",1.65644172463076e-13,1.37752923331836,0.912,0.551,4.49226995719863e-09,"Normal","PDE4D"
"ND3",1.76667233558246e-13,1.30829567787972,1,0.36,4.79121537409962e-09,"Normal","ND3"
"AOPEP",4.60947399310273e-13,1.78042817722399,0.794,0.27,1.25008934692946e-08,"Normal","AOPEP"
"VMP1",4.7480869707866e-13,1.0443350727854,0.951,0.742,1.28768118647733e-08,"Normal","VMP1"
"LINC-PINT",8.62604569817885e-13,1.58247557301861,0.853,0.303,2.3393835933461e-08,"Normal","LINC-PINT"
"ZFAND3",1.32817126453663e-12,1.48353503150118,0.873,0.449,3.60200046942335e-08,"Normal","ZFAND3"
"MACF1",1.66356105741676e-12,1.16163234886929,0.922,0.753,4.51157758771425e-08,"Normal","MACF1"
"NEDD4L",2.53715744615866e-12,1.00977894191492,0.98,0.787,6.88077099398229e-08,"Normal","NEDD4L"
