"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A1BG",0.0290141063705351,0.0614410567758424,"Normal",0.0226996603656222,"Basal",0.0375,0.0890688259109312
"2","AADAC",0.00195018726701943,0.0975999834953254,"COPD",0.000649017935619844,"Basal",0.1,0.0242914979757085
"3","AAK1",0.00639379306960913,0.20945308579839,"Normal",0.00304215621247319,"Basal",0.179166666666667,0.287449392712551
"4","AATK",0.0344580573871895,0.059390077535534,"COPD",0.0289848273236717,"Basal",0.0291666666666667,0.00404858299595142
"5","ABAT",0.0428893338976582,0.0678440506411735,"COPD",0.039176680170024,"Basal",0.0875,0.0404858299595142
"6","ABCA3",0.0235036094653798,0.0620707904723723,"COPD",0.0169609296664209,"Basal",0.0416666666666667,0.00809716599190283
"7","ABCB6",0.0348411744912591,0.033036605447302,"COPD",0.0294739961753733,"Basal",0.0375,0.00809716599190283
"8","ABCC1",0.0376745427919973,0.185364472158405,"COPD",0.0329377956966387,"Basal",0.204166666666667,0.133603238866397
"9","ABCC3",0.0152432167120578,0.212396430949962,"Normal",0.00947544595351563,"Basal",0.175,0.263157894736842
"10","ABCC6",0.0444572112186564,0.0811135332648758,"COPD",0.0422550181286007,"Basal",0.0416666666666667,0.0121457489878543
"11","ABCE1",0.0141765247605732,0.186460072769294,"Normal",0.00856172122013328,"Basal",0.2625,0.360323886639676
"12","ABCF1",0.000578408741164816,0.346533524751433,"Normal",0.00014579292431449,"Basal",0.283333333333333,0.417004048582996
"13","ABCF2",0.00173209248829042,0.203887369389998,"Normal",0.000560434022622185,"Basal",0.1125,0.226720647773279
"14","ABHD12B",0.0486426186165712,0.032972734546091,"Normal",0.0482127581588228,"Basal",0,0.0161943319838057
"15","ABHD16A",0.000144154337351197,0.161442852991352,"COPD",2.64673273246764e-05,"Basal",0.125,0.0242914979757085
"16","ABHD5",0.031056029564226,0.211901965960123,"COPD",0.024913659800543,"Basal",0.254166666666667,0.174089068825911
"17","ABI2",0.0383544100693686,0.12455342036011,"Normal",0.033711745271991,"Basal",0.204166666666667,0.283400809716599
"18","ABITRAM",0.0319660182887328,0.0751563930372672,"COPD",0.0258552264063872,"Basal",0.0458333333333333,0.0121457489878543
"19","ABO",0.0150240709655103,0.128906656725601,"COPD",0.00928782695959848,"Basal",0.166666666666667,0.0850202429149798
"20","ABRAXAS2",0.000229705104459224,0.0954117508912365,"COPD",4.65721891087333e-05,"Basal",0.120833333333333,0.0242914979757085
"21","AC002467.1",0.0232880375932779,0.0376133990608177,"COPD",0.0167464472982758,"Basal",0.0333333333333333,0.00404858299595142
"22","AC003102.1",0.00492980355773098,0.0420503134070258,"COPD",0.00216044012110243,"Basal",0.0375,0
"23","AC004130.1",0.00318486824628785,0.0450871813540497,"COPD",0.00120943688372493,"Basal",0.0416666666666667,0
"24","AC004148.2",0.00200929617790265,0.0556633818435089,"COPD",0.000678161030590218,"Basal",0.0458333333333333,0
"25","AC004812.2",0.0187809536091027,0.0178698728342536,"COPD",0.0125570987275965,"Basal",0.025,0
"26","AC004832.1",0.0443141250198966,0.026353557992159,"COPD",0.0420354540790455,"Basal",0.0166666666666667,0
