"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGBL4",5.34235159250366e-74,1.11536379169073,0.956,0.588,1.44884575188699e-69,"Normal","AGBL4"
"ULK4",5.61340611551072e-74,1.1098768537163,0.94,0.622,1.52235573852651e-69,"Normal","ULK4"
"COX1",1.69122637234781e-73,1.23249808864019,0.924,0.43,4.58660592180725e-69,"Normal","COX1"
"LOC729732",3.19981067531051e-73,1.32507620006411,0.87,0.396,8.67788655144211e-69,"Normal","LOC729732"
"MAPK10",6.75977248881806e-71,0.935190064909784,0.967,0.729,1.83325029896746e-66,"Normal","MAPK10"
"CFAP299",7.26276781980076e-71,1.00350301303206,0.973,0.635,1.96966263272996e-66,"Normal","CFAP299"
"ND4L",7.09173987512307e-70,1.21296428693688,0.919,0.429,1.92327985413338e-65,"Normal","ND4L"
"CFAP54",1.13402774388325e-69,0.963597969966018,0.951,0.697,3.07548324141138e-65,"Normal","CFAP54"
"ND2",1.46760829418189e-69,1.21546290005133,0.922,0.426,3.98015369382127e-65,"Normal","ND2"
"COX2",3.84018517312685e-68,1.20132099259966,0.924,0.429,1.041458218952e-63,"Normal","COX2"
"ATP6",3.13634939007195e-67,1.19659171715277,0.924,0.428,8.50577954587513e-63,"Normal","ATP6"
"ATP8",6.12271448351154e-67,1.19957278874439,0.919,0.426,1.66048016792833e-62,"Normal","ATP8"
"DNAH12",7.3208498915568e-67,0.69536190727432,0.992,0.864,1.9854144905902e-62,"Normal","DNAH12"
"RFX3",1.13145724224974e-66,0.78394840138162,0.979,0.807,3.0685120409813e-62,"Normal","RFX3"
"AQP4-AS1",2.46555661019855e-66,1.17937313611124,0.905,0.502,6.68658952685846e-62,"Normal","AQP4-AS1"
"CYTB",1.83983129311253e-64,1.18133649796075,0.918,0.425,4.98962246692117e-60,"Normal","CYTB"
"MTATP8P1",1.90183529793778e-64,1.18502140826456,0.91,0.42,5.15777732800726e-60,"Normal","MTATP8P1"
"ND3",7.23215355299826e-64,1.17307615129153,0.918,0.426,1.96136004357313e-59,"Normal","ND3"
"TMEM232",3.17023329610612e-62,0.832915792205351,0.957,0.771,8.59767269903979e-58,"Normal","TMEM232"
"CFAP47",4.5119137941216e-62,1.03816123254498,0.916,0.639,1.22363102096578e-57,"Normal","CFAP47"
"MTCO1P12",5.65734388838839e-62,1.14914242446663,0.916,0.429,1.53427166253093e-57,"Normal","MTCO1P12"
"ND1",6.3503505432387e-62,1.15135412174472,0.919,0.428,1.72221506732634e-57,"Normal","ND1"
"ND5",1.57662731033819e-61,1.1934580397738,0.884,0.421,4.27581326563718e-57,"Normal","ND5"
"ANK3",2.12436729191868e-61,0.89974371673071,0.952,0.707,5.76128409568345e-57,"Normal","ANK3"
"DCDC1",8.09755163218181e-61,0.946397110148898,0.929,0.688,2.19605600264771e-56,"Normal","DCDC1"
"LRBA",9.22057317578706e-61,0.9413922086347,0.905,0.67,2.50061944527345e-56,"Normal","LRBA"
"RNLS",1.11280759284837e-60,1.20183297755495,0.865,0.399,3.01793419180477e-56,"Normal","RNLS"
"ZBTB20",3.87057419020093e-60,0.997252575061494,0.918,0.613,1.04969972038249e-55,"Normal","ZBTB20"
"SDK1",2.23357293356703e-59,1.12427543847125,0.873,0.521,6.05744979583378e-55,"Normal","SDK1"
"WWOX",3.12814654612675e-59,1.11516041407184,0.883,0.525,8.48353343309576e-55,"Normal","WWOX"
"BCAS3",4.8026997795847e-59,0.929288684275231,0.941,0.689,1.30249218022337e-54,"Normal","BCAS3"
"LMNTD1",1.22940820263571e-58,1.17007388381416,0.865,0.476,3.33415504554804e-54,"Normal","LMNTD1"
"EXOC4",2.72840426055342e-58,1.04553543844347,0.881,0.608,7.39943235462088e-54,"Normal","EXOC4"
"RP1",7.02664806100454e-58,0.763102709912538,0.971,0.781,1.90562695414443e-53,"Normal","RP1"
"PDE4D",1.09632458458538e-57,1.0473036487458,0.892,0.584,2.97323227339555e-53,"Normal","PDE4D"
"HYDIN",5.70433242730487e-57,0.676589776168085,0.973,0.817,1.54701495428508e-52,"Normal","HYDIN"
"PTPRT",8.45207128333314e-56,1.07696875423655,0.864,0.588,2.29220173203995e-51,"Normal","PTPRT"
"ND6",9.38179928995426e-56,1.16055057638134,0.846,0.402,2.5443439674356e-51,"Normal","ND6"
"FGF14",1.01563668647218e-55,0.901753385859364,0.918,0.714,2.75440669371256e-51,"Normal","FGF14"
"ANKFN1",1.2631514974479e-55,1.05331925011887,0.883,0.58,3.4256668610787e-51,"Normal","ANKFN1"
"MTATP6P1",1.71373575755337e-55,1.12931471642265,0.872,0.415,4.64765137448475e-51,"Normal","MTATP6P1"
"RAD51B",2.52635857525076e-55,1.15279294362062,0.827,0.449,6.85148445608006e-51,"Normal","RAD51B"
"DNAH7",2.16539137046658e-54,0.728778323971377,0.949,0.791,5.87254139670538e-50,"Normal","DNAH7"
"AOPEP",6.37427468170938e-54,1.20914969425818,0.789,0.38,1.72870329367958e-49,"Normal","AOPEP"
"BTBD9",1.37328793140984e-53,1.05923788085014,0.868,0.552,3.72435686998347e-49,"Normal","BTBD9"
"DNAH11",1.43794131706364e-53,0.742010476783629,0.956,0.768,3.8996968518766e-49,"Normal","DNAH11"
