"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A2M-AS1",0.0139895357283937,0.0238102502457543,"COPD",0.00873805576490832,"Ciliated",0.0179738562091503,0.00308166409861325
"2","A2ML1",0.0173049023076829,0.0152463669589881,"COPD",0.0115103867558283,"Ciliated",0.00980392156862745,0
"3","AADACL2",2.86997635231293e-08,0.146525967232387,"COPD",2.90075777474275e-09,"Ciliated",0.0931372549019608,0.0169491525423729
"4","AADAT",0.0386648853739243,0.0302689241831505,"COPD",0.0343281767253674,"Ciliated",0.0490196078431373,0.0261941448382126
"5","AAED1",9.56213771892552e-24,0.41264598790871,"Normal",1.11248284677556e-25,"Ciliated",0.0392156862745098,0.24653312788906
"6","AAGAB",0.00234205977087783,0.110271837280656,"COPD",0.000954145180304956,"Ciliated",0.191176470588235,0.11864406779661
"7","AAMP",0.0404640107109145,0.114181848169571,"COPD",0.0364023050403842,"Ciliated",0.276143790849673,0.220338983050847
"8","AAR2",0.0134550175865423,0.0726600064779012,"COPD",0.00827455453467959,"Ciliated",0.111111111111111,0.0677966101694915
"9","AARS1",0.0213989255892598,0.0192612826313362,"COPD",0.0153495716408723,"Ciliated",0.0163398692810458,0.00308166409861325
"10","AASDH",0.030515583019682,0.108704954399256,"Normal",0.0250237765863999,"Ciliated",0.0931372549019608,0.12788906009245
"11","AATK",0.0163431822174161,0.0438382841482176,"COPD",0.0106567886954866,"Ciliated",0.0261437908496732,0.00770416024653313
"12","ABALON",0.0121909131095467,0.0505834005624315,"COPD",0.00734202783710748,"Ciliated",0.0326797385620915,0.0107858243451464
"13","ABCA10",3.48317956082569e-05,0.0610901639645585,"COPD",7.36400259814629e-06,"Ciliated",0.0931372549019608,0.0308166409861325
"14","ABCA13",0.00142280278668146,0.258599126202607,"COPD",0.000526082688258516,"Ciliated",0.464052287581699,0.402157164869029
"15","ABCA4",0.0185812059613441,0.023716061095029,"COPD",0.0126396755854566,"Ciliated",0.0228758169934641,0.0061633281972265
"16","ABCA5",0.00083112715651625,0.223840020880883,"Normal",0.000279056872947739,"Ciliated",0.344771241830065,0.405238828967643
"17","ABCB4",0.0423448640950068,0.00903499966883385,"COPD",0.0392811927789165,"Ciliated",0.0065359477124183,0
"18","ABCB5",0.0423448640950068,0.00566771298871536,"COPD",0.0392811927789165,"Ciliated",0.0065359477124183,0
"19","ABCB6",2.93734819360789e-07,0.0883717698240236,"COPD",3.60961166856741e-08,"Ciliated",0.065359477124183,0.00770416024653313
"20","ABCC1",0.030613510974188,0.0521183215124256,"COPD",0.02511521087557,"Ciliated",0.117647058823529,0.0785824345146379
"21","ABCC11",0.0212887781291977,0.0246073201866267,"COPD",0.01520516438277,"Ciliated",0.0130718954248366,0.00154083204930663
"22","ABCC2",0.00399448164832708,0.0377663520817113,"COPD",0.00182256819515722,"Ciliated",0.0457516339869281,0.0154083204930663
"23","ABCC3",0.0286513349247195,0.0494464212813627,"Normal",0.0228648173640281,"Ciliated",0.0343137254901961,0.061633281972265
"24","ABCF1",0.00236008343949647,0.172260246532317,"Normal",0.000962738999860038,"Ciliated",0.138888888888889,0.197226502311248
"25","ABCF2",0.0273286458956498,0.039917485300336,"COPD",0.0214664749891116,"Ciliated",0.0866013071895425,0.0523882896764253
"26","ABCG4",0.0423448640950068,0.00803945968767456,"COPD",0.0392811927789165,"Ciliated",0.0065359477124183,0
"27","ABHD11",0.000812045112357411,0.21690997292908,"Normal",0.000271026145480496,"Ciliated",0.300653594771242,0.368258859784284
"28","ABHD14A",0.0318926847709567,0.0708061386145917,"COPD",0.0265588781922837,"Ciliated",0.251633986928105,0.187981510015408
"29","ABHD16A",0.000145116677580472,0.101520103314467,"COPD",3.79608978437191e-05,"Ciliated",0.140522875816993,0.0677966101694915
"30","ABHD18",0.0144938749533961,0.040963043065758,"COPD",0.0091953505885025,"Ciliated",0.0898692810457516,0.0508474576271186
"31","ABHD3",0.0228900688788093,0.0632219571913843,"COPD",0.0167816120320374,"Ciliated",0.176470588235294,0.12326656394453
"32","ABHD6",0.0308570095131698,0.0575736357018674,"COPD",0.0253710696288069,"Ciliated",0.15359477124183,0.107858243451464
"33","ABITRAM",8.98984663547027e-30,0.396051907458776,"COPD",6.53688175638631e-32,"Ciliated",0.227124183006536,0.0138674884437596
"34","ABL1",0.00316349988213366,0.062200698844505,"COPD",0.00136868382466426,"Ciliated",0.112745098039216,0.0600924499229584
"35","ABRACL",1.96283524671088e-05,0.157885973222735,"Normal",3.85359401281176e-06,"Ciliated",0.104575163398693,0.198767334360555
"36","ABRAXAS1",7.67720034232798e-10,0.226415013276105,"COPD",5.66613950006392e-11,"Ciliated",0.17483660130719,0.0570107858243451
"37","ABRAXAS2",3.29122514291619e-06,0.112271118174561,"COPD",5.28893478701674e-07,"Ciliated",0.116013071895425,0.0400616332819723
"38","AC002066.1",0.0270468608651113,0.0208132851874973,"COPD",0.0211320501723774,"Ciliated",0.00816993464052288,0
"39","AC002070.1",0.00146780394044308,0.0385301189652264,"COPD",0.000544589682320366,"Ciliated",0.0392156862745098,0.00924499229583975
"40","AC002310.1",0.00146780394044308,0.0430266224872501,"COPD",0.000544550928354109,"Ciliated",0.0359477124183007,0.00770416024653313
"41","AC002467.1",2.30786421718551e-05,0.0706809058907515,"COPD",4.6274754254783e-06,"Ciliated",0.0571895424836601,0.0107858243451464
"42","AC003991.1",2.19440361737919e-05,0.0592020416147314,"COPD",4.38003121592865e-06,"Ciliated",0.0473856209150327,0.0061633281972265
"43","AC004130.1",0.00542696878462181,0.075808179599524,"Normal",0.00263952546190205,"Ciliated",0.0277777777777778,0.0631741140215717
"44","AC004148.2",0.0319940169742762,0.0108466941328789,"COPD",0.0266781595820769,"Ciliated",0.0147058823529412,0.00308166409861325
"45","AC004556.1",0.00665529813175885,0.0505627927746763,"Normal",0.00339963420291626,"Ciliated",0.011437908496732,0.036979969183359
"46","AC004687.1",0.0270468608651113,0.0288871572828278,"COPD",0.0211320501723774,"Ciliated",0.00816993464052288,0
"47","AC004812.2",0.00252816158917799,0.0276817778383837,"COPD",0.00104463030216353,"Ciliated",0.0310457516339869,0.0061633281972265
"48","AC004832.1",4.04045706004379e-09,0.379255482964381,"COPD",3.42274675509981e-10,"Ciliated",0.375816993464052,0.204930662557781
"49","AC004943.2",2.47584330098917e-08,0.142681431662178,"COPD",2.46639179956747e-09,"Ciliated",0.112745098039216,0.0277349768875193
"50","AC005229.4",0.0103892997821445,0.031427748813216,"COPD",0.00601714399307622,"Ciliated",0.0359477124183007,0.012326656394453
"51","AC005253.1",0.0423448640950068,0.0180210284721585,"COPD",0.0392811927789165,"Ciliated",0.0065359477124183,0
"52","AC005288.1",0.0137254931659619,0.01654278730428,"COPD",0.00853570480290047,"Ciliated",0.0147058823529412,0.00154083204930663
"53","AC005332.3",0.0270468608651113,0.00732998825720276,"COPD",0.0211320501723774,"Ciliated",0.00816993464052288,0
"54","AC005332.4",0.0183077024594688,0.0256579328442797,"COPD",0.0124003785305392,"Ciliated",0.0228758169934641,0.0061633281972265
"55","AC005332.6",3.31609494626882e-08,0.0853968208137839,"COPD",3.38783013961657e-09,"Ciliated",0.065359477124183,0.00462249614791988
"56","AC005480.1",0.0296779970321746,0.0134869106536752,"COPD",0.0240563877052293,"Ciliated",0.0179738562091503,0.00462249614791988
"57","AC006064.2",0.0270468608651113,0.00808452827526622,"COPD",0.0211320501723774,"Ciliated",0.00816993464052288,0
"58","AC006213.2",0.0297105795991838,0.00973915128073211,"COPD",0.0241098031868308,"Ciliated",0.0179738562091503,0.00462249614791988
"59","AC006333.2",6.8206662659572e-05,0.101950473867053,"COPD",1.58715814437967e-05,"Ciliated",0.130718954248366,0.0585516178736518
"60","AC006449.6",0.000599974937982576,0.0457947247180008,"COPD",0.000191848012345274,"Ciliated",0.042483660130719,0.00924499229583975
"61","AC006504.5",0.00377129151671635,0.0300725692782639,"COPD",0.00169925845108226,"Ciliated",0.0408496732026144,0.012326656394453
"62","AC007009.1",0.0017872726592201,0.0538856187320946,"COPD",0.000692036132364808,"Ciliated",0.0408496732026144,0.0107858243451464
"63","AC007032.1",0.00609587826774811,0.0237794260470257,"COPD",0.00307730484448946,"Ciliated",0.0245098039215686,0.00462249614791988
"64","AC007038.1",0.0491704226429304,0.0105911399382322,"COPD",0.0488396999310983,"Ciliated",0.00980392156862745,0.00154083204930663
"65","AC007114.1",3.46964554825848e-05,0.094492963831181,"COPD",7.31016031709068e-06,"Ciliated",0.11437908496732,0.0446841294298921
"66","AC007262.2",0.0314260885224756,0.0163055817153468,"COPD",0.0260274966930374,"Ciliated",0.0147058823529412,0.00308166409861325
"67","AC007319.1",0.0321704766302102,0.0262756737955164,"COPD",0.0269305662392506,"Ciliated",0.011437908496732,0.00154083204930663
"68","AC007325.4",0.000438097863113735,0.126367134450892,"Normal",0.000135148531849483,"Ciliated",0.0506535947712418,0.106317411402157
"69","AC007405.3",6.02608630708122e-17,0.519049274198015,"COPD",1.41313421853023e-18,"Ciliated",0.379084967320261,0.155624036979969
"70","AC007563.2",0.00021900441536841,0.0342241923157011,"COPD",6.06731010764329e-05,"Ciliated",0.0245098039215686,0
