"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TMEM52B",5.45368742224097e-52,0.827061611351905,0.474,0.287,1.47904002891175e-47,"Normal","TMEM52B"
"MS4A6E",2.4380070097522e-51,0.558253998455072,0.68,0.493,6.61187501044797e-47,"Normal","MS4A6E"
"MTATP6P1",1.723982995523e-40,0.325543449150174,0.922,0.776,4.67544188385838e-36,"Normal","MTATP6P1"
"MTND1P23",3.79138460170496e-40,0.336138916881963,0.903,0.763,1.02822350398239e-35,"Normal","MTND1P23"
"PLXDC2",2.20010138661291e-34,0.270127683624385,0.91,0.84,5.96667496049421e-30,"Normal","PLXDC2"
"SNHG5",2.4516802233694e-33,0.431982091725305,0.668,0.513,6.64895676577781e-29,"Normal","SNHG5"
"TAOK3",2.70193658170371e-32,0.344358224011611,0.796,0.719,7.32765200958047e-28,"Normal","TAOK3"
"ADAMTS2",3.13408615018857e-32,1.11275601202066,0.167,0.067,8.49964163931139e-28,"Normal","ADAMTS2"
"PPARG",1.50540526868163e-31,0.73007146886277,0.42,0.29,4.08265908866458e-27,"Normal","PPARG"
"LOC729732",3.83026887238883e-31,0.867997296721018,0.285,0.16,1.03876891819185e-26,"Normal","LOC729732"
"COX1",1.70915918764776e-30,0.243303097148678,0.953,0.819,4.63523971690072e-26,"Normal","COX1"
"SCHLAP1",1.71646805184974e-29,0.275832840411089,0.917,0.777,4.65506135661649e-25,"Normal","SCHLAP1"
"SLC11A1",1.77237370837795e-29,0.410875941442137,0.676,0.556,4.806677497121e-25,"Normal","SLC11A1"
"QKI",1.25028662863459e-28,0.273960873579807,0.856,0.8,3.39077733685702e-24,"Normal","QKI"
"SBF2",6.34285542486426e-28,0.300825983616552,0.813,0.702,1.72018239122319e-23,"Normal","SBF2"
"ND6",1.94932845525736e-27,0.291305348075473,0.858,0.715,5.28657877065796e-23,"Normal","ND6"
"MTATP8P1",8.69842295874432e-27,0.241157534947654,0.944,0.807,2.35901230641146e-22,"Normal","MTATP8P1"
"LRMDA",1.05913406203203e-26,0.339735779168864,0.783,0.674,2.87237157623087e-22,"Normal","LRMDA"
"ATG7",2.41773109538247e-26,0.423791169841399,0.636,0.519,6.55688673067726e-22,"Normal","ATG7"
"RNASEK",2.88720669405369e-26,0.29292225664948,0.791,0.694,7.83010455427361e-22,"Normal","RNASEK"
"DOCK4",8.25919108645287e-25,0.282380334770694,0.839,0.734,2.23989262264602e-20,"Normal","DOCK4"
"MTCO1P12",1.01962061781439e-24,0.234934522473441,0.951,0.817,2.76521111551262e-20,"Normal","MTCO1P12"
"FOXO3",6.74844190778044e-24,0.287546594434942,0.813,0.725,1.83017744539005e-19,"Normal","FOXO3"
