"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","AAED1",0.000104426389177722,0.209440413721172,"Normal",2.01501460698342e-05,"DC",0.0950704225352113,0.174629324546952
"2","AASDHPPT",0.0152633353778031,0.1044812310399,"Normal",0.00921957662044454,"DC",0.0950704225352113,0.14168039538715
"3","ABCC1",9.33217835492152e-05,0.257569149465163,"COPD",1.76986061762927e-05,"DC",0.248239436619718,0.151565074135091
"4","ABCC11",0.0314090608480588,0.0311208198930904,"COPD",0.0251485111627625,"DC",0.0158450704225352,0.00329489291598023
"5","ABCC4",0.000387815491183704,0.189213723556723,"COPD",9.1405755979496e-05,"DC",0.160211267605634,0.0873146622734761
"6","ABHD13",0.0188666011433884,0.0915474450191336,"COPD",0.0122192369606598,"DC",0.119718309859155,0.0774299835255354
"7","ABHD14A-ACY1",0.0320128657963608,0.0230436140488689,"COPD",0.0259696565328952,"DC",0.0123239436619718,0.00164744645799012
"8","ABHD17C",0.0418473079147506,0.0724161927486211,"COPD",0.0378085546335274,"DC",0.0809859154929577,0.0510708401976936
"9","ABHD2",0.033957560737273,0.134201903747599,"COPD",0.0282917629470812,"DC",0.315140845070423,0.258649093904448
"10","ABI1",0.00129300374494537,0.275315431930577,"COPD",0.00039943921873011,"DC",0.498239436619718,0.393739703459638
"11","ABI2",0.00258759096767228,0.165571546518696,"COPD",0.000936094079513104,"DC",0.214788732394366,0.14003294892916
"12","ABITRAM",0.0410504510960394,0.0395935587037408,"COPD",0.0366833245156878,"DC",0.0334507042253521,0.014827018121911
"13","ABL1",5.27630504289963e-05,0.235582208202366,"COPD",9.35876075357554e-06,"DC",0.223591549295775,0.125205930807249
"14","ABLIM1",0.0209334087121302,0.07910435807301,"COPD",0.0142416941972681,"DC",0.0492957746478873,0.0230642504118616
"15","ABR",1.17381011045639e-07,0.439828372335694,"COPD",9.00753209076382e-09,"DC",0.485915492957746,0.321252059308072
"16","ABRACL",5.05157561604537e-07,0.348277026274497,"Normal",4.5188398407071e-08,"DC",0.258802816901408,0.392092257001647
"17","ABRAXAS1",0.000961014582272164,0.0836544401065298,"COPD",0.000276458100197194,"DC",0.0580985915492958,0.0181219110378913
"18","ABRAXAS2",8.96690233493786e-06,0.163055172191444,"COPD",1.2208827778988e-06,"DC",0.133802816901408,0.0527182866556837
