"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"COX1",2.28836469338009e-82,1.62774473124027,0.548,0.177,6.20604504844682e-78,"Normal","COX1"
"ND2",9.67098029434314e-81,1.5975602754184,0.549,0.18,2.62276985582586e-76,"Normal","ND2"
"ND1",2.37178430759932e-80,1.63903379332591,0.533,0.167,6.43227904220935e-76,"Normal","ND1"
"COX2",2.54660874980971e-80,1.58776836096539,0.547,0.178,6.90640292948394e-76,"Normal","COX2"
"ND4L",1.52461082861038e-79,1.59264736572815,0.545,0.178,4.13474456719135e-75,"Normal","ND4L"
"MTCO1P12",9.09166047477586e-79,1.6395304759698,0.526,0.169,2.46565832075921e-74,"Normal","MTCO1P12"
"ATP6",1.06900134364725e-76,1.56251066574582,0.535,0.174,2.89913164397134e-72,"Normal","ATP6"
"ATP8",2.12353577335731e-75,1.55665996814746,0.533,0.174,5.75902901734501e-71,"Normal","ATP8"
"CYTB",2.05456534825078e-73,1.52963839968074,0.531,0.176,5.57198122445612e-69,"Normal","CYTB"
"MTATP8P1",2.0622971652768e-66,1.53022647078172,0.494,0.166,5.59294991223068e-62,"Normal","MTATP8P1"
"CCSER1",2.66883243134861e-63,1.58198337182822,0.476,0.165,7.23787355381742e-59,"Normal","CCSER1"
"MTND1P23",5.46491784881103e-61,1.6317819729773,0.435,0.141,1.48208572059755e-56,"Normal","MTND1P23"
"ND3",2.07905245345765e-58,1.3214706621167,0.494,0.176,5.63839025377715e-54,"Normal","ND3"
"STEAP1B",8.29177041534449e-58,1.5811408757802,0.426,0.14,2.24872813664143e-53,"Normal","STEAP1B"
"ND5",1.17077038399277e-57,1.5478278331346,0.431,0.143,3.17512928138839e-53,"Normal","ND5"
"MIR1244-2",2.21766450098773e-56,1.68298587323511,0.394,0.124,6.01430612667873e-52,"Normal","MIR1244-2"
"LINC00486",2.46049683536505e-55,1.50525394891297,0.428,0.146,6.67286741751001e-51,"Normal","LINC00486"
"LINC-PINT",2.58057075826457e-54,1.40382702416582,0.44,0.152,6.9985078964135e-50,"Normal","LINC-PINT"
"SCHLAP1",3.98313229801153e-54,1.52592370819418,0.409,0.129,1.08022547922073e-49,"Normal","SCHLAP1"
"RPL7P23",7.69490403438019e-54,1.69663921491422,0.374,0.115,2.08685797412391e-49,"Normal","RPL7P23"
"RPL21P75",1.71079617574527e-53,1.5629622536337,0.399,0.129,4.63967922862117e-49,"Normal","RPL21P75"
"RPL3P4",2.12573053164539e-53,1.66378260373605,0.373,0.115,5.76498120182229e-49,"Normal","RPL3P4"
"RPL13P12",3.73309083087727e-52,1.62626660074779,0.377,0.119,1.01241423333391e-47,"Normal","RPL13P12"
