"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A2M",3.63098840162174e-07,0.493405435727243,"COPD",3.6848438111696e-08,"Endothelial",0.746192893401015,0.567
"2","AAK1",5.7579408594902e-09,0.30561427098701,"COPD",3.53297542198228e-10,"Endothelial",0.271065989847716,0.154
"3","AAMP",0.000846704483965912,0.163029881482778,"COPD",0.00030616199607573,"Endothelial",0.206091370558376,0.146
"4","AASDHPPT",0.0460781225710958,0.0338285594686949,"COPD",0.0447400225245347,"Endothelial",0.110659898477157,0.082
"5","AASS",0.0148374544531056,0.0733953088340875,"COPD",0.0104105418129987,"Endothelial",0.083248730964467,0.054
"6","ABCA2",0.00918925880653911,0.0601591502480926,"COPD",0.00576462792891088,"Endothelial",0.0426395939086294,0.021
"7","ABCA7",0.0210998097358013,0.0287535224259903,"COPD",0.0163890013170354,"Endothelial",0.0142131979695431,0.004
"8","ABCB1",0.000195301179097948,0.117000756112351,"COPD",5.25376942366533e-05,"Endothelial",0.0862944162436548,0.042
"9","ABCC1",0.000631199811053815,0.109100738504326,"COPD",0.000214834596111993,"Endothelial",0.0913705583756345,0.049
"10","ABCC3",0.022314678778264,0.0273958943706241,"Normal",0.0175521236041989,"Endothelial",0.0050761421319797,0.016
"11","ABCD3",0.0133049275798854,0.0678426759577963,"COPD",0.00912961072811811,"Endothelial",0.0802030456852792,0.051
"12","ABCD4",0.0309097372920349,0.0644721599405682,"COPD",0.026694351090188,"Endothelial",0.153299492385787,0.117
"13","ABCE1",0.00977334172378606,0.105236114168756,"COPD",0.00622716745898062,"Endothelial",0.148223350253807,0.108
"14","ABCF1",0.0207990336926761,0.0612590300466066,"COPD",0.0160591093831317,"Endothelial",0.168527918781726,0.125
"15","ABCF2",0.0410181140031599,0.0257493288894738,"Normal",0.0384244627664261,"Endothelial",0.0263959390862944,0.044
"16","ABHD13",0.00280568490783987,0.0908122125415164,"COPD",0.00130625330135496,"Endothelial",0.0862944162436548,0.05
"17","ABHD14A",0.00609637439939064,0.0504966122638755,"COPD",0.00338941283938018,"Endothelial",0.0416243654822335,0.019
"18","ABHD17A",1.65221014659441e-11,0.329171696589844,"COPD",5.1363123102006e-13,"Endothelial",0.257868020304569,0.128
"19","ABHD17B",0.004726084901174,0.0617268382664107,"COPD",0.0024873742703915,"Endothelial",0.0538071065989848,0.027
"20","ABHD17C",9.81522029141651e-05,0.143564384053458,"COPD",2.3262301955301e-05,"Endothelial",0.13502538071066,0.076
"21","ABHD18",0.018486755683795,0.0488269454922652,"COPD",0.0138705414937507,"Endothelial",0.0598984771573604,0.036
"22","ABHD2",0.00162592943242182,0.100891099488099,"COPD",0.000665095255729143,"Endothelial",0.109644670050761,0.066
"23","ABHD5",0.0020018385005563,0.103507915315083,"COPD",0.000860431130684073,"Endothelial",0.115736040609137,0.072
"24","ABHD6",0.0076013351110693,0.0712739452835174,"COPD",0.00455396583994601,"Endothelial",0.0822335025380711,0.05
"25","ABI1",0.0473305224329993,0.0711792211420424,"COPD",0.0461851311797417,"Endothelial",0.174619289340102,0.14
"26","ABI2",3.68998874399789e-06,0.183466829203341,"COPD",5.14966087714645e-07,"Endothelial",0.173604060913706,0.095
"27","ABITRAM",0.00699530734235222,0.0299806410194663,"COPD",0.00404318934916283,"Endothelial",0.0152284263959391,0.003
"28","ABL1",0.012201790212161,0.0575945958096147,"COPD",0.00821453854720347,"Endothelial",0.0720812182741117,0.044
