"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"COX1",1.74217240129841e-17,1.19760930607124,0.869,0.395,4.72477155232128e-13,"Normal","COX1"
"ATP6",4.80986062584909e-17,1.18575287026382,0.876,0.387,1.30443420173027e-12,"Normal","ATP6"
"CYTB",6.91099507020379e-17,1.16167720547418,0.876,0.391,1.87426186303927e-12,"Normal","CYTB"
"MTCO1P12",1.02256183186262e-16,1.16948870737212,0.861,0.391,2.77318768801142e-12,"Normal","MTCO1P12"
"COX2",1.37456865679097e-16,1.15904854212412,0.869,0.395,3.72783019721711e-12,"Normal","COX2"
"ATP8",2.40268488282136e-16,1.14364216950198,0.876,0.391,6.51608140221153e-12,"Normal","ATP8"
"ND4L",4.74122588831177e-16,1.15607516459583,0.869,0.387,1.28582046091015e-11,"Normal","ND4L"
"ND2",6.50129436606185e-16,1.14891143171039,0.869,0.387,1.76315103207597e-11,"Normal","ND2"
"FHIT",1.27437257844471e-15,1.3742533688592,0.759,0.372,3.45609843274206e-11,"Normal","FHIT"
"MTATP8P1",4.62285285965525e-15,1.09626606861443,0.847,0.379,1.2537176955385e-10,"Normal","MTATP8P1"
"ND3",9.73225516748688e-15,1.09792549114592,0.876,0.387,2.63938760142244e-10,"Normal","ND3"
"FTX",1.98510038481762e-14,1.31789084392529,0.759,0.407,5.38359224362538e-10,"Normal","FTX"
"MTND1P23",3.51874335526156e-14,1.14908241650055,0.803,0.364,9.54283197946935e-10,"Normal","MTND1P23"
"MECOM",4.21170186527634e-14,0.965175590374427,0.876,0.628,1.14221354586294e-09,"Normal","MECOM"
"ND1",7.86621738832704e-14,1.08747159130316,0.847,0.387,2.13331815571429e-09,"Normal","ND1"
"LPP",1.17099757430539e-13,0.771431156930086,0.92,0.723,3.17574542151623e-09,"Normal","LPP"
"FOXP1",2.10079225849953e-13,0.819210131496374,0.869,0.711,5.69734860505071e-09,"Normal","FOXP1"
"MTATP6P1",2.10250757569999e-13,1.04379210335555,0.832,0.372,5.70200054529838e-09,"Normal","MTATP6P1"
"FGD4",2.36061126305948e-13,1.3562882568184,0.679,0.324,6.40197774541731e-09,"Normal","FGD4"
"ND5",6.39093366452832e-13,1.04363201254995,0.803,0.372,1.73322120982008e-08,"Normal","ND5"
"ND6",6.53314273774992e-13,1.08235486391135,0.788,0.364,1.77178831047778e-08,"Normal","ND6"
"AMBRA1",2.07573841535812e-12,1.31459171756301,0.628,0.281,5.62940258245121e-08,"Normal","AMBRA1"
"SCHLAP1",2.31243506166094e-12,1.20124152715999,0.693,0.324,6.27132388722446e-08,"Normal","SCHLAP1"
"LINC-PINT",3.14227327829531e-12,1.08950670264583,0.745,0.34,8.52184513073688e-08,"Normal","LINC-PINT"
"CCSER1",5.97550028998352e-12,1.07318101541637,0.737,0.375,1.62055567864353e-07,"Normal","CCSER1"
"AKAP13",7.47572943051412e-12,0.766666431825024,0.876,0.731,2.02741782155543e-07,"Normal","AKAP13"
"IMMP2L",8.0819123691985e-12,1.37828633025568,0.65,0.336,2.19181463452663e-07,"Normal","IMMP2L"
"STEAP1B",1.20472755611559e-11,1.19720589810707,0.664,0.324,3.26722113218549e-07,"Normal","STEAP1B"
"TBC1D5",1.2607638523424e-11,1.27224321831768,0.679,0.403,3.4191915675526e-07,"Normal","TBC1D5"
"RPL7P23",1.61915032229968e-11,1.3795983340213,0.569,0.245,4.39113567407674e-07,"Normal","RPL7P23"
"RBFOX2",1.77542306960022e-11,1.00441425281783,0.81,0.514,4.81494736475581e-07,"Normal","RBFOX2"
"MED13L",2.06585744362818e-11,0.867181782718666,0.832,0.605,5.60260538711962e-07,"Normal","MED13L"
"LOC101928626",2.54713741446783e-11,0.971698484031795,0.81,0.372,6.90783666803676e-07,"Normal","LOC101928626"
"MACF1",2.58914358083678e-11,0.834662127638534,0.861,0.64,7.02175739122936e-07,"Normal","MACF1"
"ADK",2.78603337096953e-11,0.941856370316833,0.818,0.549,7.55572250206937e-07,"Normal","ADK"
"RERE",4.51491785688863e-11,0.863389144524701,0.825,0.601,1.2244457227882e-06,"Normal","RERE"
"LINC00486",6.14684360963852e-11,0.968918131036197,0.759,0.372,1.66702398693397e-06,"Normal","LINC00486"
"MAGI1",6.81452987605139e-11,1.03217646469949,0.752,0.49,1.84810050238514e-06,"Normal","MAGI1"
"H3-3B",7.49893801081367e-11,1.13479266009822,0.672,0.316,2.03371198853267e-06,"Normal","H3-3B"
"ARL15",8.31368010603535e-11,1.57304215714121,0.518,0.206,2.25467004475679e-06,"Normal","ARL15"
"LRBA",1.31757977050493e-10,0.950816988843646,0.752,0.518,3.57327633760938e-06,"Normal","LRBA"
"PARD3",1.36697700758598e-10,0.984271710803374,0.803,0.553,3.70724164457317e-06,"Normal","PARD3"
"MCF2L2",1.47541121510052e-10,1.59021992589143,0.467,0.17,4.00131521535262e-06,"Normal","MCF2L2"
"ZBTB20",1.58393763691268e-10,0.814279999405903,0.832,0.613,4.2956388713072e-06,"Normal","ZBTB20"
"KDM4C",1.59006301840765e-10,1.4383281108991,0.584,0.285,4.31225090592154e-06,"Normal","KDM4C"
"MACROD2",1.92509762812006e-10,1.03169038113055,0.73,0.427,5.2208647674616e-06,"Normal","MACROD2"
"TRIO",1.95289292834011e-10,0.954853614600933,0.774,0.49,5.29624562165837e-06,"Normal","TRIO"
"WWOX",2.7049422969995e-10,1.25044088407763,0.642,0.348,7.33580350946265e-06,"Normal","WWOX"
"PTK2",2.86864654195465e-10,0.853894313786233,0.825,0.577,7.77976942178102e-06,"Normal","PTK2"
"PATJ",2.92867197735232e-10,0.922971087049595,0.759,0.549,7.9425584025795e-06,"Normal","PATJ"
"FMNL2",3.45454491809502e-10,1.43300670654117,0.606,0.324,9.36872581787369e-06,"Normal","FMNL2"
"RPL13P12",3.69805509212525e-10,1.18246178789521,0.606,0.296,1.00291254098437e-05,"Normal","RPL13P12"
"LRMDA",4.32590388415913e-10,1.23489981260745,0.606,0.304,1.17318513338396e-05,"Normal","LRMDA"
"ANKUB1",5.03403448639353e-10,1.43729087005895,0.445,0.158,1.36523015270993e-05,"Normal","ANKUB1"
"AGAP1",5.42922092942624e-10,1.08527481076536,0.701,0.435,1.4724047160604e-05,"Normal","AGAP1"
"IL6ST",6.77049399053173e-10,0.733829292005902,0.869,0.715,1.83615797023221e-05,"Normal","IL6ST"
"POLR2J4",7.21359195432267e-10,1.18394902170791,0.569,0.253,1.95632613801231e-05,"Normal","POLR2J4"
"AQP4-AS1",7.64831437651598e-10,1.8005662113246,0.431,0.166,2.07422285891113e-05,"Normal","AQP4-AS1"
"MTCO2P12",8.81231184607803e-10,1.03608273731457,0.679,0.34,2.38989897265636e-05,"Normal","MTCO2P12"
"JMJD1C",1.03143942991526e-09,0.777679353690841,0.854,0.656,2.79726373393019e-05,"Normal","JMJD1C"
"PRH1",1.04202776777999e-09,1.59690113514118,0.482,0.213,2.82597930621933e-05,"Normal","PRH1"
"POLR2J3",1.25275866028422e-09,1.19515413736027,0.606,0.316,3.39748148669081e-05,"Normal","POLR2J3"
"SMYD3",1.65298324730391e-09,0.910326644347586,0.723,0.451,4.4828905666882e-05,"Normal","SMYD3"
"RPS10-NUDT3",1.71429094369088e-09,1.11588726221156,0.577,0.245,4.64915703928968e-05,"Normal","RPS10-NUDT3"
"RPL9P8",1.77758325461876e-09,1.20225920748052,0.533,0.225,4.82080578652606e-05,"Normal","RPL9P8"
"MYO1D",1.85052263708812e-09,0.989247535824981,0.745,0.47,5.01861739178298e-05,"Normal","MYO1D"
"RPL17P6",1.89061406894484e-09,1.26267492125653,0.54,0.249,5.1273453549784e-05,"Normal","RPL17P6"
"RPL3P4",2.05128071357787e-09,1.24393655516705,0.54,0.249,5.56307329522317e-05,"Normal","RPL3P4"
"MIR1244-2",2.13731236125695e-09,1.249804284535,0.533,0.233,5.79639112372886e-05,"Normal","MIR1244-2"
"PDE4D",2.17592360329206e-09,0.853290567302917,0.832,0.64,5.90110481212806e-05,"Normal","PDE4D"
"RFX3-AS1",2.21824282632459e-09,1.79325288351731,0.277,0.059,6.01587454499228e-05,"Normal","RFX3-AS1"
"ARMH4",2.34581351034843e-09,1.28575330520607,0.511,0.209,6.36184624006493e-05,"Normal","ARMH4"
"RPL7P9",2.55678275092142e-09,1.33810164711697,0.489,0.198,6.9339948204989e-05,"Normal","RPL7P9"
"SIK3",2.89477617070389e-09,0.803842984386543,0.803,0.51,7.85063297494894e-05,"Normal","SIK3"
"SMG6",3.11549196085146e-09,1.23278746204106,0.599,0.336,8.44921419782915e-05,"Normal","SMG6"
"EXOC4",3.15300349497787e-09,1.04819586199279,0.701,0.443,8.55094547837998e-05,"Normal","EXOC4"
"CAMKMT",3.66002295198392e-09,1.7793671174583,0.423,0.166,9.92598224578038e-05,"Normal","CAMKMT"
"MAML2",3.84054377706846e-09,0.943443442056969,0.752,0.538,0.000104155547234097,"Normal","MAML2"
"TCF12",4.36476371690733e-09,0.934783549604053,0.73,0.486,0.000118372392002527,"Normal","TCF12"
"VTI1A",4.448497641305e-09,1.23430464399731,0.577,0.308,0.000120643256032192,"Normal","VTI1A"
"KMT2C",4.6725298659092e-09,0.782052658503684,0.81,0.613,0.000126719009963458,"Normal","KMT2C"
