"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZBTB16",7.25571376108898e-19,0.773996041920347,0.624,0.379,1.96774957200733e-14,"Normal","ZBTB16"
"RORA",1.24284788753646e-15,0.538246423952647,0.729,0.557,3.37060347099887e-11,"Normal","RORA"
"PBX1",2.14514459324118e-15,0.641058519729419,0.678,0.542,5.81763213687008e-11,"Normal","PBX1"
"MTND1P23",2.21871930287484e-15,0.754539874412793,0.58,0.382,6.01716674939656e-11,"Normal","MTND1P23"
"MTATP6P1",4.10341969344798e-15,0.675771954542706,0.597,0.387,1.11284742086309e-10,"Normal","MTATP6P1"
"MTATP8P1",1.50584640962511e-14,0.641787087953814,0.633,0.435,4.08385546290331e-10,"Normal","MTATP8P1"
"MTCO1P12",2.5519188276368e-14,0.602016562591968,0.64,0.446,6.92080386055099e-10,"Normal","MTCO1P12"
"ARHGAP6",6.20325393156075e-14,0.999900512969656,0.426,0.26,1.68232246623927e-09,"Normal","ARHGAP6"
"RPL7P23",1.26144596940579e-13,0.616956660854849,0.589,0.395,3.4210414690285e-09,"Normal","RPL7P23"
"ADH1B",1.82658473452679e-13,0.476054169776293,0.784,0.578,4.95369780003665e-09,"Normal","ADH1B"
"SVEP1",3.24577935886318e-13,0.713847234079429,0.566,0.382,8.80255362123694e-09,"Normal","SVEP1"
"GPX3",6.65878883404379e-13,0.521619531216192,0.738,0.679,1.80586353179268e-08,"Normal","GPX3"
"RPL3P4",1.11260191638453e-12,0.631492731907965,0.548,0.377,3.01737639723485e-08,"Normal","RPL3P4"
"FTX",2.0631640620626e-12,0.531643526997189,0.684,0.509,5.59530093631377e-08,"Normal","FTX"
"CELF2",2.10715581647153e-12,0.463160571282923,0.767,0.642,5.71460657427079e-08,"Normal","CELF2"
"KAZN",2.4132106897522e-12,0.773646451105266,0.537,0.391,6.54462739060798e-08,"Normal","KAZN"
"MIR100HG",2.62621255426879e-12,0.957017769728452,0.371,0.207,7.12228844717697e-08,"Normal","MIR100HG"
"RPS10-NUDT3",4.99095034590624e-12,0.640004941323035,0.52,0.353,1.35354573380977e-07,"Normal","RPS10-NUDT3"
"HSPA1A",5.07853297172327e-12,0.74818028097975,0.574,0.434,1.37729814193135e-07,"Normal","HSPA1A"
"MIR1244-2",5.49546968261675e-12,0.734355750118641,0.468,0.314,1.49037137792566e-07,"Normal","MIR1244-2"
"ATP8",9.166281529517e-12,0.592503651241323,0.646,0.491,2.48589555080501e-07,"Normal","ATP8"
"RPL4P4",1.24922941986239e-11,0.743866638315033,0.446,0.282,3.38791018666681e-07,"Normal","RPL4P4"
"RPL13P12",1.63711984252918e-11,0.585214786365539,0.56,0.385,4.43986901293915e-07,"Normal","RPL13P12"
"PLXDC2",1.71713899642585e-11,0.39442836107881,0.824,0.664,4.65688095830692e-07,"Normal","PLXDC2"
"SETBP1",1.87100091607249e-11,0.760718836585403,0.48,0.325,5.07415448438859e-07,"Normal","SETBP1"
"PDK4",1.89842338441004e-11,0.657424326281052,0.528,0.355,5.14852421852003e-07,"Normal","PDK4"
"SNHG31",2.11120173902024e-11,0.642264122866266,0.518,0.347,5.72557911622289e-07,"Normal","SNHG31"
"SLIT3",2.16692779001565e-11,0.521548675853067,0.626,0.464,5.87670816652243e-07,"Normal","SLIT3"
"POLR2J4",2.81465951469514e-11,0.98928297533819,0.325,0.178,7.63335660385323e-07,"Normal","POLR2J4"
"CACNA1D",3.02735201426987e-11,0.87025379472827,0.377,0.218,8.21017866269988e-07,"Normal","CACNA1D"
"LAMA2",8.06273842293208e-11,0.430458816632283,0.785,0.634,2.18661466029918e-06,"Normal","LAMA2"
"HIF3A",8.25122164362106e-11,0.874667103850898,0.308,0.162,2.23773130975003e-06,"Normal","HIF3A"
"SNHG5",1.22486503937387e-10,0.717184240227145,0.42,0.259,3.32183398678192e-06,"Normal","SNHG5"
"NDUFC2-KCTD14",1.79574535885723e-10,0.772387244097496,0.334,0.192,4.8700614132208e-06,"Normal","NDUFC2-KCTD14"
"SLIT2",1.94645376444805e-10,0.391383494163137,0.793,0.66,5.27878260918311e-06,"Normal","SLIT2"
"CLVS1",2.81549017641035e-10,0.751658020852366,0.402,0.257,7.63560935842488e-06,"Normal","CLVS1"
"RPL7P9",5.2850571304795e-10,0.609304031468756,0.488,0.334,1.43330749378604e-05,"Normal","RPL7P9"
