"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A2M",4.57229856640659e-10,0.541289431558564,"COPD",1.48981023886018e-11,"Fibroblast",0.79874213836478,0.693251533742331
"2","A2M-AS1",0.0395685455498925,0.0274341850631176,"COPD",0.0310654523634532,"Fibroblast",0.0188679245283019,0.00408997955010225
"3","A4GALT",8.60398421136306e-05,0.245710700715247,"Normal",7.64279435377091e-06,"Fibroblast",0.10272536687631,0.206543967280164
"4","AAAS",0.0285377668653395,0.0934912360801384,"Normal",0.0171027346031612,"Fibroblast",0.0712788259958071,0.116564417177914
"5","AACS",0.036242476919845,0.0778892874725196,"Normal",0.0260079838253348,"Fibroblast",0.0377358490566038,0.0695296523517382
"6","AAR2",0.00727618606552506,0.127753581866935,"Normal",0.00204907334506253,"Fibroblast",0.0524109014675052,0.104294478527607
"7","AARS",0.0342387411629204,0.0812653789488527,"Normal",0.0238529011359988,"Fibroblast",0.0775681341719078,0.122699386503067
"8","AASS",0.0484314880446966,0.117613051796101,"Normal",0.046185852683526,"Fibroblast",0.132075471698113,0.179959100204499
"9","ABCA10",0.0166854325080619,0.146976239711736,"COPD",0.00711665160918759,"Fibroblast",0.190775681341719,0.124744376278119
"10","ABCA8",0.0139539670032329,0.264443831424296,"COPD",0.0053206941676408,"Fibroblast",0.50314465408805,0.443762781186094
"11","ABCA9",0.0116223088551933,0.188900192240501,"COPD",0.00404450442410948,"Fibroblast",0.220125786163522,0.151329243353783
"12","ABCC9",0.000955200668026172,0.23792575317923,"COPD",0.000137286941518854,"Fibroblast",0.178197064989518,0.0961145194274029
"13","ABHD4",0.0463939823928632,0.0443917302217878,"Normal",0.0417627105718862,"Fibroblast",0.0272536687631027,0.0531697341513292
"14","ABI2",0.0258152695723393,0.173742461783302,"COPD",0.014379645890566,"Fibroblast",0.272536687631027,0.210633946830266
"15","ABI3BP",0.0411122397482094,0.196627934532973,"COPD",0.0333458856918176,"Fibroblast",0.534591194968553,0.47239263803681
"16","ABLIM1",0.0371376244969087,0.127894019717365,"COPD",0.0274718680708595,"Fibroblast",0.228511530398323,0.169734151329243
"17","ABLIM3",0.0276838920643275,0.111623213288064,"Normal",0.0162688504567324,"Fibroblast",0.0922431865828092,0.141104294478528
"18","ABRAXAS1",0.0231721072438217,0.0805286711477004,"COPD",0.0119408551059965,"Fibroblast",0.0733752620545073,0.0368098159509202
"19","ABRAXAS2",0.0108251749108378,0.0971416429747157,"COPD",0.00359859383188052,"Fibroblast",0.0649895178197065,0.0265848670756646
"20","AC002467.1",0.0463939823928632,0.018887245226522,"COPD",0.0426507906404522,"Fibroblast",0.00838574423480084,0
"21","AC003681.1",0.0395416310085713,0.0317219533692991,"COPD",0.030967631111833,"Fibroblast",0.0188679245283019,0.00408997955010225
"22","AC004148.2",0.00997809110100581,0.0450666309910631,"COPD",0.00317379158371791,"Fibroblast",0.0230607966457023,0.00204498977505112
"23","AC004816.2",0.0337497668972686,0.0180359264175929,"COPD",0.0233420614343793,"Fibroblast",0.010482180293501,0
"24","AC005070.3",0.0463939823928632,0.0189338051124978,"COPD",0.0426507906404522,"Fibroblast",0.00838574423480084,0
"25","AC005224.3",0.0463939823928632,0.0248388406069419,"COPD",0.0426507906404522,"Fibroblast",0.00838574423480084,0
"26","AC005229.4",0.00525025930011836,0.0405930448923134,"COPD",0.00129932716581672,"Fibroblast",0.0209643605870021,0
"27","AC005261.1",1.42871962184146e-09,0.251867004226279,"COPD",4.98777214762341e-11,"Fibroblast",0.119496855345912,0.0143149284253579
"28","AC005332.7",0.00513424668535011,0.0557467045426843,"COPD",0.0012526924612433,"Fibroblast",0.0314465408805031,0.00408997955010225
"29","AC005921.2",0.000212651061048398,0.098280762847269,"COPD",2.11568221932762e-05,"Fibroblast",0.0419287211740042,0.00204498977505112
"30","AC007032.1",0.0337497668972686,0.0235739031621371,"COPD",0.0233420614343793,"Fibroblast",0.010482180293501,0
"31","AC007325.4",0.00348110193596258,0.0992419247186553,"Normal",0.000736656812037162,"Fibroblast",0.0230607966457023,0.0695296523517382
"32","AC007563.2",0.0240165536361219,0.0236126084526224,"COPD",0.0129298128407952,"Fibroblast",0.0125786163522013,0
"33","AC007620.2",0.0463939823928632,0.0150527079644387,"COPD",0.0426507906404522,"Fibroblast",0.00838574423480084,0
"34","AC007878.1",0.0463939823928632,0.0193283628787288,"COPD",0.0426507906404522,"Fibroblast",0.00838574423480084,0
"35","AC007952.4",3.52933165719981e-07,0.16985559731104,"COPD",1.73865446262365e-08,"Fibroblast",0.079664570230608,0.00613496932515337
"36","AC008105.3",0.0395685455498925,0.0249054611672496,"COPD",0.0310654523634532,"Fibroblast",0.0188679245283019,0.00408997955010225
"37","AC008124.1",0.000514537828094051,0.0966819615891428,"COPD",6.36685675570218e-05,"Fibroblast",0.0566037735849057,0.0102249488752556
"38","AC008264.2",0.0463939823928632,0.0144420750896104,"COPD",0.0426507906404522,"Fibroblast",0.00838574423480084,0
"39","AC008608.2",0.0166854325080619,0.0327506502547192,"COPD",0.00722301888246588,"Fibroblast",0.0146750524109015,0
