"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLXDC2",2.20302374780244e-52,0.364916308227845,0.934,0.862,5.97460040404022e-48,"Normal","PLXDC2"
"TMEM52B",7.66226495873785e-45,0.730720711281151,0.586,0.42,2.07800625680971e-40,"Normal","TMEM52B"
"PPARG",1.08101590242967e-43,0.455586235517456,0.814,0.716,2.93171512738927e-39,"Normal","PPARG"
"POLR2J3",3.0469990808556e-36,0.627240283083869,0.599,0.448,8.26346150728038e-32,"Normal","POLR2J3"
"MCF2L2",2.71381041993867e-35,0.454175551997047,0.767,0.626,7.35985385887368e-31,"Normal","MCF2L2"
"MS4A6E",1.61038142982642e-34,0.369924902420903,0.816,0.688,4.36735443768926e-30,"Normal","MS4A6E"
"SNHG32",2.65649688756387e-33,0.662706713628812,0.545,0.408,7.20441955907322e-29,"Normal","SNHG32"
"SFMBT2",5.55892099197202e-32,0.774805384443647,0.457,0.314,1.50757937302281e-27,"Normal","SFMBT2"
"MYO9B",2.82025480273011e-31,0.399742425886391,0.791,0.704,7.64853102500407e-27,"Normal","MYO9B"
"PRKCE",1.62596860736888e-30,0.453765020808199,0.742,0.628,4.4096268631844e-26,"Normal","PRKCE"
"MAML2",1.38019554731719e-29,0.418718432804752,0.781,0.705,3.74309032432423e-25,"Normal","MAML2"
"LOC729732",4.66189202828044e-29,1.05251875724469,0.256,0.131,1.26430511806966e-24,"Normal","LOC729732"
"ABR",5.98870983660611e-28,0.446302886788048,0.714,0.609,1.62413810768758e-23,"Normal","ABR"
"HSPA1B",1.6415485391533e-26,0.728064795467114,0.442,0.318,4.45187963818375e-22,"Normal","HSPA1B"
"DHRS3",1.36771534488499e-25,0.826997860484937,0.376,0.26,3.70924401532811e-21,"Normal","DHRS3"
"HRH1",2.35413118817955e-25,0.885760003633591,0.273,0.155,6.38440378234294e-21,"Normal","HRH1"
"TAOK3",4.6248594128231e-25,0.386021297288081,0.755,0.689,1.25426187275762e-20,"Normal","TAOK3"
"ARL15",2.46478610544899e-24,0.428892920103594,0.687,0.592,6.68449991797765e-20,"Normal","ARL15"
"TMEM150B",2.01050783341076e-23,0.792319917954906,0.296,0.177,5.45249724420997e-19,"Normal","TMEM150B"
"DLEU2",1.00859025651985e-22,0.46469214090432,0.593,0.469,2.73529677568184e-18,"Normal","DLEU2"
"HSPA1A",1.71861249311545e-22,0.558275154953708,0.546,0.455,4.66087708132911e-18,"Normal","HSPA1A"
"HSPH1",7.32981326632709e-22,0.772211430238768,0.415,0.316,1.98784535782791e-17,"Normal","HSPH1"
"SLC8A1",1.7713259862304e-21,0.340970346210929,0.772,0.716,4.80383607465686e-17,"Normal","SLC8A1"
"PLIN2",4.22746972624883e-21,0.324229060328926,0.765,0.717,1.14648978975868e-16,"Normal","PLIN2"
"LONRF3",8.18896613120129e-21,0.647620526578061,0.393,0.278,2.22084761478179e-16,"Normal","LONRF3"
"CYTH1",7.33947766015784e-20,0.304792008821538,0.802,0.737,1.99046634143481e-15,"Normal","CYTH1"
"NEK6",2.11213125889584e-19,0.582649275690778,0.444,0.339,5.72809997412552e-15,"Normal","NEK6"
"ADAMTSL4-AS1",2.23631375071673e-19,0.463045814090757,0.512,0.384,6.06488289194376e-15,"Normal","ADAMTSL4-AS1"
"QKI",8.98821406187534e-19,0.257520172632312,0.839,0.801,2.43760365358059e-14,"Normal","QKI"
"FBXO11",1.28082061546941e-18,0.436374841304831,0.612,0.528,3.47358550915305e-14,"Normal","FBXO11"
"SPIDR",2.46565495660967e-18,0.356222103575639,0.698,0.622,6.68685624232543e-14,"Normal","SPIDR"
"GAB2",4.50542373215688e-18,0.308286020171128,0.776,0.686,1.22187091616095e-13,"Normal","GAB2"
"NPIPB3",4.54106516255252e-18,0.479627409822811,0.577,0.46,1.23153687208424e-13,"Normal","NPIPB3"
