"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A1BG",0.000191415572201185,0.0479874287677124,"Normal",9.82251028573707e-05,"Macrophages",0.108600583090379,0.163677130044843
"2","A1BG-AS1",0.0439173262541437,0.00735657013025614,"Normal",0.0429448352995608,"Macrophages",0.0116618075801749,0.0216741405082212
"3","A2M-AS1",0.0437560329213932,0.00666036553243719,"Normal",0.0427643690086306,"Macrophages",0,0.00298953662182362
"4","A4GALT",0.0100465411684802,0.0111539887758613,"Normal",0.00796182382028531,"Macrophages",0.0284256559766764,0.0485799701046338
"5","AAAS",1.62594268398845e-08,0.0830544908421164,"Normal",3.54803378073787e-09,"Macrophages",0.043731778425656,0.103886397608371
"6","AACS",0.0211970982836377,0.0108108389699495,"Normal",0.0185690454840816,"Macrophages",0.0393586005830904,0.0597907324364723
"7","AADACL2",0.0110995164909744,0.0259449707776331,"COPD",0.00891284596904945,"Macrophages",0.00510204081632653,0
"8","AADAT",0.0375249397792093,0.0025760068619278,"Normal",0.0357000125400783,"Macrophages",0.00510204081632653,0.0127055306427504
"9","AAED1",1.48614713700958e-17,0.206537376173223,"Normal",6.18004839176455e-19,"Macrophages",0.0699708454810496,0.183109118086697
"10","AAGAB",0.00509604224949973,0.013644531034568,"Normal",0.00371276266602496,"Macrophages",0.0670553935860058,0.100149476831091
"11","AAMDC",5.60912044630201e-08,0.12257213074161,"Normal",1.3814332401798e-08,"Macrophages",0.110058309037901,0.1898355754858
"12","AAMP",3.8236969440497e-10,0.147139525166241,"Normal",5.97465069852033e-11,"Macrophages",0.113702623906706,0.208520179372197
"13","AAR2",5.03717930161434e-06,0.0467502771294129,"Normal",1.8480305390786e-06,"Macrophages",0.0451895043731778,0.0926756352765321
"14","AARS",1.14967293584593e-10,0.0830150601832675,"Normal",1.62668591402792e-11,"Macrophages",0.0400874635568513,0.108370702541106
"15","AARS2",0.000198646490057271,0.0210620891181054,"Normal",0.000102307382445547,"Macrophages",0.0087463556851312,0.0291479820627803
"16","AARSD1",1.57225010745911e-07,0.0456078262163138,"Normal",4.19486138963104e-08,"Macrophages",0.0065597667638484,0.0373692077727952
"17","AASDH",8.00657409424081e-06,0.0698501718270981,"Normal",3.06229193187565e-06,"Macrophages",0.0517492711370262,0.0994020926756353
"18","AASDHPPT",1.94985475734104e-11,0.125189834559582,"Normal",2.37371859948681e-12,"Macrophages",0.0816326530612245,0.174887892376682
"19","AATBC",0.00270168423851458,0.0237402864536694,"Normal",0.00183857209952349,"Macrophages",0.0087463556851312,0.0239162929745889
"20","AATF",1.88958686035293e-05,0.0933975778373109,"Normal",7.78897172398314e-06,"Macrophages",0.15597667638484,0.228699551569507
"21","ABALON",0.00214664397000293,0.0799153597481833,"COPD",0.00142514485834689,"Macrophages",0.0269679300291545,0.0104633781763827
"22","ABCA1",0.000105290579303253,0.153229993378196,"Normal",5.08884398774116e-05,"Macrophages",0.197521865889213,0.267563527653214
"23","ABCA10",0.0397684387448992,0.0147964235179921,"COPD",0.0382387243945912,"Macrophages",0.0065597667638484,0.00149476831091181
"24","ABCA2",0.0413557770766654,0.00387298394891166,"Normal",0.0399326808907441,"Macrophages",0.0131195335276968,0.0239162929745889
"25","ABCB7",0.00493711393151833,0.0270379126528421,"Normal",0.00358824862202357,"Macrophages",0.097667638483965,0.136023916292975
"26","ABCB8",5.24700808583682e-05,0.0406178464051491,"Normal",2.3821274883927e-05,"Macrophages",0.0444606413994169,0.0852017937219731
"27","ABCC10",5.47610324317323e-05,0.0395228560170416,"Normal",2.49695278350741e-05,"Macrophages",0.0182215743440233,0.047085201793722
"28","ABCC11",0.014450223999886,0.0408871346212184,"COPD",0.0119820133717736,"Macrophages",0.0160349854227405,0.00597907324364723
"29","ABCC3",0.000564201410628888,0.0793539720368817,"Normal",0.000324420210228546,"Macrophages",0.167638483965015,0.229446935724963
"30","ABCD1",0.00012620263751159,0.0673690974035695,"Normal",6.20451473949795e-05,"Macrophages",0.0408163265306122,0.0769805680119581
"31","ABCD4",0.000315796408703196,0.0689839434174294,"Normal",0.000170915490561268,"Macrophages",0.0604956268221574,0.0994020926756353
"32","ABCE1",2.77195715742449e-07,0.123960724635188,"Normal",7.75767612827397e-08,"Macrophages",0.112973760932945,0.187593423019432
"33","ABCF1",1.03364736302091e-08,0.167229570267473,"Normal",2.16852102981204e-09,"Macrophages",0.166909620991254,0.267563527653214
"34","ABCF2",2.77816398599813e-17,0.113847279126568,"Normal",1.22459874213869e-18,"Macrophages",0.0189504373177843,0.0994020926756353
"35","ABCF3",7.1248048743496e-06,0.0589601757263795,"Normal",2.69170817271925e-06,"Macrophages",0.0663265306122449,0.120328849028401
