"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP6",1.75380713565048e-117,0.509325687358741,0.947,0.718,4.75632495188411e-113,"Normal","ATP6"
"MTCO1P12",4.02937125474844e-98,0.473501514247425,0.943,0.717,1.09276548428778e-93,"Normal","MTCO1P12"
"COX1",1.35122132393182e-94,0.460126698866319,0.947,0.718,3.6645122305031e-90,"Normal","COX1"
"ND1",9.59544794723191e-92,0.473509149900458,0.934,0.705,2.60228548328929e-87,"Normal","ND1"
"COX2",3.14590312936998e-90,0.45307754472133,0.947,0.718,8.53168928685139e-86,"Normal","COX2"
"ND4L",1.14700353883915e-87,0.451210645457985,0.946,0.716,3.11067359733178e-83,"Normal","ND4L"
"FGD4",1.6727602227526e-79,0.536203517592117,0.808,0.67,4.53652572410505e-75,"Normal","FGD4"
"MTATP6P1",2.95259904387614e-79,0.505076866670719,0.892,0.667,8.00744860699209e-75,"Normal","MTATP6P1"
"ATP8",1.52753540627826e-78,0.437899475758341,0.941,0.716,4.14267602182664e-74,"Normal","ATP8"
"ND3",8.76452053682578e-78,0.452040869055928,0.935,0.708,2.37693796958715e-73,"Normal","ND3"
"DPYD",1.00344624039695e-77,0.465394684532591,0.871,0.734,2.72134620395653e-73,"Normal","DPYD"
"JARID2",2.55510053753693e-77,0.45050179460836,0.896,0.745,6.92943265780014e-73,"Normal","JARID2"
"CYTB",6.89492111931079e-77,0.446300974829615,0.937,0.71,1.86990260755709e-72,"Normal","CYTB"
"GAB2",1.28577853203162e-74,0.507121487216495,0.838,0.663,3.48703137886976e-70,"Normal","GAB2"
"MTATP8P1",1.6845362829377e-74,0.445197165377734,0.923,0.703,4.56846239932704e-70,"Normal","MTATP8P1"
"FOXO3",6.54802857162301e-74,0.539871316788922,0.793,0.634,1.77582534862416e-69,"Normal","FOXO3"
"ND2",1.22993300475392e-73,0.429836199936677,0.939,0.711,3.33557830889264e-69,"Normal","ND2"
"QKI",9.88806009977232e-72,0.478697286590862,0.816,0.709,2.68164189905825e-67,"Normal","QKI"
"SNHG5",1.015706945415e-70,0.848013084032222,0.546,0.345,2.75459723596549e-66,"Normal","SNHG5"
"PLXDC2",1.63160180852993e-70,0.531990588406017,0.8,0.661,4.42490410473318e-66,"Normal","PLXDC2"
"USP36",4.17757994960819e-68,0.873491874580124,0.532,0.335,1.13295968233374e-63,"Normal","USP36"
"MTND1P23",7.38358358636892e-68,0.493000866569921,0.835,0.647,2.00242786862325e-63,"Normal","MTND1P23"
"ZFAND3",3.16164377320664e-65,0.474205590108974,0.831,0.67,8.5743779129364e-61,"Normal","ZFAND3"
"DOCK4",3.20241459451449e-65,0.503387201175348,0.803,0.589,8.6849483803233e-61,"Normal","DOCK4"
"TAOK3",2.46062082195594e-62,0.653433871260407,0.655,0.52,6.6732036691445e-58,"Normal","TAOK3"
"MYO9B",1.04025628111005e-60,0.459204354283549,0.8,0.647,2.82117503437046e-56,"Normal","MYO9B"
"ABCA1",1.79482989689873e-57,0.710678809385437,0.579,0.394,4.86757868038935e-53,"Normal","ABCA1"
"MTCO2P12",4.77145030202242e-56,0.518623861201093,0.724,0.551,1.29401732190848e-51,"Normal","MTCO2P12"
"OXSR1",7.16677773431022e-56,0.712002980087603,0.586,0.424,1.94363012154493e-51,"Normal","OXSR1"
"DLEU2",4.12645898585957e-53,0.744626161289053,0.537,0.368,1.11909567696512e-48,"Normal","DLEU2"
"SIK3",8.32034969617202e-53,0.398566462051217,0.846,0.696,2.25647883760185e-48,"Normal","SIK3"
"ND6",3.55155036942637e-52,0.486398948402963,0.736,0.548,9.63180460188432e-48,"Normal","ND6"
"ND5",3.61567216498076e-52,0.426441360041524,0.808,0.615,9.80570291142782e-48,"Normal","ND5"
"ADAMTS2",1.24393216391465e-51,1.45841563192234,0.2,0.068,3.37354402853653e-47,"Normal","ADAMTS2"
"FNDC3A",2.12604057532501e-50,0.606936963680229,0.626,0.47,5.76582204028144e-46,"Normal","FNDC3A"
"TMEM52B",4.24154011968573e-50,1.08387562176037,0.304,0.147,1.15030568045877e-45,"Normal","TMEM52B"
"KYNU",8.6185163425013e-50,0.380527704562795,0.828,0.732,2.33734163208635e-45,"Normal","KYNU"
"SNHG32",6.02390570437451e-49,0.910889607200978,0.398,0.233,1.63368322702637e-44,"Normal","SNHG32"
"LOC101928626",1.89602225787871e-48,0.410418367874476,0.807,0.623,5.14201236336707e-44,"Normal","LOC101928626"
"CYTH1",2.87069655086686e-48,0.461764451515421,0.741,0.605,7.78532904595093e-44,"Normal","CYTH1"
"LRMDA",3.1288626933607e-48,0.586022373718875,0.624,0.461,8.48547562439423e-44,"Normal","LRMDA"
"GPCPD1",4.04246016287529e-46,0.333983979329937,0.875,0.785,1.09631519617178e-41,"Normal","GPCPD1"
"CUX1",2.13915744770355e-45,0.425329011941419,0.763,0.642,5.80139499817202e-41,"Normal","CUX1"
"PPARG",1.65078842202414e-44,0.961337473128188,0.351,0.201,4.47693820052948e-40,"Normal","PPARG"
"MAP2K1",2.10465694950576e-43,0.334453168657784,0.852,0.749,5.70782964705961e-39,"Normal","MAP2K1"
"ARL15",1.47427155332614e-41,0.729389664963732,0.451,0.295,3.99822445262049e-37,"Normal","ARL15"
"ZEB2",2.48511582714813e-40,0.224631188214009,0.946,0.902,6.73963412322573e-36,"Normal","ZEB2"
"HIF1A",8.07546214572754e-40,0.328058434864335,0.838,0.75,2.19006533392131e-35,"Normal","HIF1A"
"SNX29",1.19199804398988e-39,0.775244488537399,0.416,0.268,3.23269869530056e-35,"Normal","SNX29"
"CYRIB",2.29266899521573e-38,0.482627395182054,0.64,0.466,6.21771831502505e-34,"Normal","CYRIB"
"LINC-PINT",1.42733423865894e-37,0.359168868095987,0.814,0.638,3.87093045524304e-33,"Normal","LINC-PINT"
"FMN1",3.3265878134578e-37,0.47909414534438,0.617,0.456,9.02170615009755e-33,"Normal","FMN1"
"TG",7.71628663108097e-37,0.612117034999199,0.473,0.319,2.09265693434916e-32,"Normal","TG"
"SLC8A1",4.58527863837754e-36,0.508690729100787,0.644,0.531,1.24352756672799e-31,"Normal","SLC8A1"
"HSPA1B",6.24441093630651e-36,0.820232684830283,0.315,0.178,1.69348424592633e-31,"Normal","HSPA1B"
"MTCO1P40",6.55993239288202e-36,1.66686809123382,0.244,0.127,1.7790536649496e-31,"Normal","MTCO1P40"
"EXOC4",1.4335163871855e-35,0.612393190107329,0.49,0.345,3.88769644204708e-31,"Normal","EXOC4"
"MAP4K3",1.5923471756774e-35,0.660214661105219,0.453,0.305,4.31844554043711e-31,"Normal","MAP4K3"
"RAB7A",4.88273492356371e-35,0.329916365836712,0.801,0.733,1.32419771127048e-30,"Normal","RAB7A"
"COP1",8.1653858565551e-35,0.535633212530519,0.567,0.428,2.21445264429774e-30,"Normal","COP1"
"ATG7",9.96065773267519e-35,0.706191313308099,0.445,0.316,2.70133037710151e-30,"Normal","ATG7"
"ALDH1A2",5.08190400666913e-34,0.674020842938692,0.383,0.239,1.37821236660867e-29,"Normal","ALDH1A2"
"RPL13P12",5.56496118661183e-34,0.349435827075143,0.738,0.598,1.50921747380913e-29,"Normal","RPL13P12"
"ZSWIM6",5.85813116074075e-34,0.321931478585186,0.797,0.681,1.58872517079289e-29,"Normal","ZSWIM6"
"DENND5A",8.58519494358166e-34,0.404204133203054,0.677,0.549,2.32830486869935e-29,"Normal","DENND5A"
"MAML2",9.08723457536344e-34,0.608969693141043,0.502,0.366,2.46445801683857e-29,"Normal","MAML2"
"B4GALT1",9.70371911068247e-34,0.408123742364702,0.691,0.582,2.63164862281709e-29,"Normal","B4GALT1"
"CYRIA",1.23477135683642e-33,0.363983850796702,0.747,0.59,3.34869991974038e-29,"Normal","CYRIA"
"MANBA",2.42311415994028e-33,0.407435421743076,0.693,0.565,6.57148560175805e-29,"Normal","MANBA"
"MRTFA",2.47702687597947e-33,0.543106178738732,0.504,0.351,6.71769688765632e-29,"Normal","MRTFA"
"FNDC3B",4.74741688687698e-33,0.3398391114488,0.786,0.666,1.28749945972104e-28,"Normal","FNDC3B"
"ACSL3",1.27909181716969e-32,0.431927377492829,0.67,0.563,3.46889700816419e-28,"Normal","ACSL3"
"PTPRJ",1.49615835343662e-32,0.521330434374369,0.567,0.437,4.05758145452013e-28,"Normal","PTPRJ"
"SLC49A4",4.25981903433468e-32,0.710363010212484,0.354,0.216,1.15526292211156e-27,"Normal","SLC49A4"
"CCSER1",4.76928197159757e-32,0.338464984866614,0.783,0.619,1.29342927069726e-27,"Normal","CCSER1"
"RAPGEF1",5.57428234130259e-32,0.388139178788861,0.718,0.603,1.51174537096126e-27,"Normal","RAPGEF1"
"TBC1D5",6.58525727358896e-32,0.566597435716272,0.513,0.386,1.78592177259733e-27,"Normal","TBC1D5"
"SCHLAP1",6.91890335572262e-32,0.345012399784991,0.899,0.685,1.87640659007197e-27,"Normal","SCHLAP1"
"AMPH",1.07300131775441e-31,1.29836181642286,0.145,0.054,2.90997957374997e-27,"Normal","AMPH"
"VAV3",1.2551842581978e-31,0.850536277811241,0.311,0.188,3.40405970823242e-27,"Normal","VAV3"
"TPST1",1.68339733278107e-31,0.597414615337571,0.405,0.258,4.56537356650225e-27,"Normal","TPST1"
"MED13L",2.87805804619515e-31,0.376742789142518,0.725,0.619,7.80529342128124e-27,"Normal","MED13L"
"NUP98",4.79336473432845e-31,0.475056976317661,0.593,0.471,1.29996051594988e-26,"Normal","NUP98"
"RBM47",5.80298567390828e-31,0.30349736756757,0.832,0.734,1.57376971476392e-26,"Normal","RBM47"
"IL1R2",5.88343223214483e-31,0.524874020701661,0.549,0.421,1.59558682135768e-26,"Normal","IL1R2"
"SLC39A11",1.17744481279346e-30,0.653765760608238,0.428,0.299,3.19323033229586e-26,"Normal","SLC39A11"
"LINC01619",1.2414216343949e-30,0.328059389590166,0.824,0.641,3.36673547247898e-26,"Normal","LINC01619"
"CDH23",1.30669062664573e-30,0.779432916603613,0.375,0.254,3.54374497946322e-26,"Normal","CDH23"
"PIK3R5",4.79093349548677e-30,0.387308149393631,0.683,0.551,1.29930116397601e-25,"Normal","PIK3R5"
"RPL7P23",5.34535942686813e-30,0.363439305265416,0.702,0.562,1.44966147656664e-25,"Normal","RPL7P23"
"FOXN3",5.75740492925131e-30,0.43184660092473,0.645,0.546,1.56140821681295e-25,"Normal","FOXN3"
"ASAP1",5.95099019472407e-30,0.404293608920955,0.68,0.571,1.61390854080917e-25,"Normal","ASAP1"
"ARHGAP26",6.28988412573208e-30,0.297159196582463,0.822,0.729,1.70581657489854e-25,"Normal","ARHGAP26"
"HSPA1A",7.12777929671425e-30,0.657495646838625,0.409,0.284,1.9330537452689e-25,"Normal","HSPA1A"
"SPIDR",1.21790447161491e-29,0.479802660317461,0.573,0.448,3.30295692701963e-25,"Normal","SPIDR"
"ATP1B3",1.84575377294951e-29,0.223130446503327,0.896,0.862,5.00568423223907e-25,"Normal","ATP1B3"
"RREB1",4.58975172312524e-29,0.606011622163173,0.446,0.323,1.24474066731156e-24,"Normal","RREB1"
"SEPTIN6",5.63240287271532e-29,0.692366503797548,0.347,0.22,1.52750765908039e-24,"Normal","SEPTIN6"
"RASSF3",6.51297301510835e-29,0.576002898732799,0.509,0.402,1.76631828169739e-24,"Normal","RASSF3"
"POLR2J4",1.16836579778809e-28,0.733868276046249,0.33,0.206,3.16860804360129e-24,"Normal","POLR2J4"
"EEPD1",1.66961688274245e-28,0.843663412967966,0.262,0.149,4.52800098599754e-24,"Normal","EEPD1"
"CTSB",1.80955769026412e-28,0.212998178220176,0.905,0.869,4.9075204559963e-24,"Normal","CTSB"
"ANKRD11",3.98827108984296e-28,0.316545727247641,0.782,0.69,1.08161911956541e-23,"Normal","ANKRD11"
"FTX",7.56019112362488e-28,0.663916992622317,0.374,0.252,2.05032383272707e-23,"Normal","FTX"
"CD163L1",1.05289836554376e-27,0.412130000397489,0.543,0.384,2.85546036735467e-23,"Normal","CD163L1"
"TCF12",1.19455165724249e-27,0.546355227206844,0.497,0.372,3.23962409444164e-23,"Normal","TCF12"
"RASA1",2.54825440020787e-27,0.502960741147741,0.519,0.391,6.91086593336376e-23,"Normal","RASA1"
"ELL2",3.59016868691665e-27,0.281286602045775,0.824,0.718,9.73653747891795e-23,"Normal","ELL2"
"ELMO1",4.06534848348623e-27,0.509945021503262,0.481,0.356,1.10252250872147e-22,"Normal","ELMO1"
"RPL21P75",5.72958369182573e-27,0.317029521003823,0.739,0.592,1.55386309722314e-22,"Normal","RPL21P75"
"OLR1",6.78021162560604e-27,0.484786175827556,0.499,0.369,1.83879339286436e-22,"Normal","OLR1"
"ARHGAP15",9.77446243187516e-27,0.50202793923845,0.527,0.402,2.65083421152454e-22,"Normal","ARHGAP15"
"MS4A6E",2.27527963022836e-26,0.521994925423822,0.456,0.326,6.17055835717931e-22,"Normal","MS4A6E"
"ARID5B",2.55167032561362e-26,0.604246193265751,0.457,0.35,6.92012992306413e-22,"Normal","ARID5B"
"EIF2AK3",9.19878016524261e-26,0.549365747884242,0.433,0.31,2.4947091808138e-21,"Normal","EIF2AK3"
"FAM20A",1.15134294889438e-25,0.856407590614873,0.224,0.124,3.12244207740156e-21,"Normal","FAM20A"
"DOCK10",3.61232347043708e-25,0.668466082359277,0.398,0.29,9.79662125182537e-21,"Normal","DOCK10"
"RANBP2",3.72502827168171e-25,0.483535396701525,0.547,0.439,1.01022766728008e-20,"Normal","RANBP2"
"ANKDD1A",5.44579022211179e-25,0.74981388058392,0.289,0.182,1.47689830823672e-20,"Normal","ANKDD1A"
"RNASEK",6.9646543822389e-25,0.360593150644332,0.682,0.563,1.88881426846319e-20,"Normal","RNASEK"
"GK",9.16417037614428e-25,0.311673851055552,0.748,0.692,2.48532300601033e-20,"Normal","GK"
"STK10",9.66954535869357e-25,0.402452120258041,0.624,0.542,2.6223807012777e-20,"Normal","STK10"
"IL6ST",1.05991681623843e-24,0.265887863666429,0.884,0.768,2.87449440563862e-20,"Normal","IL6ST"
"VSIG4",1.46014984972487e-24,0.77661314824495,0.237,0.137,3.95992639245384e-20,"Normal","VSIG4"
"CLASP2",2.03293174448495e-24,0.679443560478735,0.336,0.228,5.51331089104319e-20,"Normal","CLASP2"
"SBF2",2.3003358647084e-24,0.318586079820046,0.715,0.607,6.23851086508918e-20,"Normal","SBF2"
"GPX1",3.49204849637473e-24,0.307598220654169,0.693,0.546,9.47043552216826e-20,"Normal","GPX1"
"INPP5A",4.26224152117743e-24,0.480653881266562,0.442,0.315,1.15591990054332e-19,"Normal","INPP5A"
"CMIP",5.32892330642467e-24,0.352971384800703,0.666,0.572,1.44520400070237e-19,"Normal","CMIP"
"DENND1A",5.42500974444971e-24,0.557860671715079,0.439,0.326,1.47126264269476e-19,"Normal","DENND1A"
"NOCT",6.46556291317965e-24,0.613461757926115,0.338,0.228,1.75346066205432e-19,"Normal","NOCT"
"IL10",1.17620056681528e-23,0.919837284533989,0.193,0.102,3.18985593720303e-19,"Normal","IL10"
"RUNX1",1.2912547889585e-23,0.306834246604299,0.714,0.624,3.50188298765545e-19,"Normal","RUNX1"
"ANKRD17",1.65611366720578e-23,0.516187549460109,0.493,0.392,4.49138026546208e-19,"Normal","ANKRD17"
"ARSG",2.86316828646812e-23,0.66012599520183,0.343,0.236,7.76491239290155e-19,"Normal","ARSG"
"KDM6A",3.22020860231724e-23,0.442551248173487,0.488,0.366,8.73320572948435e-19,"Normal","KDM6A"
"RPL3P4",6.93635759636839e-23,0.348786105458756,0.622,0.493,1.88114018013511e-18,"Normal","RPL3P4"
"KIF13A",7.45533580321085e-23,0.677709410539157,0.332,0.228,2.02188706983078e-18,"Normal","KIF13A"
"RPL6P27",1.41292331547595e-22,0.33314244373021,0.635,0.515,3.83184803157077e-18,"Normal","RPL6P27"
"MAP4K4",1.51817915258016e-22,0.422715699204398,0.577,0.482,4.11730186179739e-18,"Normal","MAP4K4"
"ERC1",1.91093227262721e-22,0.469840889964692,0.464,0.345,5.18244832336499e-18,"Normal","ERC1"
"NUMB",1.96793618135043e-22,0.36000936915103,0.66,0.586,5.33704292382238e-18,"Normal","NUMB"
"ZNF331",2.25047282645255e-22,0.330409010511584,0.709,0.64,6.1032823053393e-18,"Normal","ZNF331"
"PIAS1",2.6524713665236e-22,0.399016060636623,0.582,0.485,7.19350234601199e-18,"Normal","PIAS1"
"ABR",2.69365975787952e-22,0.463362803477282,0.491,0.382,7.30520526336927e-18,"Normal","ABR"
"MACROH2A1",4.02679159254956e-22,0.420982885772989,0.497,0.373,1.09206587989944e-17,"Normal","MACROH2A1"
"RPL17P6",8.88876606008017e-22,0.320843635246385,0.664,0.537,2.41063335549374e-17,"Normal","RPL17P6"
"ZNF609",1.02498925470582e-21,0.608142919360872,0.383,0.282,2.77977085876219e-17,"Normal","ZNF609"
"KCNIP4",1.05581904663902e-21,0.794970801738462,0.169,0.086,2.86338125448502e-17,"Normal","KCNIP4"
"ARHGAP24",1.16000132105022e-21,0.591542701624014,0.343,0.239,3.14592358268819e-17,"Normal","ARHGAP24"
"DIAPH2",1.16393482544218e-21,0.415268721246892,0.566,0.464,3.15659124659918e-17,"Normal","DIAPH2"
"RBM6",1.78531771113534e-21,0.471644840092315,0.472,0.368,4.84178163259904e-17,"Normal","RBM6"
"CSF2RA",2.19563340902746e-21,0.378379680715579,0.586,0.482,5.95455780528246e-17,"Normal","CSF2RA"
"SIPA1L1",4.88417328025308e-21,0.230496929740964,0.903,0.793,1.32458779360464e-16,"Normal","SIPA1L1"
"RPS26P31",5.14254106993861e-21,0.431186661445745,0.461,0.349,1.39465713816735e-16,"Normal","RPS26P31"
"STEAP1B",5.19173411565667e-21,0.284473165950941,0.795,0.637,1.40799829216609e-16,"Normal","STEAP1B"
"TRPS1",7.03440712963056e-21,0.495280783647047,0.487,0.396,1.90773121355581e-16,"Normal","TRPS1"
"POLR2J3",8.13911376423672e-21,0.531776102985092,0.384,0.277,2.207327652861e-16,"Normal","POLR2J3"
"RPS10-NUDT3",8.34566838480084e-21,0.322701885283216,0.652,0.515,2.26334526595799e-16,"Normal","RPS10-NUDT3"
"MCF2L2",8.51949000797312e-21,0.496564234748491,0.44,0.33,2.31048569016231e-16,"Normal","MCF2L2"
"FCHSD2",1.13108497757969e-20,0.628941218810124,0.348,0.249,3.06750245919612e-16,"Normal","FCHSD2"
"ATXN1",1.50790995892107e-20,0.387569565189764,0.566,0.462,4.08945180859395e-16,"Normal","ATXN1"
"ATP9B",1.61327319261376e-20,0.427341376004022,0.462,0.349,4.37519689836852e-16,"Normal","ATP9B"
"SNHG25",1.89094176985271e-20,0.511558021495652,0.402,0.298,5.12823407984056e-16,"Normal","SNHG25"
"FAM107B",2.26058577860099e-20,0.530016378292926,0.426,0.329,6.13070863156589e-16,"Normal","FAM107B"
"BRAF",2.5528196682631e-20,0.427318536824149,0.494,0.392,6.92324694032953e-16,"Normal","BRAF"
"ACSL1",3.48794950336127e-20,0.239806332625749,0.832,0.793,9.45931905311577e-16,"Normal","ACSL1"
"CERT1",4.64867026914667e-20,0.478198026385268,0.406,0.296,1.26071937699258e-15,"Normal","CERT1"
"ANKUB1",6.22973349461492e-20,0.419712340593419,0.439,0.322,1.68950372373957e-15,"Normal","ANKUB1"
"COPA",6.31672488116953e-20,0.369521443589325,0.607,0.536,1.71309578777318e-15,"Normal","COPA"
"ANKHD1",6.59064596978214e-20,0.46792499077917,0.444,0.34,1.78738318700492e-15,"Normal","ANKHD1"
"TBC1D8",7.4859412998255e-20,0.464618392910324,0.453,0.347,2.03018728051267e-15,"Normal","TBC1D8"
"EEF1G",7.67794573872588e-20,0.320441009035434,0.636,0.519,2.08225888434246e-15,"Normal","EEF1G"
"CHST11",1.14706695694882e-19,0.308260322669495,0.703,0.595,3.1108455872452e-15,"Normal","CHST11"
"EPB41L3",1.24161683066348e-19,0.333149202598387,0.662,0.59,3.36726484475937e-15,"Normal","EPB41L3"
"PCSK5",1.41822982339004e-19,0.578972382881728,0.289,0.192,3.84623928103379e-15,"Normal","PCSK5"
"EMILIN2",1.6445929242798e-19,0.362076361006556,0.61,0.537,4.46013601064682e-15,"Normal","EMILIN2"
"ACKR3",1.6723921697342e-19,1.03994092315141,0.121,0.055,4.53552756431916e-15,"Normal","ACKR3"
"ZNF516",1.89714774823364e-19,0.630157314968105,0.275,0.181,5.14506469320963e-15,"Normal","ZNF516"
"VTI1A",3.13161249308477e-19,0.467518824253765,0.451,0.352,8.4929330812459e-15,"Normal","VTI1A"
"ATP2B1",3.73855133702166e-19,0.244290394654746,0.771,0.732,1.01389512260028e-14,"Normal","ATP2B1"
"DGKI",4.04582819556355e-19,0.324180920306727,0.612,0.51,1.09722860663683e-14,"Normal","DGKI"
"GASK1B",5.53657965187247e-19,0.944852343749742,0.12,0.056,1.50152040158781e-14,"Normal","GASK1B"
"PRH1",6.09532340417457e-19,0.771405597423465,0.207,0.124,1.65305170721214e-14,"Normal","PRH1"
"PID1",6.42851144948596e-19,0.440201618058538,0.495,0.402,1.74341230510059e-14,"Normal","PID1"
"EIF4G3",6.58687571509209e-19,0.437252409272569,0.482,0.383,1.78636069393298e-14,"Normal","EIF4G3"
"PTPN12",6.62455094771364e-19,0.364186499519603,0.625,0.548,1.79657821701994e-14,"Normal","PTPN12"
"TTC19",7.4706321447387e-19,0.551919996341355,0.374,0.276,2.02603543765314e-14,"Normal","TTC19"
"RPS15P4",8.18043392624884e-19,0.284684040289524,0.714,0.578,2.21853368079868e-14,"Normal","RPS15P4"
"HSPH1",1.15527131114554e-18,0.802676343711141,0.266,0.182,3.13309579582671e-14,"Normal","HSPH1"
"NDEL1",1.15684014246875e-18,0.508136939360207,0.415,0.325,3.13735046637526e-14,"Normal","NDEL1"
"BASP1",1.24922037675551e-18,0.34622163585991,0.624,0.546,3.38788566176094e-14,"Normal","BASP1"
"RPL17-C18orf32",1.28835045825199e-18,0.287723399547472,0.705,0.567,3.4940064427794e-14,"Normal","RPL17-C18orf32"
"ARHGAP10",1.31749556681998e-18,0.667608811874566,0.238,0.15,3.57304797721578e-14,"Normal","ARHGAP10"
"FAM157A",1.57941664172287e-18,0.775483308085628,0.209,0.126,4.28337793235242e-14,"Normal","FAM157A"
"PRKCE",1.58549614918708e-18,0.327942766990496,0.615,0.499,4.29986555659536e-14,"Normal","PRKCE"
"ZFAND6",1.74893005320493e-18,0.396725532176753,0.557,0.481,4.74309830429177e-14,"Normal","ZFAND6"
"LIMS1",1.84589476134358e-18,0.232387845666688,0.78,0.738,5.0060665927638e-14,"Normal","LIMS1"
"NBPF14",2.06150114663683e-18,0.282179014613283,0.682,0.582,5.59079110967907e-14,"Normal","NBPF14"
"SIRPA",2.1066272902506e-18,0.549218673309507,0.388,0.297,5.71317321115963e-14,"Normal","SIRPA"
"PRKCB",2.11777615539841e-18,0.360317803255319,0.612,0.551,5.7434089334405e-14,"Normal","PRKCB"
"LDLRAD3",2.43753551924462e-18,0.493706247975874,0.382,0.281,6.6105963281914e-14,"Normal","LDLRAD3"
"NBPF19",2.66810977904114e-18,0.313723504229581,0.626,0.537,7.23591372075958e-14,"Normal","NBPF19"
"NFAM1",2.96509890441247e-18,0.613926803128645,0.343,0.254,8.04134822876661e-14,"Normal","NFAM1"
"TENT4B",3.46100380276988e-18,0.485524667355671,0.423,0.332,9.38624231311193e-14,"Normal","TENT4B"
"TRAPPC9",3.6403570086179e-18,0.570894690043074,0.304,0.21,9.87264820737176e-14,"Normal","TRAPPC9"
"UBE2E2",3.64790894445442e-18,0.416337720581695,0.504,0.405,9.89312905736038e-14,"Normal","UBE2E2"
"SLC8A1-AS1",3.75572382250133e-18,0.616077231751023,0.274,0.183,1.01855230066236e-13,"Normal","SLC8A1-AS1"
"MTND4P12",3.98410357505729e-18,1.12332594761936,0.17,0.098,1.08048888955554e-13,"Normal","MTND4P12"
"SYAP1",4.29670847420272e-18,0.324906653607998,0.662,0.592,1.16526733820378e-13,"Normal","SYAP1"
"UBAC2",5.15920653200669e-18,0.368229183124976,0.589,0.51,1.39917681148021e-13,"Normal","UBAC2"
"RCOR1",7.44269973550165e-18,0.370720360430857,0.548,0.461,2.01846016826805e-13,"Normal","RCOR1"
"FBXO34",9.89370652108621e-18,0.429986187567645,0.471,0.377,2.68317320851858e-13,"Normal","FBXO34"
"LINC00486",1.02261011042153e-17,0.267768214130833,0.767,0.608,2.77331861946318e-13,"Normal","LINC00486"
"H2AJ",1.05188053016729e-17,0.580453869752946,0.251,0.162,2.8526999978137e-13,"Normal","H2AJ"
"LOC101928371",1.13863624042786e-17,0.678247564150058,0.18,0.102,3.08798148404037e-13,"Normal","LOC101928371"
"ST6GALNAC3",1.28208391200784e-17,0.420190645697165,0.441,0.336,3.47701156936526e-13,"Normal","ST6GALNAC3"
"RERE",1.30213819435863e-17,0.486125459102755,0.37,0.275,3.53139878310061e-13,"Normal","RERE"
