"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A1BG",0.00890921088542162,0.117266221365936,"Normal",0.00418007611920619,"Monocytes",0.0874471086036671,0.134986225895317
"2","AAED1",0.0120474191986828,0.0853619476060285,"Normal",0.00633077671307909,"Monocytes",0.0380818053596615,0.0702479338842975
"3","AAK1",0.0130763342963889,0.179523767044866,"COPD",0.00703064385197679,"Monocytes",0.225669957686883,0.173553719008264
"4","AASDH",0.00957581395272252,0.0623225520266751,"Normal",0.00459483641860284,"Monocytes",0.0253878702397743,0.0550964187327824
"5","ABCA3",0.00149292317435578,0.0749230150833305,"COPD",0.000453972834403393,"Monocytes",0.0352609308885755,0.00826446280991736
"6","ABCB8",0.0142651319573701,0.046142275507571,"Normal",0.00794838826029475,"Monocytes",0.0112834978843441,0.0316804407713499
"7","ABCF2",0.0333065508874215,0.0411553672768797,"Normal",0.0265236038007871,"Monocytes",0.0112834978843441,0.0275482093663912
"8","ABCG1",0.0210964923173781,0.0881133248513675,"Normal",0.0138146444746311,"Monocytes",0.0437235543018336,0.0743801652892562
"9","ABHD14A-ACY1",0.0449620855063411,0.0145254848923586,"COPD",0.0428411248408124,"Monocytes",0.00564174894217207,0
"10","ABHD17B",0.000807615350887547,0.122722354230687,"COPD",0.0002140359228063,"Monocytes",0.0818053596614951,0.0358126721763085
"11","ABHD17C",0.00426006077676047,0.137720379653105,"COPD",0.00166815466378853,"Monocytes",0.0973201692524683,0.0537190082644628
"12","ABHD18",0.0396110871911984,0.0693176275003103,"COPD",0.0346684914777646,"Monocytes",0.0662905500705219,0.0413223140495868
"13","ABITRAM",0.0343665999140531,0.0340664358940594,"COPD",0.0280214604929447,"Monocytes",0.0155148095909732,0.00413223140495868
"14","ABLIM3",0.0135853861127545,0.0464337811097068,"Normal",0.00746362282079486,"Monocytes",0.00705218617771509,0.0247933884297521
"15","ABR",0.00134686824987811,0.212494788338099,"COPD",0.000394806384451826,"Monocytes",0.269393511988717,0.183195592286501
"16","ABRACL",0.0164838091346772,0.202534502609342,"Normal",0.00962774852578283,"Monocytes",0.308885754583921,0.359504132231405
"17","ABRAXAS1",0.0413345860399589,0.0613234377408473,"COPD",0.036805917216915,"Monocytes",0.0409026798307475,0.0220385674931129
"18","ABTB2",0.0108383624202627,0.072536613199899,"COPD",0.0054452944343242,"Monocytes",0.0366713681241185,0.0137741046831956
"19","AC003681.1",0.0168146860364027,0.0390519326865026,"COPD",0.00993187661409178,"Monocytes",0.0126939351198872,0.00137741046831956
"20","AC005224.3",0.0286199877532287,0.026291144487306,"Normal",0.021071221011317,"Monocytes",0.00141043723554302,0.0110192837465565
"21","AC005229.4",0.0366657032920678,0.0157687271227254,"COPD",0.0306771887295287,"Monocytes",0.00987306064880113,0.00137741046831956
"22","AC005261.1",0.030466913255671,0.0391576963608088,"COPD",0.0231027511360318,"Monocytes",0.0296191819464034,0.012396694214876
"23","AC005332.6",0.0366412701162104,0.0230181853481781,"COPD",0.0306009897267768,"Monocytes",0.00987306064880113,0.00137741046831956
"24","AC006449.6",0.00596980757350885,0.0542892909120037,"COPD",0.00254659303541514,"Monocytes",0.0324400564174894,0.00964187327823691
"25","AC006504.5",0.0449620855063411,0.01497749786999,"COPD",0.0428411248408124,"Monocytes",0.00564174894217207,0
"26","AC007032.1",0.00127771575124917,0.104210621138118,"COPD",0.000368838480645261,"Monocytes",0.0564174894217207,0.0206611570247934
"27","AC007384.1",8.74384541916624e-09,0.210888893615829,"COPD",5.45520155494521e-10,"Monocytes",0.07475317348378,0.00964187327823691
"28","AC007405.3",0.00467366544999382,0.0625598603791782,"COPD",0.00186922911860012,"Monocytes",0.0169252468265162,0.00137741046831956
"29","AC007906.2",0.030466913255671,0.0292046242760117,"COPD",0.023497307433552,"Monocytes",0.00705218617771509,0
"30","AC007952.4",2.60576207260337e-05,0.137382942121067,"COPD",4.17001234545455e-06,"Monocytes",0.080394922425952,0.0261707988980716
"31","AC008105.3",0.00305409960859595,0.0788504700672969,"COPD",0.00109987863155117,"Monocytes",0.0507757404795487,0.0192837465564738
"32","AC008268.1",3.19363472206226e-05,0.109985584663101,"COPD",5.23228006708654e-06,"Monocytes",0.0282087447108604,0
"33","AC008764.8",0.0366169428004786,0.0238181390468013,"COPD",0.0305249533312638,"Monocytes",0.00987306064880113,0.00137741046831956
"34","AC008771.1",0.0379839253775679,0.0569823413958049,"COPD",0.0326278354688873,"Monocytes",0.0197461212976023,0.0068870523415978
"35","AC009093.2",0.0108711979461023,0.0585848616932501,"COPD",0.0054673054849406,"Monocytes",0.0409026798307475,0.0165289256198347
"36","AC009779.3",0.00121837179237616,0.0336711150501703,"Normal",0.000346693672596006,"Monocytes",0,0.0179063360881543
"37","AC010618.3",0.0168216550669559,0.0410976435629751,"COPD",0.00995732765058966,"Monocytes",0.0126939351198872,0.00137741046831956
"38","AC010654.1",0.0250908552471871,0.0298607117918464,"COPD",0.0173633732863431,"Monocytes",0.0112834978843441,0.00137741046831956
"39","AC011603.2",0.0168146860364027,0.045102908999622,"COPD",0.00990649077727332,"Monocytes",0.0126939351198872,0.00137741046831956
"40","AC012360.3",0.0484905833555148,0.0118919739681427,"Normal",0.0479494761610835,"Monocytes",0,0.00550964187327824
"41","AC012368.1",0.00309556576873336,0.0698365925286515,"COPD",0.00112030746943507,"Monocytes",0.0394922425952045,0.012396694214876
"42","AC012615.1",0.0201847781573157,0.0202270384518061,"COPD",0.0130486937669282,"Monocytes",0.00846262341325811,0
"43","AC012645.3",0.00881493891532246,0.0377784617855141,"COPD",0.00412243148867731,"Monocytes",0.0112834978843441,0
"44","AC015912.3",0.00117541126311599,0.156823692489242,"COPD",0.000332427101634861,"Monocytes",0.114245416078984,0.0619834710743802
"45","AC016831.5",0.00431267955392753,0.0637828391944274,"COPD",0.0016931341489931,"Monocytes",0.0564174894217207,0.0234159779614325
"46","AC018816.1",0.00353186273135228,0.0362720999490804,"COPD",0.00132926307210925,"Monocytes",0.0141043723554302,0
"47","AC020656.1",0.00120950860807283,0.21489927519988,"COPD",0.000343251365060485,"Monocytes",0.162200282087447,0.100550964187328
"48","AC020765.2",0.00305963807553013,0.0345976939264343,"COPD",0.00110342514415517,"Monocytes",0.0183356840620592,0.00137741046831956
"49","AC020911.2",0.0340593205714661,0.0318485842941349,"COPD",0.0276413456324351,"Monocytes",0.0225669957686883,0.00826446280991736
"50","AC020915.3",0.0227961567696105,0.0111509655151823,"Normal",0.0153381191756978,"Monocytes",0,0.00826446280991736
"51","AC020916.1",7.75855375857075e-06,0.177570811678495,"COPD",1.06665869485948e-06,"Monocytes",0.114245416078984,0.0440771349862259
"52","AC022706.1",0.0449620855063411,0.0178527801156104,"COPD",0.0428411248408124,"Monocytes",0.00564174894217207,0
"53","AC023157.3",0.0224853899273412,0.0454872224850862,"COPD",0.0150068295883845,"Monocytes",0.0394922425952045,0.0179063360881543
"54","AC023509.2",0.030466913255671,0.0282490289954172,"COPD",0.023497307433552,"Monocytes",0.00705218617771509,0
"55","AC025164.1",0.00176805596839677,0.134286198939071,"COPD",0.000558262663112851,"Monocytes",0.078984485190409,0.0371900826446281
"56","AC025165.2",0.030466913255671,0.0291830881184778,"COPD",0.023497307433552,"Monocytes",0.00705218617771509,0
"57","AC025259.3",0.00144428238621959,0.0495560214663479,"COPD",0.000434053925353847,"Monocytes",0.0169252468265162,0
"58","AC025423.4",0.0449620855063411,0.0150846116485674,"COPD",0.0428411248408124,"Monocytes",0.00564174894217207,0
"59","AC026979.2",0.000928317941277523,0.0736461811587704,"COPD",0.000252008866545137,"Monocytes",0.0394922425952045,0.00964187327823691
"60","AC027097.2",0.00881493891532246,0.0340093205731174,"COPD",0.00412243148867731,"Monocytes",0.0112834978843441,0
"61","AC040970.1",0.0291359869592746,0.0302847350703395,"COPD",0.0216949677180903,"Monocytes",0.0211565585331453,0.0068870523415978
"62","AC044849.1",0.0256711771125118,0.0462748106560377,"COPD",0.0181535241099439,"Monocytes",0.0141043723554302,0.00275482093663912
"63","AC060780.1",0.0484905833555148,0.0153760312002386,"Normal",0.0479494761610835,"Monocytes",0,0.00550964187327824
"64","AC073332.1",0.00347733463404387,0.0598211517247425,"COPD",0.00129903979608081,"Monocytes",0.0239774330042313,0.00413223140495868
"65","AC079174.2",0.030466913255671,0.0124484413214859,"COPD",0.023497307433552,"Monocytes",0.00705218617771509,0
"66","AC087239.1",0.0447663912036324,0.0490741076691487,"COPD",0.041314962614765,"Monocytes",0.0479548660084626,0.0275482093663912
"67","AC087645.2",0.0133820593438576,0.0227198936225865,"COPD",0.0073104123324041,"Monocytes",0.00987306064880113,0
"68","AC091271.1",0.00103481628319988,0.0952698730340347,"COPD",0.000285602927101219,"Monocytes",0.0507757404795487,0.0165289256198347
"69","AC103591.3",6.34324197400413e-08,0.223722489732072,"COPD",4.9227289983395e-09,"Monocytes",0.10296191819464,0.0275482093663912
"70","AC103706.1",0.0449620855063411,0.0120254138486493,"COPD",0.0428411248408124,"Monocytes",0.00564174894217207,0
"71","AC104695.3",0.00894503717972085,0.0504795153965032,"Normal",0.00420595965792606,"Monocytes",0.00846262341325811,0.0289256198347107
"72","AC108673.2",0.030466913255671,0.0158800474184763,"COPD",0.023497307433552,"Monocytes",0.00705218617771509,0
"73","AC116366.1",0.00151560251704548,0.0549140579085846,"COPD",0.000463559887282994,"Monocytes",0.0352609308885755,0.00826446280991736
"74","AC118549.1",0.00650609057067342,0.0703509153573866,"COPD",0.00283146117658524,"Monocytes",0.0409026798307475,0.0151515151515152
"75","AC133644.2",0.0227961567696105,0.0229485369981239,"Normal",0.0153381191756978,"Monocytes",0,0.00826446280991736
"76","AC138150.1",0.0201847781573157,0.0273732819363993,"COPD",0.0130486937669282,"Monocytes",0.00846262341325811,0
"77","AC245100.1",0.0211178415125216,0.035762566872789,"Normal",0.0138372683619204,"Monocytes",0.00423131170662906,0.0179063360881543
"78","AC245297.3",7.5366966364104e-06,0.113826263209731,"COPD",1.02260530065421e-06,"Monocytes",0.0578279266572638,0.0110192837465565
"79","ACAA1",0.0394608875740148,0.0834634347562019,"Normal",0.0344569708134245,"Monocytes",0.146685472496474,0.192837465564738
"80","ACACA",0.0427966037248321,0.0566385073844596,"COPD",0.0385368732142739,"Monocytes",0.0465444287729196,0.0261707988980716
"81","ACAD10",0.0485149714533691,0.0565201566035793,"COPD",0.0479982002636553,"Monocytes",0.0380818053596615,0.0206611570247934
"82","ACADVL",0.000716706441392692,0.210998348864554,"Normal",0.000186310956740428,"Monocytes",0.180535966149506,0.263085399449036
"83","ACAP2",0.0497636469459235,0.155145452347957,"COPD",0.0495869563404853,"Monocytes",0.383638928067701,0.349862258953168
"84","ACBD3",0.0239586238497487,0.113167529999756,"COPD",0.0162904059196491,"Monocytes",0.138222849083216,0.0977961432506887
"85","ACER3",0.000281709861327105,0.262212633286744,"COPD",6.22290867907453e-05,"Monocytes",0.262341325811001,0.179063360881543
"86","ACKR1",0.0419308277011639,0.028901591747314,"Normal",0.0374538105918081,"Monocytes",0.00282087447108604,0.012396694214876
"87","ACKR3",0.0102776005460914,0.0742335145635688,"Normal",0.00502802217940916,"Monocytes",0.0211565585331453,0.0482093663911846
