"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LINC01619",1.51233048527481e-92,1.1982022455289,0.657,0.282,4.10144027606528e-88,"Normal","LINC01619"
"MTCO1P12",7.4831312570338e-89,1.1234749687149,0.7,0.309,2.02942519690757e-84,"Normal","MTCO1P12"
"ATP8",1.87245516914568e-83,1.11829872684565,0.694,0.338,5.07809841872307e-79,"Normal","ATP8"
"RPL21P75",1.19404431058803e-79,1.16391704183742,0.607,0.269,3.23824817031473e-75,"Normal","RPL21P75"
"MTATP8P1",3.48109151916558e-76,1.0944119801948,0.626,0.279,9.44072019997705e-72,"Normal","MTATP8P1"
"MTND4P12",3.51810131803199e-76,3.16323185503677,0.185,0.015,9.54109077450276e-72,"Normal","MTND4P12"
"ND4L",4.87977074550325e-76,1.07654173392609,0.707,0.404,1.32339382618048e-71,"Normal","ND4L"
"RPL3P4",1.65182680468634e-73,1.18279276491042,0.56,0.242,4.47975429430935e-69,"Normal","RPL3P4"
"RPL7P23",4.35627939885125e-72,1.15841332584853,0.562,0.244,1.18142297296846e-67,"Normal","RPL7P23"
"RPL17P6",1.40745329981601e-71,1.14624724365517,0.572,0.244,3.81701334910101e-67,"Normal","RPL17P6"
"RPL13P12",1.57155771632104e-71,1.14615853247601,0.573,0.261,4.26206452666266e-67,"Normal","RPL13P12"
"RPL17-C18orf32",1.04954217507089e-70,1.11051291025595,0.595,0.262,2.84635837879226e-66,"Normal","RPL17-C18orf32"
"LINC-PINT",2.87032680154557e-70,1.00944098260562,0.659,0.328,7.78432628579158e-66,"Normal","LINC-PINT"
"STEAP1B",7.48578466946693e-70,1.11373700479539,0.604,0.288,2.03014480235943e-65,"Normal","STEAP1B"
"SCHLAP1",1.8427440652117e-69,1.20422519064236,0.516,0.211,4.99752190485413e-65,"Normal","SCHLAP1"
"PLEKHA6",1.81120373999162e-68,1.39485760416659,0.435,0.161,4.91198454285726e-64,"Normal","PLEKHA6"
"ATP6",1.07351379094812e-67,0.877726814904449,0.706,0.411,2.91136940105129e-63,"Normal","ATP6"
"CCSER1",1.77644126970878e-67,1.08465058277589,0.581,0.263,4.8177087234502e-63,"Normal","CCSER1"
"RPL21P16",2.67040667788818e-67,1.31244104934187,0.456,0.177,7.24214291043274e-63,"Normal","RPL21P16"
"RPL10P9",3.62572442025864e-67,1.07782623501425,0.579,0.263,9.83296462774144e-63,"Normal","RPL10P9"
"SIK3",6.93673492829021e-65,1.0371308702988,0.636,0.353,1.8812425125523e-60,"Normal","SIK3"
"LINC00486",6.03721905448387e-64,1.08561511963911,0.536,0.235,1.63729380757602e-59,"Normal","LINC00486"
"RPL13AP5",6.28635493037554e-63,1.23142786870059,0.468,0.193,1.70485945711785e-58,"Normal","RPL13AP5"
"RPS10-NUDT3",9.90023093278191e-63,1.09617560745393,0.539,0.235,2.68494262897045e-58,"Normal","RPS10-NUDT3"
"RPS18P5",3.06913512623695e-62,1.12493859164597,0.518,0.228,8.3234944623546e-58,"Normal","RPS18P5"
"ND2",4.3086186093375e-62,0.843960254405568,0.697,0.411,1.16849736685233e-57,"Normal","ND2"
"RPL6P27",5.56912784421479e-62,1.11129819693592,0.523,0.228,1.51034747135105e-57,"Normal","RPL6P27"
"RPL41P2",3.68981737383219e-61,1.12504733322642,0.508,0.22,1.00067847178329e-56,"Normal","RPL41P2"
"MGC4859",5.0525672058712e-60,1.76850093126844,0.276,0.072,1.37025622623227e-55,"Normal","MGC4859"
"SNHG5",1.4512724116776e-59,1.3441096193374,0.392,0.143,3.93585078046965e-55,"Normal","SNHG5"
"ND3",1.03492630079762e-58,0.849616619102757,0.671,0.404,2.80672012776313e-54,"Normal","ND3"
"NPIPB4",1.12596392828574e-58,1.13839046748005,0.494,0.217,3.05361417351093e-54,"Normal","NPIPB4"
"COX1",1.16036025205707e-58,0.797344778413386,0.712,0.418,3.14689700357877e-54,"Normal","COX1"
"PPP1R16B",1.24421091360916e-58,1.09135054259905,0.522,0.244,3.37429999770804e-54,"Normal","PPP1R16B"
"DGKI",1.43244593793727e-58,1.15852182092623,0.477,0.207,3.88479338368589e-54,"Normal","DGKI"
"MIR1244-2",1.66332118730157e-57,1.15798985456534,0.469,0.199,4.51092705996187e-53,"Normal","MIR1244-2"
"IL6ST",6.76652078422707e-57,0.830985820476419,0.731,0.503,1.83508043668238e-52,"Normal","IL6ST"
"EEF1G",1.00995082285351e-56,1.11828300982009,0.508,0.239,2.73898663157872e-52,"Normal","EEF1G"
"RPL18AP6",1.71163260029013e-56,1.18907134459201,0.431,0.172,4.64194761198682e-52,"Normal","RPL18AP6"
"MTND1P23",6.26693581043611e-56,1.09321350148521,0.478,0.206,1.69959299179027e-51,"Normal","MTND1P23"
"RPS15P4",7.24754742348511e-56,1.00850192377927,0.55,0.257,1.96553486124916e-51,"Normal","RPS15P4"
"COX2",1.33840900418209e-55,0.780103070780283,0.712,0.418,3.62976521934183e-51,"Normal","COX2"
"RPL21P28",2.38953367060513e-54,1.44588855370325,0.326,0.107,6.48041531468112e-50,"Normal","RPL21P28"
"RPL13AP25",5.02263895552871e-54,1.26311613941477,0.397,0.156,1.36213968473939e-49,"Normal","RPL13AP25"
"PLEKHA7",5.16518596417964e-54,1.10412637254907,0.463,0.198,1.40079843348552e-49,"Normal","PLEKHA7"
"MTCO2P12",1.70017227294832e-53,1.22126926871673,0.402,0.158,4.61086720423584e-49,"Normal","MTCO2P12"
"DENND4A",4.04413005020779e-53,0.911928429575376,0.611,0.338,1.09676806961635e-48,"Normal","DENND4A"
"CYTB",1.42643403952758e-52,0.784566881356939,0.687,0.406,3.8684891151988e-48,"Normal","CYTB"
"MTATP6P1",1.89889406876016e-52,1.03408889735739,0.503,0.233,5.14980071447756e-48,"Normal","MTATP6P1"
"NPIPB3",1.40293375281424e-51,1.16633641135226,0.42,0.176,3.80475633763223e-47,"Normal","NPIPB3"
"GAS5",2.32008014887059e-51,1.34913479882688,0.348,0.128,6.29205736373703e-47,"Normal","GAS5"
"RPL4P4",5.60948485393603e-51,1.1914094000338,0.396,0.158,1.52129229238745e-46,"Normal","RPL4P4"
"NPIPB5",5.98035107602766e-49,1.01983085401772,0.509,0.257,1.6218712118187e-44,"Normal","NPIPB5"
"ND1",1.4638952039427e-48,0.766177269420715,0.652,0.393,3.97008379309259e-44,"Normal","ND1"
"ARHGAP15",3.91467397349386e-48,0.811422143601769,0.652,0.393,1.06165958161154e-43,"Normal","ARHGAP15"
"DTWD2",5.54768619637393e-48,1.14320259593302,0.408,0.173,1.50453249645661e-43,"Normal","DTWD2"
"ATXN1",8.2202999922335e-48,0.895681848438425,0.602,0.35,2.22934535789373e-43,"Normal","ATXN1"
"SNHG31",1.12048609995579e-47,1.01091253988593,0.461,0.209,3.03875830308011e-43,"Normal","SNHG31"
"CBLB",1.24271471991011e-47,0.850431050762132,0.636,0.375,3.37024232039621e-43,"Normal","CBLB"
"RABGAP1L",1.83125321210601e-47,0.901860049598112,0.578,0.323,4.96635871123151e-43,"Normal","RABGAP1L"
"H3-3B",2.05583130887591e-47,0.834781156149103,0.592,0.356,5.57541450967147e-43,"Normal","H3-3B"
"RBFOX2",4.99205281343276e-47,0.952267366469809,0.614,0.376,1.35384472300296e-42,"Normal","RBFOX2"
"CNOT6L",1.8881148003361e-46,0.686205041390823,0.748,0.523,5.12056733851152e-42,"Normal","CNOT6L"
"PDXDC2P-NPIPB14P",1.93083708149698e-46,1.19179880753833,0.361,0.143,5.2364301650198e-42,"Normal","PDXDC2P-NPIPB14P"
"RPS23P8",2.30573288058907e-46,1.25266143007988,0.332,0.123,6.25314757215757e-42,"Normal","RPS23P8"
"RORA-AS1",6.70973882373246e-46,1.24302830206051,0.361,0.148,1.81968116899624e-41,"Normal","RORA-AS1"
"PRKCH",8.20185824404727e-46,0.720537775586616,0.687,0.398,2.22434395578562e-41,"Normal","PRKCH"
"TXNRD1",3.14768919755256e-45,0.950640453725637,0.579,0.375,8.53653310376255e-41,"Normal","TXNRD1"
"RPS7P1",4.46608110727041e-45,1.17245243704027,0.357,0.143,1.21120119629174e-40,"Normal","RPS7P1"
"ARMC9",8.51571454803267e-45,0.872116979782179,0.558,0.281,2.30946178542646e-40,"Normal","ARMC9"
"BCL2L14",1.21978970531347e-44,1.13679375325648,0.345,0.134,3.30806968081012e-40,"Normal","BCL2L14"
"FOXN3",4.44268049331219e-44,0.778431536617719,0.656,0.423,1.20485494978627e-39,"Normal","FOXN3"
"PARP8",5.08674923863227e-44,0.763345202209749,0.662,0.409,1.37952639351707e-39,"Normal","PARP8"
"CDC42SE2",7.12634648633664e-44,0.666010860061107,0.773,0.572,1.9326651670945e-39,"Normal","CDC42SE2"
"KDM6A",2.60126518665926e-43,1.05881380289129,0.432,0.206,7.0546311862199e-39,"Normal","KDM6A"
"RPL9P8",3.45905558165849e-43,0.93184797286653,0.474,0.225,9.38095873745781e-39,"Normal","RPL9P8"
"CLVS1",5.20849737124498e-43,1.20142609155077,0.331,0.128,1.41254448708164e-38,"Normal","CLVS1"
"SMG1P3",5.65750471128109e-43,1.15660187776285,0.362,0.151,1.53431527769943e-38,"Normal","SMG1P3"
"CYTH1",5.46597547683519e-42,0.775944840846351,0.624,0.378,1.4823725493177e-37,"Normal","CYTH1"
"AMBRA1",5.89986203190567e-42,1.05757444887589,0.427,0.204,1.60004258305282e-37,"Normal","AMBRA1"
"AOAH",3.75091006324288e-41,0.964355908983844,0.457,0.227,1.01724680915147e-36,"Normal","AOAH"
"RPL13AP20",4.5618822627116e-41,1.44932923543171,0.254,0.086,1.23718246964739e-36,"Normal","RPL13AP20"
"TSPAN9",7.98655198301164e-41,1.37164918588712,0.299,0.117,2.16595289779276e-36,"Normal","TSPAN9"
"RPS3AP6",2.08705608361339e-40,1.02866104802116,0.383,0.169,5.66009609875951e-36,"Normal","RPS3AP6"
"RPL31P4",3.49114345149551e-40,1.11588964483247,0.339,0.139,9.46798104045583e-36,"Normal","RPL31P4"
"CHST11",3.07012849666191e-39,0.805768200047086,0.585,0.344,8.32618848294709e-35,"Normal","CHST11"
"RPS2P5",9.06987934711872e-39,1.10422787330326,0.332,0.136,2.4597512789386e-34,"Normal","RPS2P5"
"RPS27AP16",1.40800322386547e-38,1.12104532179796,0.324,0.133,3.81850474312314e-34,"Normal","RPS27AP16"
"RPL10P16",8.86017549780982e-38,1.01734055163272,0.361,0.157,2.40287959500602e-33,"Normal","RPL10P16"
"ARHGAP26",1.36693292712687e-37,0.889908909295574,0.459,0.237,3.70712209836808e-33,"Normal","ARHGAP26"
"SLFN12L",3.55772089810225e-37,1.03238617498748,0.385,0.185,9.6485390756533e-33,"Normal","SLFN12L"
"PBX4",3.94035963573192e-37,0.997746918791664,0.403,0.198,1.0686255332105e-32,"Normal","PBX4"
"LOC101928626",7.77604834435765e-37,0.895936385740878,0.421,0.203,2.10886431098979e-32,"Normal","LOC101928626"
"ND5",1.23444271926249e-36,0.854045043935648,0.517,0.329,3.34780865463986e-32,"Normal","ND5"
"RIPOR2",1.27063050053384e-36,0.897795757656344,0.467,0.25,3.44594991744776e-32,"Normal","RIPOR2"
"PITPNC1",1.59821272690909e-36,0.716407829265991,0.648,0.454,4.33435291537747e-32,"Normal","PITPNC1"
"NIBAN1",7.58782524927131e-36,1.13871149457202,0.412,0.224,2.05781820760238e-31,"Normal","NIBAN1"
"MIR4300HG",9.55399416727575e-36,1.11195764828965,0.313,0.132,2.59104321816518e-31,"Normal","MIR4300HG"
"RPS13P2",1.21368189291599e-35,0.994414456229187,0.364,0.166,3.29150529358818e-31,"Normal","RPS13P2"
"PIP4K2A",1.36204055773144e-35,0.652940312395491,0.697,0.499,3.69385399256766e-31,"Normal","PIP4K2A"
"SMG1P1",1.3643809733357e-35,0.947906339310473,0.389,0.187,3.70020119968643e-31,"Normal","SMG1P1"
"EEF1B2P6",3.22491851805454e-35,1.11091757376787,0.313,0.133,8.74597902096391e-31,"Normal","EEF1B2P6"
"IQGAP2",4.4935198309316e-35,0.593994841430165,0.696,0.451,1.21864257814865e-30,"Normal","IQGAP2"
"RPL7P1",1.8929662452281e-34,1.02764568316216,0.326,0.141,5.13372445705862e-30,"Normal","RPL7P1"
"RPL7P9",2.25093775186943e-34,0.889167955064891,0.385,0.18,6.10454318306989e-30,"Normal","RPL7P9"
"RPL21P37",1.44305932807049e-33,1.09595467216431,0.303,0.13,3.91357689772716e-29,"Normal","RPL21P37"
