"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A1BG",0.00178515947606371,0.0557598163842741,"COPD",0.00117178271591943,"NK+T",0.125954198473282,0.0840272520817563
"2","A2M",5.32510459092665e-07,0.166569280299742,"COPD",1.49291813565543e-07,"NK+T",0.0862595419847328,0.0370931112793338
"3","A2M-AS1",0.0322861753193098,0.0287759722868905,"COPD",0.0302411534953426,"NK+T",0.0274809160305344,0.0151400454201363
"4","A4GALT",1.1605946494677e-06,0.0223505052678983,"COPD",3.47884344354184e-07,"NK+T",0.0236641221374046,0.00151400454201363
"5","AACS",0.00444169580393193,0.0316292120658644,"COPD",0.00320567895918559,"NK+T",0.0435114503816794,0.0227100681302044
"6","AADAT",0.000500244277753975,0.0116323855675981,"COPD",0.000284830180755845,"NK+T",0.0099236641221374,0
"7","AAGAB",3.91704409744067e-06,0.0875142161609267,"COPD",1.33481808699571e-06,"NK+T",0.0946564885496183,0.0454201362604088
"8","AAK1",1.8968331568628e-12,0.404166360311144,"COPD",1.52308567652986e-13,"NK+T",0.398473282442748,0.255866767600303
"9","AAMDC",1.12714051976548e-10,0.120763243997547,"COPD",1.3729542483988e-11,"NK+T",0.0961832061068702,0.0310370931112793
"10","AAR2",0.0444239687377557,0.021228667614106,"COPD",0.04338501409957,"NK+T",0.0511450381679389,0.0348221044663134
"11","AARS1",5.50341785003468e-09,0.045993509824548,"COPD",9.78731005292662e-10,"NK+T",0.0396946564885496,0.00454201362604088
"12","AARSD1",0.0158502356660786,0.00226503404305038,"Normal",0.0134299161095843,"NK+T",0.0480916030534351,0.0287660862982589
"13","AASDH",0.00250222596947382,0.0323425413794689,"COPD",0.0017029376506339,"NK+T",0.0618320610687023,0.0348221044663134
"14","AASDHPPT",0.0406320897729821,0.0171367211215309,"COPD",0.0393215049245259,"NK+T",0.102290076335878,0.0772142316426949
"15","AASS",0.00615035760117476,0.0180906589822629,"COPD",0.00462984919792195,"NK+T",0.0206106870229008,0.00757002271006813
"16","ABAT",0.00114795996426244,0.0600954357029916,"COPD",0.000716272427516313,"NK+T",0.033587786259542,0.0136260408781226
"17","ABCA1",0.00170401100866035,0.0492204179030623,"COPD",0.00111453146463928,"NK+T",0.0450381679389313,0.0219530658591976
"18","ABCA13",0.0161916363956462,0.0112961110411932,"COPD",0.0138248994444213,"NK+T",0.00458015267175573,0
"19","ABCA2",0.0205039305200491,0.0167952471635028,"COPD",0.0179604201368857,"NK+T",0.049618320610687,0.0310370931112793
"20","ABCA3",0.0045751524466617,0.0325246903440409,"COPD",0.00331299530609463,"NK+T",0.0305343511450382,0.0136260408781226
"21","ABCA5",0.0393590796519466,0.0488119878766299,"COPD",0.0379821638855221,"NK+T",0.0603053435114504,0.0423921271763815
"22","ABCB1",0.0268304444384658,0.0655934224361592,"COPD",0.0246129848284156,"NK+T",0.0595419847328244,0.0408781226343679
"23","ABCB10",1.49321222807557e-10,0.0700245039894958,"COPD",1.86396887952135e-11,"NK+T",0.0572519083969466,0.00984102952308857
"24","ABCB9",0.0333975755604474,0.0163681380733135,"COPD",0.0314709175277262,"NK+T",0.016793893129771,0.00757002271006813
"25","ABCC1",6.42290725132422e-24,0.428539395232437,"COPD",4.69419259256789e-26,"NK+T",0.221374045801527,0.0741862225586677
"26","ABCC3",9.59817000443903e-05,0.0180310516555938,"COPD",4.57835141022501e-05,"NK+T",0.0183206106870229,0.00227100681302044
"27","ABCC4",7.5445687499791e-09,0.116141253761073,"COPD",1.38363656085175e-09,"NK+T",0.0748091603053435,0.0234670704012112
"28","ABCC5",0.0433723334454686,0.0193961918811902,"COPD",0.0422142727005789,"NK+T",0.0381679389312977,0.024224072672218
