"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP6",7.28910792592469e-40,0.685954688937228,0.911,0.616,1.97680606951078e-35,"Normal","ATP6"
"ND3",3.75959315085978e-36,0.6773781130573,0.897,0.601,1.01960166251317e-31,"Normal","ND3"
"COX1",6.46803643833661e-36,0.657178270343874,0.913,0.618,1.75413148207689e-31,"Normal","COX1"
"EEF1G",2.63040292074559e-33,0.679834305914679,0.779,0.55,7.13365272106203e-29,"Normal","EEF1G"
"ATP8",4.1089442997132e-33,0.646184361921871,0.894,0.605,1.11434569408222e-28,"Normal","ATP8"
"MTATP8P1",4.82690359782049e-32,0.680041610595871,0.845,0.574,1.30905625572892e-27,"Normal","MTATP8P1"
"ND2",6.18917025341815e-32,0.632594214474962,0.903,0.611,1.678502972727e-27,"Normal","ND2"
"ND4L",1.26378337625149e-31,0.627561394375549,0.908,0.616,3.42738051639404e-27,"Normal","ND4L"
"MTATP6P1",3.10217032286596e-31,0.76225861033191,0.779,0.493,8.41308591561248e-27,"Normal","MTATP6P1"
"RPL21P75",1.02259460678135e-30,0.622889830307353,0.81,0.567,2.77327657359103e-26,"Normal","RPL21P75"
"RPL17P6",1.95877541930871e-30,0.662756536627106,0.782,0.533,5.31219893716523e-26,"Normal","RPL17P6"
"MTCO1P12",6.08270578100521e-30,0.63451226078401,0.908,0.615,1.64962980780861e-25,"Normal","MTCO1P12"
"RPL17-C18orf32",1.01274395967914e-29,0.64276736130945,0.795,0.543,2.74656161864984e-25,"Normal","RPL17-C18orf32"
"STEAP1B",4.02551323791753e-29,0.618253622213666,0.808,0.567,1.09171919012323e-24,"Normal","STEAP1B"
"RPS10-NUDT3",6.22287412752289e-29,0.689471236022776,0.76,0.51,1.68764346338421e-24,"Normal","RPS10-NUDT3"
"COX2",1.29675197568855e-28,0.60271126060562,0.908,0.619,3.51679135806733e-24,"Normal","COX2"
"TXNRD1",1.72262993374042e-27,0.622895807650667,0.802,0.56,4.67177238030403e-23,"Normal","TXNRD1"
"IL6ST",3.0654009103434e-27,0.55233305278969,0.89,0.644,8.31336726885129e-23,"Normal","IL6ST"
"MIR1244-2",6.5293574378559e-27,0.727249985685742,0.697,0.457,1.77076173714652e-22,"Normal","MIR1244-2"
"H3-3B",1.7447186205484e-26,0.734831319516362,0.697,0.458,4.73167689892726e-22,"Normal","H3-3B"
"APOC1",2.14537353951397e-26,1.2928192986609,0.408,0.18,5.81825303916188e-22,"Normal","APOC1"
"RPL13P12",5.65411810740729e-26,0.603005333676229,0.8,0.554,1.53339683072886e-21,"Normal","RPL13P12"
"RPL7P23",6.00549789210196e-26,0.643945248607476,0.761,0.524,1.62869102833805e-21,"Normal","RPL7P23"
"CYTB",3.15544654877033e-25,0.575670831646041,0.89,0.612,8.55757104026514e-21,"Normal","CYTB"
"SNHG5",5.36115307074257e-24,0.942535839464984,0.534,0.307,1.45394471278538e-19,"Normal","SNHG5"
"RPS18P5",1.52101272193653e-23,0.613342642427229,0.768,0.527,4.12498650189188e-19,"Normal","RPS18P5"
"RPL4P4",3.97907766663388e-23,0.744337169442706,0.647,0.421,1.07912586319111e-18,"Normal","RPL4P4"
"ST6GAL1",5.78807650594932e-23,0.648746706414164,0.752,0.527,1.56972634841346e-18,"Normal","ST6GAL1"
"RPL3P4",1.57468494931025e-22,0.600476495261569,0.771,0.537,4.27054558252939e-18,"Normal","RPL3P4"
"SNHG31",2.64161082057433e-22,0.655803534860901,0.69,0.474,7.16404854539757e-18,"Normal","SNHG31"
"ND1",6.75428725570042e-22,0.562623031161801,0.885,0.601,1.83176270374595e-17,"Normal","ND1"
"RPL10P9",1.70350322796309e-21,0.578919941928986,0.802,0.54,4.61990075423591e-17,"Normal","RPL10P9"
"RPL13AP5",1.19759229650551e-20,0.627245917031384,0.677,0.473,3.24787030812294e-16,"Normal","RPL13AP5"
"MTND4P12",2.7272636007994e-20,2.12982523903149,0.19,0.053,7.39633888536796e-16,"Normal","MTND4P12"
