"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A2ML1",0.0308561767748613,0.0234554824401598,"COPD",0.0240628617551951,"Plasma+B",0.00884955752212389,0
"2","AAMDC",0.0273874455546879,0.101960570919038,"COPD",0.0193024228570149,"Plasma+B",0.0730088495575221,0.0400696864111498
"3","AARS",0.0116717408849302,0.0994792806342211,"Normal",0.00575344745920127,"Plasma+B",0.0553097345132743,0.104529616724739
"4","AASDH",0.0217637883629683,0.0796901138101426,"Normal",0.0141395312931386,"Plasma+B",0.0331858407079646,0.0679442508710801
"5","AASS",0.00177796712401191,0.0757410555283825,"COPD",0.000436736870395615,"Plasma+B",0.0309734513274336,0.00348432055749129
"6","ABAT",0.0203833770149505,0.0643530691911119,"COPD",0.0127516058368245,"Plasma+B",0.0353982300884956,0.0121951219512195
"7","ABCA5",0.00390498874978499,0.111509260828827,"COPD",0.00125227830857132,"Plasma+B",0.110619469026549,0.054006968641115
"8","ABCC1",3.76604150937694e-06,0.295044712653073,"COPD",2.02329563228781e-07,"Plasma+B",0.163716814159292,0.0627177700348432
"9","ABHD17B",0.0456017898901229,0.0788904525186938,"COPD",0.0441116178582662,"Plasma+B",0.0951327433628319,0.0609756097560976
"10","ABHD18",0.0411287127170445,0.106694028250354,"COPD",0.0373308758868575,"Plasma+B",0.0973451327433628,0.0627177700348432
"11","ABHD2",0.00119800000538169,0.1556947542045,"COPD",0.000259107727555553,"Plasma+B",0.0907079646017699,0.0365853658536585
"12","ABHD3",0.0222612476592402,0.154891005171005,"Normal",0.0145720143575187,"Plasma+B",0.119469026548673,0.174216027874564
"13","ABI1",0.0109411798838213,0.2320036462209,"COPD",0.00515092932774748,"Plasma+B",0.325221238938053,0.247386759581882
"14","ABITRAM",0.00711582488672809,0.0392439289148111,"COPD",0.0027943062003269,"Plasma+B",0.0154867256637168,0
"15","ABRACL",0.0214106301846094,0.155404415418319,"Normal",0.0137855760673544,"Plasma+B",0.139380530973451,0.195121951219512
"16","ABRAXAS1",0.0118066729389735,0.0777845787768546,"COPD",0.005836308833029,"Plasma+B",0.0442477876106195,0.0156794425087108
"17","ABRAXAS2",0.0013641618621143,0.107984057765702,"COPD",0.000309401430371534,"Plasma+B",0.0597345132743363,0.0174216027874564
"18","ABTB2",0.0109799873539982,0.0721748646702609,"COPD",0.00517528066366794,"Plasma+B",0.0331858407079646,0.00871080139372822
"19","AC002467.1",0.0308561767748613,0.0184710491382261,"COPD",0.0240628617551951,"Plasma+B",0.00884955752212389,0
"20","AC004687.1",0.0203923383130762,0.0762728676044708,"COPD",0.012774540403959,"Plasma+B",0.0774336283185841,0.0400696864111498
"21","AC005037.1",0.0335726593878739,0.0343802402500123,"COPD",0.0274457187795635,"Plasma+B",0.0265486725663717,0.00871080139372822
"22","AC005332.1",0.0433886506257535,0.0253970088693433,"COPD",0.04070915212408,"Plasma+B",0.0154867256637168,0.00348432055749129
"23","AC005332.4",0.0206561671991447,0.0278471743962493,"COPD",0.0132082775028593,"Plasma+B",0.0154867256637168,0.00174216027874564
"24","AC006942.1",0.0308561767748613,0.0212354921803134,"COPD",0.0240628617551951,"Plasma+B",0.00884955752212389,0
"25","AC007032.1",0.0290374865274211,0.0361848816957739,"COPD",0.0209397992017182,"Plasma+B",0.0176991150442478,0.00348432055749129
"26","AC007384.1",0.0157682910146624,0.105426752792184,"COPD",0.00881254500525132,"Plasma+B",0.084070796460177,0.0435540069686411
"27","AC007405.3",0.00148823696530594,0.076277994152827,"COPD",0.000345372733048853,"Plasma+B",0.0221238938053097,0
"28","AC007569.1",0.00223023102980148,0.0927108072337157,"COPD",0.000588432434464455,"Plasma+B",0.0575221238938053,0.0174216027874564
"29","AC007952.4",0.000137798303784739,0.212834303732368,"COPD",1.67143885510152e-05,"Plasma+B",0.130530973451327,0.054006968641115
"30","AC008040.5",0.0308561767748613,0.018550946113837,"COPD",0.0240628617551951,"Plasma+B",0.00884955752212389,0
"31","AC008124.1",0.0144886971996597,0.0554461179070122,"COPD",0.00786440707746757,"Plasma+B",0.0376106194690266,0.0121951219512195
"32","AC008467.1",0.0267019954568295,0.0343274461798926,"Normal",0.0185753011873596,"Plasma+B",0,0.0121951219512195
"33","AC008608.2",0.0189735735876912,0.0265380485252138,"COPD",0.0116069299515951,"Plasma+B",0.0110619469026549,0
"34","AC009779.2",0.0206204561461081,0.0383682313893995,"COPD",0.0131054853056242,"Plasma+B",0.0154867256637168,0.00174216027874564
"35","AC009812.1",0.0292032270842178,0.0386844711267445,"COPD",0.0211482675534021,"Plasma+B",0.0176991150442478,0.00348432055749129
"36","AC009831.1",0.0204968388724475,0.0380002119168474,"COPD",0.0129020533805243,"Plasma+B",0.0154867256637168,0.00174216027874564
"37","AC009961.1",0.0189735735876912,0.0348960787260315,"COPD",0.0115668786211106,"Plasma+B",0.0199115044247788,0.00348432055749129
"38","AC010642.2",0.00648542621254881,0.0808684767246418,"COPD",0.00242642226894307,"Plasma+B",0.0420353982300885,0.0121951219512195
"39","AC012358.3",0.0194936937169371,0.0717522799093914,"Normal",0.0120168823633071,"Plasma+B",0.00221238938053097,0.0191637630662021
"40","AC012645.3",0.0102323902908888,0.056934338170842,"COPD",0.00465337410733893,"Plasma+B",0.0265486725663717,0.00522648083623693
"41","AC015912.3",0.010371519244092,0.055726470396583,"COPD",0.00477352928847274,"Plasma+B",0.0265486725663717,0.00522648083623693
"42","AC016727.1",0.0438928493916819,0.0243017550588464,"COPD",0.0417535136140757,"Plasma+B",0.0154867256637168,0.00348432055749129
"43","AC016831.7",0.0385710145305452,0.120326597332328,"Normal",0.0340954523349488,"Plasma+B",0.079646017699115,0.118466898954704
"44","AC020656.1",0.00799398916631328,0.0404045305054554,"COPD",0.00331404092549736,"Plasma+B",0.0199115044247788,0.00174216027874564
"45","AC020659.1",0.0308561767748613,0.0234224020708536,"COPD",0.0240628617551951,"Plasma+B",0.00884955752212389,0
"46","AC020765.2",0.0326172896202836,0.0216740587886926,"COPD",0.0263187028112046,"Plasma+B",0.0132743362831858,0.00174216027874564
"47","AC020911.2",0.00740873189377349,0.0626013981618538,"COPD",0.00294420666506922,"Plasma+B",0.0243362831858407,0.00348432055749129
"48","AC020916.1",0.00131802692038727,0.161910931028764,"COPD",0.00029674768382023,"Plasma+B",0.126106194690265,0.0592334494773519
"49","AC023157.3",0.000981901534176168,0.0751978569834336,"COPD",0.000202580072822278,"Plasma+B",0.0376106194690266,0.00522648083623693
"50","AC023590.1",0.0157126961753825,0.0971397906582043,"Normal",0.00875716602253777,"Plasma+B",0.00884955752212389,0.0331010452961672
"51","AC026202.2",0.0214508825916121,0.0392813388435534,"COPD",0.0138293145038142,"Plasma+B",0.0353982300884956,0.0121951219512195
"52","AC026202.3",0.000387256560744982,0.0712574497861009,"Normal",6.19867881779561e-05,"Plasma+B",0,0.0348432055749129
"53","AC027031.2",0.0206292653011599,0.0284923686937269,"COPD",0.0131567871663407,"Plasma+B",0.0154867256637168,0.00174216027874564
"54","AC027644.3",0.00424886866980311,0.0881536923944651,"COPD",0.00139667879010144,"Plasma+B",0.0376106194690266,0.00871080139372822
"55","AC044849.1",0.0151943073466686,0.0875265218122449,"COPD",0.00833141194860255,"Plasma+B",0.0508849557522124,0.0209059233449477
"56","AC073111.5",0.0437179877895043,0.030498864649798,"COPD",0.0414731771509937,"Plasma+B",0.0331858407079646,0.0139372822299652
"57","AC078846.1",0.0126253453399819,0.0400390052181781,"COPD",0.00644028970264377,"Plasma+B",0.0176991150442478,0.00174216027874564
"58","AC078883.1",0.000799341644541478,0.12218550588086,"COPD",0.000156724974892098,"Plasma+B",0.079646017699115,0.0278745644599303
"59","AC083973.1",0.0326124221362917,0.0274432044558195,"COPD",0.0262181632503037,"Plasma+B",0.0132743362831858,0.00174216027874564
"60","AC084018.2",0.0308561767748613,0.0179643892000158,"COPD",0.0240628617551951,"Plasma+B",0.00884955752212389,0
"61","AC087239.1",0.00136196107066883,0.0997165971726116,"COPD",0.00030852510545752,"Plasma+B",0.0663716814159292,0.0209059233449477
"62","AC091271.1",0.0345595686064534,0.0655101290930884,"COPD",0.0285683501219229,"Plasma+B",0.0420353982300885,0.0191637630662021
"63","AC092683.1",0.0197213736640924,0.0464327335617549,"COPD",0.0122336962081326,"Plasma+B",0.0442477876106195,0.0174216027874564
"64","AC092910.3",0.0189735735876912,0.0210786772958282,"COPD",0.0116069299515951,"Plasma+B",0.0110619469026549,0
"65","AC093010.2",0.0369140757376853,0.0502114975483138,"COPD",0.0320149980023008,"Plasma+B",0.0287610619469027,0.0104529616724739
