"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MTATP6P1",2.50449584223592e-16,1.1955447763063,0.712,0.301,6.79219272414383e-12,"Normal","MTATP6P1"
"COX1",3.09083395181426e-16,1.08388016320662,0.79,0.38,8.38234167732026e-12,"Normal","COX1"
"MTCO1P12",1.7919798730841e-15,1.07034942397448,0.773,0.376,4.85984941580408e-11,"Normal","MTCO1P12"
"COX2",3.36891099866791e-15,1.07158292648822,0.786,0.376,9.13648662838738e-11,"Normal","COX2"
"ATP6",5.25766289241584e-15,1.04780907423915,0.773,0.38,1.42587817642318e-10,"Normal","ATP6"
"MTATP8P1",3.03331528517598e-14,1.05881512728442,0.747,0.362,8.22635105339727e-10,"Normal","MTATP8P1"
"CYTB",3.46420729554727e-14,1.03258323796061,0.782,0.38,9.3949301855242e-10,"Normal","CYTB"
"ATP8",6.20572170391845e-14,1.00980015217967,0.777,0.38,1.68299172610268e-09,"Normal","ATP8"
"ND4L",1.23808261188733e-13,1.0116112268695,0.782,0.376,3.35768004343844e-09,"Normal","ND4L"
"ND2",1.66592957869927e-13,1.00223948836858,0.773,0.371,4.51800101743241e-09,"Normal","ND2"
"SEPTIN7",5.28998624940362e-13,1.45620563901379,0.537,0.214,1.43464427083826e-08,"Normal","SEPTIN7"
"MIR1244-2",6.3984449499854e-13,1.22679494029521,0.585,0.253,1.73525827043604e-08,"Normal","MIR1244-2"
"POLR2J3",2.07242767591344e-12,1.85538426101681,0.419,0.131,5.62042385707724e-08,"Normal","POLR2J3"
"ND1",3.0126291457628e-12,0.930381075198881,0.769,0.376,8.17025024330872e-08,"Normal","ND1"
"CCSER1",3.73338237272173e-12,1.10727236724693,0.646,0.306,1.01249329948213e-07,"Normal","CCSER1"
"ND3",1.21940857139203e-11,0.907654062715063,0.751,0.358,3.30703604561519e-07,"Normal","ND3"
"ND5",1.38234807252888e-11,0.958336181533891,0.677,0.319,3.74892797269832e-07,"Normal","ND5"
"PTPRG",2.16651357993933e-11,0.884318622867162,0.777,0.463,5.87558482879546e-07,"Normal","PTPRG"
"H2AJ",3.27164517566385e-11,1.79530750069011,0.389,0.122,8.87270171640036e-07,"Normal","H2AJ"
"MTND1P23",3.67604496369547e-11,0.985263420087716,0.677,0.332,9.96943394154211e-07,"Normal","MTND1P23"
"SCHLAP1",6.44375733402387e-11,1.03119905867556,0.624,0.279,1.74754698898727e-06,"Normal","SCHLAP1"
"LARGE1",6.91511569895279e-11,1.39724252401111,0.493,0.214,1.875379377556e-06,"Normal","LARGE1"
"STEAP1B",2.13929238023175e-10,0.918437674761602,0.659,0.332,5.80176093518852e-06,"Normal","STEAP1B"
"GABARAP",2.35917084764419e-10,1.14575759220593,0.528,0.231,6.39807133881103e-06,"Normal","GABARAP"
"BCL2L14",2.92073643565071e-10,1.08425117754455,0.515,0.21,7.92103721348474e-06,"Normal","BCL2L14"
"RPL7P23",4.3911382070706e-10,0.924958630756627,0.594,0.275,1.19087668175755e-05,"Normal","RPL7P23"
"RPL3P4",8.48077824156059e-10,0.962942072135297,0.576,0.275,2.29998705911123e-05,"Normal","RPL3P4"
"RPL6P27",8.59796434300067e-10,1.01761456566126,0.559,0.266,2.33176792982178e-05,"Normal","RPL6P27"
"ASAP1",8.94514122222908e-10,0.891986379826415,0.686,0.437,2.42592229946853e-05,"Normal","ASAP1"
"MICOS10",1.39580952814494e-09,1.17250018684663,0.467,0.192,3.78543544032908e-05,"Normal","MICOS10"
"CACNA1C",1.97850362827065e-09,0.913968467216292,0.672,0.406,5.36570183987002e-05,"Normal","CACNA1C"
"LINC00486",2.57449549031398e-09,0.848534151051552,0.642,0.345,6.98203176973152e-05,"Normal","LINC00486"
"MRTFA",3.5315481683169e-09,1.06591373675288,0.502,0.227,9.57755863247544e-05,"Normal","MRTFA"
"PARD3B",3.80660665448788e-09,1.19837915363394,0.507,0.245,0.000103235172469711,"Normal","PARD3B"
"POLR2J4",4.0768827489729e-09,1.39562258949955,0.38,0.131,0.000110565060152145,"Normal","POLR2J4"
"SYN3",5.58721708832331e-09,1.42322648379088,0.384,0.144,0.000151525327435328,"Normal","SYN3"
"NEDD8-MDP1",5.59191381589895e-09,1.3093982580805,0.376,0.135,0.000151652702687179,"Normal","NEDD8-MDP1"
"ANKRD10",6.587352257007e-09,1.03715936064795,0.603,0.371,0.00017864899321003,"Normal","ANKRD10"
"SNHG5",6.89272924283964e-09,1.0907309543247,0.406,0.148,0.000186930817065811,"Normal","SNHG5"
"AOPEP",8.14876554802081e-09,1.27044346019008,0.415,0.166,0.000220994521662324,"Normal","AOPEP"
"ARL10",9.60891149892694e-09,1.53418322803633,0.279,0.074,0.000260593679850899,"Normal","ARL10"
"SNHG31",1.3095249711076e-08,0.967810121303848,0.493,0.231,0.00035514317216438,"Normal","SNHG31"
"PRKG1",1.47540927997774e-08,0.652613553217745,0.821,0.607,0.000400130996729964,"Normal","PRKG1"
"IMMP2L",1.49919485618121e-08,1.22839641240941,0.498,0.258,0.000406581644996344,"Normal","IMMP2L"
"KALRN",1.62788083307346e-08,1.39809031771108,0.367,0.14,0.000441481281929521,"Normal","KALRN"
"ARMH4",1.83048590834382e-08,1.69081918645241,0.341,0.127,0.000496427778342844,"Normal","ARMH4"
"RPL21P75",1.96725518295872e-08,0.82767706990058,0.611,0.31,0.000533519605618405,"Normal","RPL21P75"
"MAP3K5",2.04183594100371e-08,1.49763667581794,0.349,0.127,0.000553745907200205,"Normal","MAP3K5"
"GPX1",2.10106988484528e-08,1.13967732764736,0.376,0.144,0.00056981015277004,"Normal","GPX1"
"FKBP1C",2.72658738840945e-08,1.91554862793739,0.218,0.044,0.000739450499736643,"Normal","FKBP1C"
"STX3",2.89891245997288e-08,1.62176098983096,0.253,0.061,0.000786185059144645,"Normal","STX3"
"DIAPH2",2.9672515344602e-08,0.97279601703802,0.594,0.345,0.000804718616145606,"Normal","DIAPH2"
"TCF12",2.98357003039109e-08,0.859747965170062,0.581,0.328,0.000809144192242063,"Normal","TCF12"
"DTWD2",5.04672147859821e-08,0.956123978385837,0.493,0.24,0.00136867086499584,"Normal","DTWD2"
"CEP128",5.11905831536163e-08,1.41801963755514,0.306,0.096,0.00138828861512608,"Normal","CEP128"
"ALDOA",5.68602666289203e-08,0.988156897120132,0.485,0.249,0.00154205043097632,"Normal","ALDOA"
"HOPX",6.79178586668838e-08,1.96723324265919,0.231,0.057,0.00184193232704589,"Normal","HOPX"
"NDUFC2-KCTD14",7.33237090501062e-08,1.49263304774735,0.314,0.109,0.00198853898943888,"Normal","NDUFC2-KCTD14"
