"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A1BG",0.0217285545501806,0.134221963386273,"Normal",0.0138354803590739,"Stromal",0.117511520737327,0.17995444191344
"2","A4GALT",0.000221779230294414,0.224048374449251,"Normal",3.21975707273457e-05,"Stromal",0.0645161290322581,0.150341685649203
"3","AAAS",0.0407719256552229,0.0713912808370538,"Normal",0.035754176680073,"Stromal",0.0599078341013825,0.100227790432802
"4","AADAC",3.6201375847838e-09,0.343678609319758,"COPD",1.21507015365679e-10,"Stromal",0.112903225806452,0.00911161731207289
"5","AAED1",0.0230145849803649,0.152134329068352,"Normal",0.0150285528996046,"Stromal",0.112903225806452,0.170842824601367
"6","AAK1",0.0404927028563684,0.09687844787368,"Normal",0.0353583057973297,"Stromal",0.122119815668203,0.177676537585421
"7","AAMDC",0.0103723807919453,0.165923017228096,"Normal",0.00469437265996671,"Stromal",0.158986175115207,0.24373576309795
"8","AAMP",0.0460375806691737,0.138355154556636,"Normal",0.0421649097244915,"Stromal",0.182027649769585,0.24373576309795
"9","AARS1",0.0329423832744115,0.0195347299049372,"Normal",0.0259221630774138,"Stromal",0,0.0113895216400911
"10","ABALON",0.0329423832744115,0.0145100308307497,"Normal",0.0259221630774138,"Stromal",0,0.0113895216400911
"11","ABCC4",0.0407615317485978,0.0380971083936725,"Normal",0.0356973832578303,"Stromal",0.0184331797235023,0.0432801822323462
"12","ABCF1",0.0188515763523316,0.145067971757655,"Normal",0.0110478071324266,"Stromal",0.135944700460829,0.202733485193622
"13","ABCF2",0.00185653118851334,0.102553447274467,"Normal",0.000465863713260407,"Stromal",0.043778801843318,0.109339407744875
"14","ABHD12B",0.00969393287256039,0.0500481794523101,"COPD",0.00429952004070673,"Stromal",0.0184331797235023,0
"15","ABHD16A",0.0267543327709568,0.123283670512422,"COPD",0.0186653163364773,"Stromal",0.0714285714285714,0.0364464692482916
"16","ABI3BP",6.64405150646737e-09,0.505861660174843,"COPD",2.37161135286795e-10,"Stromal",0.283410138248848,0.113895216400911
"17","ABLIM3",0.0049514200478878,0.0638181206755846,"Normal",0.0017252150832811,"Stromal",0.00691244239631336,0.0387243735763098
"18","ABO",0.00158170188377893,0.0922142115628242,"COPD",0.000368670524322473,"Stromal",0.0345622119815668,0.00227790432801822
"19","ABRAXAS2",0.045394337550451,0.0968932319293485,"COPD",0.0413797078043803,"Stromal",0.0506912442396313,0.0250569476082005
"20","AC002454.1",0.0225278962327821,0.0230705077083048,"Normal",0.0146241029766016,"Stromal",0,0.0136674259681093
"21","AC002480.3",0.0462941166587057,0.0242144748587075,"COPD",0.0440302499385609,"Stromal",0.00921658986175115,0
"22","AC003681.1",0.0390190476752979,0.0338692193596929,"COPD",0.0332815638402514,"Stromal",0.0207373271889401,0.00455580865603645
"23","AC004832.1",0.0317383455183414,0.0354463649777891,"COPD",0.0242560020828169,"Stromal",0.0115207373271889,0
"24","AC004918.1",0.0317383455183414,0.0264515326783061,"COPD",0.0242560770623659,"Stromal",0.0115207373271889,0
"25","AC005261.1",2.6675506180063e-05,0.163972212413986,"COPD",2.55811993202522e-06,"Stromal",0.0714285714285714,0.00911161731207289
"26","AC005921.2",0.00565210364727065,0.0466344592541494,"COPD",0.00203912250676145,"Stromal",0.0276497695852535,0.00227790432801822
"27","AC006333.2",0.0358901873506916,0.054241190035998,"COPD",0.0292073847512954,"Stromal",0.0253456221198157,0.00683371298405467
"28","AC006449.6",0.0462941166587057,0.0297611574720738,"COPD",0.0440302499385609,"Stromal",0.00921658986175115,0
"29","AC006942.1",0.0317383455183414,0.0264728555279511,"COPD",0.0242560770623659,"Stromal",0.0115207373271889,0
"30","AC007319.1",0.0317383455183414,0.0352741612063751,"COPD",0.0242560770623659,"Stromal",0.0115207373271889,0
"31","AC007405.3",0.00265379811436255,0.124553634179708,"COPD",0.000741564790081598,"Stromal",0.0368663594470046,0.00455580865603645
"32","AC007906.2",0.0183694735660062,0.0495305050475942,"COPD",0.0106527184398993,"Stromal",0.0207373271889401,0.00227790432801822
"33","AC008040.5",0.0213565814246266,0.0310931440818835,"COPD",0.0135228007582145,"Stromal",0.0138248847926267,0
"34","AC008268.1",0.0018324242939392,0.0986642161770862,"COPD",0.000455909507335965,"Stromal",0.0276497695852535,0
"35","AC010642.2",0.0194968997865183,0.104025042177211,"COPD",0.011601924916732,"Stromal",0.0552995391705069,0.0227790432801822
"36","AC015712.2",0.000127413103139012,0.125028934839394,"COPD",1.64464892466461e-05,"Stromal",0.0414746543778802,0
"37","AC015912.3",0.00636383562220687,0.0544471905308711,"COPD",0.00244272640250899,"Stromal",0.0207373271889401,0
"38","AC016831.1",0.000332252200396069,0.115803112786123,"COPD",5.35331972651277e-05,"Stromal",0.0483870967741935,0.00455580865603645
"39","AC016831.5",0.00165216225727641,0.0764858147170912,"COPD",0.000390339792040244,"Stromal",0.0345622119815668,0.00227790432801822
"40","AC016831.7",0.049729486719505,0.070926280777408,"COPD",0.0496235101894688,"Stromal",0.0599078341013825,0.0318906605922551
"41","AC016876.1",0.00636383562220687,0.0532877282776471,"COPD",0.00244272640250899,"Stromal",0.0207373271889401,0
"42","AC018647.1",0.000108442166101298,0.122950974561514,"COPD",1.34902747920368e-05,"Stromal",0.0483870967741935,0.00227790432801822
"43","AC020916.1",7.60602057928789e-05,0.207646973370012,"COPD",8.85823900206439e-06,"Stromal",0.0921658986175115,0.0227790432801822
"44","AC022144.1",0.0462941166587057,0.0300117995981231,"COPD",0.0440302499385609,"Stromal",0.00921658986175115,0
"45","AC023157.3",0.00042109092300166,0.108398844685646,"COPD",7.13409235559552e-05,"Stromal",0.0414746543778802,0.00227790432801822
"46","AC023509.2",0.0462941166587057,0.0280078985664288,"COPD",0.0440302499385609,"Stromal",0.00921658986175115,0
"47","AC025259.3",0.00969393287256039,0.0412376190070207,"COPD",0.00429952004070673,"Stromal",0.0184331797235023,0
"48","AC026401.3",0.0462941166587057,0.0180817964327211,"COPD",0.0440302499385609,"Stromal",0.00921658986175115,0
"49","AC027288.3",0.0145601810769577,0.0417113089598072,"COPD",0.00760200107966895,"Stromal",0.0161290322580645,0
