"","param","celltype","counts"
"1","101CV0ng_LUNG","Airway Epithelial",1
"2","16E0F2ng_LUNG","Airway Epithelial",0
"3","1A1DFBng_LUNG","Airway Epithelial",3
"4","343B_0h","Airway Epithelial",0
"5","343B_24h","Airway Epithelial",0
"6","343B_72h","Airway Epithelial",0
"7","356C_0h","Airway Epithelial",0
"8","356C_12h","Airway Epithelial",0
"9","356C_24h","Airway Epithelial",0
"10","356C_72h","Airway Epithelial",0
"11","367C_0h","Airway Epithelial",0
"12","367C_12h","Airway Epithelial",0
"13","367C_24h","Airway Epithelial",0
"14","367C_72h","Airway Epithelial",0
"15","368C_0h","Airway Epithelial",0
"16","368C_12h","Airway Epithelial",0
"17","368C_24h","Airway Epithelial",0
"18","368C_72h","Airway Epithelial",0
"19","390C_0h","Airway Epithelial",0
"20","390C_12h","Airway Epithelial",0
"21","390C_24h","Airway Epithelial",0
"22","390C_72h","Airway Epithelial",0
"23","4951STDY7472265_LUNG","Airway Epithelial",0
"24","4951STDY7472266_LUNG","Airway Epithelial",1
"25","4951STDY7472267_LUNG","Airway Epithelial",2
"26","4951STDY7487591_LUNG","Airway Epithelial",0
"27","4951STDY7487592_LUNG","Airway Epithelial",0
"28","4951STDY7487593_LUNG","Airway Epithelial",0
"29","9JQK55ng_LUNG","Airway Epithelial",1
"30","A9LCTZng_LUNG","Airway Epithelial",2
"31","AdultLung_1","Airway Epithelial",0
"32","AdultLung_2","Airway Epithelial",0
"33","AdultLung_3","Airway Epithelial",0
"34","CTTV027_RNAseq6949176_LUNG","Airway Epithelial",2
"35","CTTV027_RNAseq6949177_LUNG","Airway Epithelial",0
"36","CTTV027_RNAseq7118945_LUNG","Airway Epithelial",0
"37","CTTV027_RNAseq7118946_LUNG","Airway Epithelial",1
"38","CTTV027_RNAseq7333557_LUNG","Airway Epithelial",1
"39","D088_LUNG","Airway Epithelial",0
"40","D122_LUNG","Airway Epithelial",0
"41","D150_LUNG","Airway Epithelial",10
"42","D175_LUNG","Airway Epithelial",0
"43","D231_LUNG","Airway Epithelial",0
"44","distal_1a_LUNG","Airway Epithelial",0
"45","distal_1b_LUNG","Airway Epithelial",0
"46","distal_2_LUNG","Airway Epithelial",0
"47","distal_3_LUNG","Airway Epithelial",0
"48","ERR8048258","Airway Epithelial",1
"49","ERR8048273","Airway Epithelial",27
"50","ERR8048274","Airway Epithelial",13
"51","FetalLung_1","Airway Epithelial",0
"52","FetalLung_2","Airway Epithelial",0
"53","Fib_Atlas","Airway Epithelial",0
"54","GSM3425686","Airway Epithelial",0
"55","GSM3425687","Airway Epithelial",0
"56","GSM3425692","Airway Epithelial",0
"57","GSM3425693","Airway Epithelial",0
"58","GSM3489182","Airway Epithelial",0
"59","GSM3489185","Airway Epithelial",0
"60","GSM3489187","Airway Epithelial",0
"61","GSM3489189","Airway Epithelial",0
"62","GSM3489191","Airway Epithelial",0
"63","GSM3489193","Airway Epithelial",0
"64","GSM3489195","Airway Epithelial",0
"65","GSM3489197","Airway Epithelial",0
"66","GSM3589406","Airway Epithelial",0
"67","GSM3589407","Airway Epithelial",0
"68","GSM3891620","Airway Epithelial",0
"69","GSM3891621","Airway Epithelial",0
"70","GSM3891622","Airway Epithelial",0
"71","GSM3891623","Airway Epithelial",0
"72","GSM3891624","Airway Epithelial",0
"73","GSM3891625","Airway Epithelial",0
"74","GSM3891632","Airway Epithelial",0
