"","aging","accession","counts"
"1","<1","101CV0ng_LUNG",0
"2","1~17","101CV0ng_LUNG",0
"3","15","101CV0ng_LUNG",0
"4","18~40","101CV0ng_LUNG",0
"5","41~54","101CV0ng_LUNG",0
"6","55~","101CV0ng_LUNG",0
"7","unknown","101CV0ng_LUNG",15
"8","<1","16E0F2ng_LUNG",0
"9","1~17","16E0F2ng_LUNG",0
"10","15","16E0F2ng_LUNG",0
"11","18~40","16E0F2ng_LUNG",0
"12","41~54","16E0F2ng_LUNG",0
"13","55~","16E0F2ng_LUNG",0
"14","unknown","16E0F2ng_LUNG",20
"15","<1","1A1DFBng_LUNG",0
"16","1~17","1A1DFBng_LUNG",0
"17","15","1A1DFBng_LUNG",0
"18","18~40","1A1DFBng_LUNG",0
"19","41~54","1A1DFBng_LUNG",0
"20","55~","1A1DFBng_LUNG",0
"21","unknown","1A1DFBng_LUNG",22
"22","<1","343B_0h",0
"23","1~17","343B_0h",0
"24","15","343B_0h",0
"25","18~40","343B_0h",0
"26","41~54","343B_0h",0
"27","55~","343B_0h",0
"28","unknown","343B_0h",19
"29","<1","343B_24h",0
"30","1~17","343B_24h",0
"31","15","343B_24h",0
"32","18~40","343B_24h",0
"33","41~54","343B_24h",0
"34","55~","343B_24h",0
"35","unknown","343B_24h",15
"36","<1","343B_72h",0
"37","1~17","343B_72h",0
"38","15","343B_72h",0
"39","18~40","343B_72h",0
"40","41~54","343B_72h",0
"41","55~","343B_72h",0
"42","unknown","343B_72h",31
"43","<1","356C_0h",0
"44","1~17","356C_0h",0
"45","15","356C_0h",0
"46","18~40","356C_0h",0
"47","41~54","356C_0h",0
"48","55~","356C_0h",0
"49","unknown","356C_0h",28
"50","<1","356C_12h",0
"51","1~17","356C_12h",0
"52","15","356C_12h",0
"53","18~40","356C_12h",0
"54","41~54","356C_12h",0
"55","55~","356C_12h",0
"56","unknown","356C_12h",28
"57","<1","356C_24h",0
"58","1~17","356C_24h",0
"59","15","356C_24h",0
"60","18~40","356C_24h",0
"61","41~54","356C_24h",0
"62","55~","356C_24h",0
"63","unknown","356C_24h",27
"64","<1","356C_72h",0
"65","1~17","356C_72h",0
"66","15","356C_72h",0
"67","18~40","356C_72h",0
"68","41~54","356C_72h",0
"69","55~","356C_72h",0
"70","unknown","356C_72h",29
"71","<1","367C_0h",0
"72","1~17","367C_0h",0
"73","15","367C_0h",0
"74","18~40","367C_0h",0
"75","41~54","367C_0h",0
"76","55~","367C_0h",0
"77","unknown","367C_0h",26
"78","<1","367C_12h",0
"79","1~17","367C_12h",0
"80","15","367C_12h",0
"81","18~40","367C_12h",0
"82","41~54","367C_12h",0
"83","55~","367C_12h",0
"84","unknown","367C_12h",31
"85","<1","367C_24h",0
"86","1~17","367C_24h",0
"87","15","367C_24h",0
"88","18~40","367C_24h",0
"89","41~54","367C_24h",0
"90","55~","367C_24h",0
"91","unknown","367C_24h",11
"92","<1","367C_72h",0
"93","1~17","367C_72h",0
"94","15","367C_72h",0
"95","18~40","367C_72h",0
"96","41~54","367C_72h",0
"97","55~","367C_72h",0
"98","unknown","367C_72h",22
"99","<1","368C_0h",0
"100","1~17","368C_0h",0
"101","15","368C_0h",0
"102","18~40","368C_0h",0
"103","41~54","368C_0h",0
"104","55~","368C_0h",0
"105","unknown","368C_0h",5
"106","<1","368C_12h",0
"107","1~17","368C_12h",0
"108","15","368C_12h",0
"109","18~40","368C_12h",0
"110","41~54","368C_12h",0
"111","55~","368C_12h",0
"112","unknown","368C_12h",29
"113","<1","368C_24h",0
"114","1~17","368C_24h",0
"115","15","368C_24h",0
"116","18~40","368C_24h",0
"117","41~54","368C_24h",0
"118","55~","368C_24h",0
"119","unknown","368C_24h",13
"120","<1","368C_72h",0
"121","1~17","368C_72h",0
"122","15","368C_72h",0
"123","18~40","368C_72h",0
"124","41~54","368C_72h",0
"125","55~","368C_72h",0
"126","unknown","368C_72h",13
"127","<1","390C_0h",0
"128","1~17","390C_0h",0
"129","15","390C_0h",0
"130","18~40","390C_0h",0
"131","41~54","390C_0h",0
"132","55~","390C_0h",0
"133","unknown","390C_0h",27
"134","<1","390C_12h",0
"135","1~17","390C_12h",0
"136","15","390C_12h",0
"137","18~40","390C_12h",0
"138","41~54","390C_12h",0
"139","55~","390C_12h",0
"140","unknown","390C_12h",31
"141","<1","390C_24h",0
"142","1~17","390C_24h",0
"143","15","390C_24h",0
"144","18~40","390C_24h",0
"145","41~54","390C_24h",0
"146","55~","390C_24h",0
"147","unknown","390C_24h",17
"148","<1","390C_72h",0
"149","1~17","390C_72h",0
"150","15","390C_72h",0
"151","18~40","390C_72h",0
"152","41~54","390C_72h",0
"153","55~","390C_72h",0
"154","unknown","390C_72h",18
"155","<1","4951STDY7472265_LUNG",0
"156","1~17","4951STDY7472265_LUNG",0
"157","15","4951STDY7472265_LUNG",0
"158","18~40","4951STDY7472265_LUNG",0
"159","41~54","4951STDY7472265_LUNG",0
"160","55~","4951STDY7472265_LUNG",0
"161","unknown","4951STDY7472265_LUNG",21
"162","<1","4951STDY7472266_LUNG",0
"163","1~17","4951STDY7472266_LUNG",0
"164","15","4951STDY7472266_LUNG",0
"165","18~40","4951STDY7472266_LUNG",0
"166","41~54","4951STDY7472266_LUNG",0
"167","55~","4951STDY7472266_LUNG",0
"168","unknown","4951STDY7472266_LUNG",64
"169","<1","4951STDY7472267_LUNG",0
"170","1~17","4951STDY7472267_LUNG",0
"171","15","4951STDY7472267_LUNG",0
"172","18~40","4951STDY7472267_LUNG",0
"173","41~54","4951STDY7472267_LUNG",0
"174","55~","4951STDY7472267_LUNG",0
"175","unknown","4951STDY7472267_LUNG",44
"176","<1","4951STDY7487591_LUNG",0
"177","1~17","4951STDY7487591_LUNG",0
"178","15","4951STDY7487591_LUNG",0
"179","18~40","4951STDY7487591_LUNG",0
"180","41~54","4951STDY7487591_LUNG",0
"181","55~","4951STDY7487591_LUNG",0
"182","unknown","4951STDY7487591_LUNG",18
"183","<1","4951STDY7487592_LUNG",0
"184","1~17","4951STDY7487592_LUNG",0
"185","15","4951STDY7487592_LUNG",0
"186","18~40","4951STDY7487592_LUNG",0
"187","41~54","4951STDY7487592_LUNG",0
"188","55~","4951STDY7487592_LUNG",0
"189","unknown","4951STDY7487592_LUNG",22
"190","<1","4951STDY7487593_LUNG",0
"191","1~17","4951STDY7487593_LUNG",0
"192","15","4951STDY7487593_LUNG",0
"193","18~40","4951STDY7487593_LUNG",0
"194","41~54","4951STDY7487593_LUNG",0
"195","55~","4951STDY7487593_LUNG",0
"196","unknown","4951STDY7487593_LUNG",12
"197","<1","9JQK55ng_LUNG",0
"198","1~17","9JQK55ng_LUNG",0
"199","15","9JQK55ng_LUNG",0
"200","18~40","9JQK55ng_LUNG",0
"201","41~54","9JQK55ng_LUNG",0
"202","55~","9JQK55ng_LUNG",0
"203","unknown","9JQK55ng_LUNG",24
"204","<1","A9LCTZng_LUNG",0
"205","1~17","A9LCTZng_LUNG",0
"206","15","A9LCTZng_LUNG",0
"207","18~40","A9LCTZng_LUNG",0
"208","41~54","A9LCTZng_LUNG",0
"209","55~","A9LCTZng_LUNG",0
"210","unknown","A9LCTZng_LUNG",36
"211","<1","AdultLung_1",0
"212","1~17","AdultLung_1",0
"213","15","AdultLung_1",0
"214","18~40","AdultLung_1",58
"215","41~54","AdultLung_1",0
"216","55~","AdultLung_1",0
"217","unknown","AdultLung_1",0
"218","<1","AdultLung_2",0
"219","1~17","AdultLung_2",0
"220","15","AdultLung_2",0
"221","18~40","AdultLung_2",28
"222","41~54","AdultLung_2",0
"223","55~","AdultLung_2",0
"224","unknown","AdultLung_2",0
"225","<1","AdultLung_3",0
"226","1~17","AdultLung_3",0
"227","15","AdultLung_3",0
"228","18~40","AdultLung_3",52
"229","41~54","AdultLung_3",0
"230","55~","AdultLung_3",0
"231","unknown","AdultLung_3",0
"232","<1","CTTV027_RNAseq6949176_LUNG",0
"233","1~17","CTTV027_RNAseq6949176_LUNG",0
"234","15","CTTV027_RNAseq6949176_LUNG",0
"235","18~40","CTTV027_RNAseq6949176_LUNG",0
"236","41~54","CTTV027_RNAseq6949176_LUNG",0
"237","55~","CTTV027_RNAseq6949176_LUNG",0
"238","unknown","CTTV027_RNAseq6949176_LUNG",16
"239","<1","CTTV027_RNAseq6949177_LUNG",0
"240","1~17","CTTV027_RNAseq6949177_LUNG",0
"241","15","CTTV027_RNAseq6949177_LUNG",0
"242","18~40","CTTV027_RNAseq6949177_LUNG",0
"243","41~54","CTTV027_RNAseq6949177_LUNG",0
"244","55~","CTTV027_RNAseq6949177_LUNG",0
"245","unknown","CTTV027_RNAseq6949177_LUNG",22
"246","<1","CTTV027_RNAseq7118945_LUNG",0
"247","1~17","CTTV027_RNAseq7118945_LUNG",0
