"","celltype","accession","counts"
"1","Airway Epithelial","101CV0ng_LUNG",1
"2","AT1","101CV0ng_LUNG",6
"3","AT2","101CV0ng_LUNG",4
"4","Basal","101CV0ng_LUNG",0
"5","Ciliated","101CV0ng_LUNG",0
"6","DC","101CV0ng_LUNG",0
"7","Endothelial","101CV0ng_LUNG",0
"8","Fibroblast","101CV0ng_LUNG",0
"9","Macrophages","101CV0ng_LUNG",3
"10","Monocytes","101CV0ng_LUNG",0
"11","NK+T","101CV0ng_LUNG",0
"12","Plasma+B","101CV0ng_LUNG",0
"13","Secretory","101CV0ng_LUNG",1
"14","Stromal","101CV0ng_LUNG",0
"15","Airway Epithelial","16E0F2ng_LUNG",0
"16","AT1","16E0F2ng_LUNG",10
"17","AT2","16E0F2ng_LUNG",4
"18","Basal","16E0F2ng_LUNG",0
"19","Ciliated","16E0F2ng_LUNG",0
"20","DC","16E0F2ng_LUNG",1
"21","Endothelial","16E0F2ng_LUNG",0
"22","Fibroblast","16E0F2ng_LUNG",0
"23","Macrophages","16E0F2ng_LUNG",0
"24","Monocytes","16E0F2ng_LUNG",0
"25","NK+T","16E0F2ng_LUNG",0
"26","Plasma+B","16E0F2ng_LUNG",0
"27","Secretory","16E0F2ng_LUNG",4
"28","Stromal","16E0F2ng_LUNG",1
"29","Airway Epithelial","1A1DFBng_LUNG",3
"30","AT1","1A1DFBng_LUNG",5
"31","AT2","1A1DFBng_LUNG",7
"32","Basal","1A1DFBng_LUNG",0
"33","Ciliated","1A1DFBng_LUNG",0
"34","DC","1A1DFBng_LUNG",1
"35","Endothelial","1A1DFBng_LUNG",1
"36","Fibroblast","1A1DFBng_LUNG",0
"37","Macrophages","1A1DFBng_LUNG",4
"38","Monocytes","1A1DFBng_LUNG",0
"39","NK+T","1A1DFBng_LUNG",0
"40","Plasma+B","1A1DFBng_LUNG",0
"41","Secretory","1A1DFBng_LUNG",1
"42","Stromal","1A1DFBng_LUNG",0
"43","Airway Epithelial","343B_0h",0
"44","AT1","343B_0h",0
"45","AT2","343B_0h",7
"46","Basal","343B_0h",0
"47","Ciliated","343B_0h",0
"48","DC","343B_0h",0
"49","Endothelial","343B_0h",2
"50","Fibroblast","343B_0h",0
"51","Macrophages","343B_0h",2
"52","Monocytes","343B_0h",0
"53","NK+T","343B_0h",8
"54","Plasma+B","343B_0h",0
"55","Secretory","343B_0h",0
"56","Stromal","343B_0h",0
"57","Airway Epithelial","343B_24h",0
"58","AT1","343B_24h",0
"59","AT2","343B_24h",1
"60","Basal","343B_24h",0
"61","Ciliated","343B_24h",0
"62","DC","343B_24h",0
"63","Endothelial","343B_24h",5
"64","Fibroblast","343B_24h",0
"65","Macrophages","343B_24h",0
"66","Monocytes","343B_24h",3
"67","NK+T","343B_24h",5
"68","Plasma+B","343B_24h",1
"69","Secretory","343B_24h",0
"70","Stromal","343B_24h",0
"71","Airway Epithelial","343B_72h",0
"72","AT1","343B_72h",0
"73","AT2","343B_72h",8
"74","Basal","343B_72h",0
"75","Ciliated","343B_72h",4
"76","DC","343B_72h",3
"77","Endothelial","343B_72h",2
"78","Fibroblast","343B_72h",0
"79","Macrophages","343B_72h",1
"80","Monocytes","343B_72h",1
"81","NK+T","343B_72h",5
"82","Plasma+B","343B_72h",4
"83","Secretory","343B_72h",3
"84","Stromal","343B_72h",0
"85","Airway Epithelial","356C_0h",0
"86","AT1","356C_0h",0
"87","AT2","356C_0h",2
"88","Basal","356C_0h",0
"89","Ciliated","356C_0h",0
