"","experiment","accession","counts"
"1","E-MTAB-11278","101CV0ng_LUNG",0
"2","EGAS00001004481","101CV0ng_LUNG",0
"3","ERP114453","101CV0ng_LUNG",0
"4","Fib_Atlas","101CV0ng_LUNG",0
"5","GSE121080","101CV0ng_LUNG",0
"6","GSE122960","101CV0ng_LUNG",0
"7","GSE126030","101CV0ng_LUNG",0
"8","GSE132771","101CV0ng_LUNG",0
"9","GSE132914","101CV0ng_LUNG",0
"10","GSE134355","101CV0ng_LUNG",0
"11","GSE135893","101CV0ng_LUNG",0
"12","GSE136831","101CV0ng_LUNG",0
"13","GSE137026","101CV0ng_LUNG",0
"14","GSE139534","101CV0ng_LUNG",0
"15","GSE139555","101CV0ng_LUNG",0
"16","GSE139819","101CV0ng_LUNG",0
"17","GSE150247","101CV0ng_LUNG",0
"18","GSE157376","101CV0ng_LUNG",0
"19","GSE158942","101CV0ng_LUNG",0
"20","GSE160664","101CV0ng_LUNG",0
"21","GSE161382","101CV0ng_LUNG",0
"22","GSE167295","101CV0ng_LUNG",0
"23","GSE168191","101CV0ng_LUNG",0
"24","GSE169471","101CV0ng_LUNG",0
"25","GSE171524","101CV0ng_LUNG",0
"26","GSE173896","101CV0ng_LUNG",0
"27","GSE181388","101CV0ng_LUNG",0
"28","GSE196303","101CV0ng_LUNG",0
"29","GSE196341","101CV0ng_LUNG",0
"30","GSE227136","101CV0ng_LUNG",0
"31","HCL","101CV0ng_LUNG",0
"32","HTAN_MSK","101CV0ng_LUNG",0
"33","munich_cohort_human","101CV0ng_LUNG",0
"34","P115_Syn21041850_Lung_scRNASEQ","101CV0ng_LUNG",0
"35","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","101CV0ng_LUNG",0
"36","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","101CV0ng_LUNG",0
"37","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","101CV0ng_LUNG",0
"38","P90_COVID19CELLATLAS_Lung_scRNASEQ","101CV0ng_LUNG",15
"39","P91_COVID19CELLATLAS_Lung_scRNASEQ","101CV0ng_LUNG",0
"40","Travaglini_Krasnow_2020","101CV0ng_LUNG",0
"41","Vieira_Teichmann_2019","101CV0ng_LUNG",0
"42","E-MTAB-11278","16E0F2ng_LUNG",0
"43","EGAS00001004481","16E0F2ng_LUNG",0
"44","ERP114453","16E0F2ng_LUNG",0
"45","Fib_Atlas","16E0F2ng_LUNG",0
"46","GSE121080","16E0F2ng_LUNG",0
"47","GSE122960","16E0F2ng_LUNG",0
"48","GSE126030","16E0F2ng_LUNG",0
"49","GSE132771","16E0F2ng_LUNG",0
"50","GSE132914","16E0F2ng_LUNG",0
"51","GSE134355","16E0F2ng_LUNG",0
"52","GSE135893","16E0F2ng_LUNG",0
"53","GSE136831","16E0F2ng_LUNG",0
"54","GSE137026","16E0F2ng_LUNG",0
"55","GSE139534","16E0F2ng_LUNG",0
"56","GSE139555","16E0F2ng_LUNG",0
"57","GSE139819","16E0F2ng_LUNG",0
"58","GSE150247","16E0F2ng_LUNG",0
"59","GSE157376","16E0F2ng_LUNG",0
"60","GSE158942","16E0F2ng_LUNG",0
"61","GSE160664","16E0F2ng_LUNG",0
"62","GSE161382","16E0F2ng_LUNG",0
"63","GSE167295","16E0F2ng_LUNG",0
"64","GSE168191","16E0F2ng_LUNG",0
"65","GSE169471","16E0F2ng_LUNG",0
"66","GSE171524","16E0F2ng_LUNG",0
"67","GSE173896","16E0F2ng_LUNG",0
"68","GSE181388","16E0F2ng_LUNG",0
"69","GSE196303","16E0F2ng_LUNG",0
"70","GSE196341","16E0F2ng_LUNG",0
"71","GSE227136","16E0F2ng_LUNG",0
"72","HCL","16E0F2ng_LUNG",0
"73","HTAN_MSK","16E0F2ng_LUNG",0
"74","munich_cohort_human","16E0F2ng_LUNG",0
"75","P115_Syn21041850_Lung_scRNASEQ","16E0F2ng_LUNG",0
"76","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","16E0F2ng_LUNG",0
"77","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","16E0F2ng_LUNG",0
"78","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","16E0F2ng_LUNG",0
"79","P90_COVID19CELLATLAS_Lung_scRNASEQ","16E0F2ng_LUNG",20
"80","P91_COVID19CELLATLAS_Lung_scRNASEQ","16E0F2ng_LUNG",0
"81","Travaglini_Krasnow_2020","16E0F2ng_LUNG",0
"82","Vieira_Teichmann_2019","16E0F2ng_LUNG",0
"83","E-MTAB-11278","1A1DFBng_LUNG",0
"84","EGAS00001004481","1A1DFBng_LUNG",0
"85","ERP114453","1A1DFBng_LUNG",0
"86","Fib_Atlas","1A1DFBng_LUNG",0
"87","GSE121080","1A1DFBng_LUNG",0
"88","GSE122960","1A1DFBng_LUNG",0
"89","GSE126030","1A1DFBng_LUNG",0
"90","GSE132771","1A1DFBng_LUNG",0
"91","GSE132914","1A1DFBng_LUNG",0
"92","GSE134355","1A1DFBng_LUNG",0
"93","GSE135893","1A1DFBng_LUNG",0
"94","GSE136831","1A1DFBng_LUNG",0
"95","GSE137026","1A1DFBng_LUNG",0
"96","GSE139534","1A1DFBng_LUNG",0
"97","GSE139555","1A1DFBng_LUNG",0
"98","GSE139819","1A1DFBng_LUNG",0
"99","GSE150247","1A1DFBng_LUNG",0
"100","GSE157376","1A1DFBng_LUNG",0
"101","GSE158942","1A1DFBng_LUNG",0
"102","GSE160664","1A1DFBng_LUNG",0
"103","GSE161382","1A1DFBng_LUNG",0
"104","GSE167295","1A1DFBng_LUNG",0
"105","GSE168191","1A1DFBng_LUNG",0
"106","GSE169471","1A1DFBng_LUNG",0
"107","GSE171524","1A1DFBng_LUNG",0
"108","GSE173896","1A1DFBng_LUNG",0
"109","GSE181388","1A1DFBng_LUNG",0
"110","GSE196303","1A1DFBng_LUNG",0
"111","GSE196341","1A1DFBng_LUNG",0
"112","GSE227136","1A1DFBng_LUNG",0
"113","HCL","1A1DFBng_LUNG",0
"114","HTAN_MSK","1A1DFBng_LUNG",0
"115","munich_cohort_human","1A1DFBng_LUNG",0
"116","P115_Syn21041850_Lung_scRNASEQ","1A1DFBng_LUNG",0
"117","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","1A1DFBng_LUNG",0
"118","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","1A1DFBng_LUNG",0
"119","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","1A1DFBng_LUNG",0
"120","P90_COVID19CELLATLAS_Lung_scRNASEQ","1A1DFBng_LUNG",22
"121","P91_COVID19CELLATLAS_Lung_scRNASEQ","1A1DFBng_LUNG",0
"122","Travaglini_Krasnow_2020","1A1DFBng_LUNG",0
"123","Vieira_Teichmann_2019","1A1DFBng_LUNG",0
"124","E-MTAB-11278","343B_0h",0
