"","gender","accession","counts"
"1","F","101CV0ng_LUNG",0
"2","M","101CV0ng_LUNG",0
"3","unknown","101CV0ng_LUNG",15
"4","F","16E0F2ng_LUNG",0
"5","M","16E0F2ng_LUNG",0
"6","unknown","16E0F2ng_LUNG",20
"7","F","1A1DFBng_LUNG",0
"8","M","1A1DFBng_LUNG",0
"9","unknown","1A1DFBng_LUNG",22
"10","F","343B_0h",0
"11","M","343B_0h",0
"12","unknown","343B_0h",19
"13","F","343B_24h",0
"14","M","343B_24h",0
"15","unknown","343B_24h",15
"16","F","343B_72h",0
"17","M","343B_72h",0
"18","unknown","343B_72h",31
"19","F","356C_0h",0
"20","M","356C_0h",0
"21","unknown","356C_0h",28
"22","F","356C_12h",0
"23","M","356C_12h",0
"24","unknown","356C_12h",28
"25","F","356C_24h",0
"26","M","356C_24h",0
"27","unknown","356C_24h",27
"28","F","356C_72h",0
"29","M","356C_72h",0
"30","unknown","356C_72h",29
"31","F","367C_0h",0
"32","M","367C_0h",0
"33","unknown","367C_0h",26
"34","F","367C_12h",0
"35","M","367C_12h",0
"36","unknown","367C_12h",31
"37","F","367C_24h",0
"38","M","367C_24h",0
"39","unknown","367C_24h",11
"40","F","367C_72h",0
"41","M","367C_72h",0
"42","unknown","367C_72h",22
"43","F","368C_0h",0
"44","M","368C_0h",0
"45","unknown","368C_0h",5
"46","F","368C_12h",0
"47","M","368C_12h",0
"48","unknown","368C_12h",29
"49","F","368C_24h",0
"50","M","368C_24h",0
"51","unknown","368C_24h",13
"52","F","368C_72h",0
"53","M","368C_72h",0
"54","unknown","368C_72h",13
"55","F","390C_0h",0
"56","M","390C_0h",0
"57","unknown","390C_0h",27
"58","F","390C_12h",0
"59","M","390C_12h",0
"60","unknown","390C_12h",31
"61","F","390C_24h",0
"62","M","390C_24h",0
"63","unknown","390C_24h",17
"64","F","390C_72h",0
"65","M","390C_72h",0
"66","unknown","390C_72h",18
"67","F","4951STDY7472265_LUNG",0
"68","M","4951STDY7472265_LUNG",0
"69","unknown","4951STDY7472265_LUNG",21
"70","F","4951STDY7472266_LUNG",0
"71","M","4951STDY7472266_LUNG",0
"72","unknown","4951STDY7472266_LUNG",64
"73","F","4951STDY7472267_LUNG",0
"74","M","4951STDY7472267_LUNG",0
"75","unknown","4951STDY7472267_LUNG",44
"76","F","4951STDY7487591_LUNG",0
"77","M","4951STDY7487591_LUNG",0
"78","unknown","4951STDY7487591_LUNG",18
"79","F","4951STDY7487592_LUNG",0
"80","M","4951STDY7487592_LUNG",0
"81","unknown","4951STDY7487592_LUNG",22
"82","F","4951STDY7487593_LUNG",0
"83","M","4951STDY7487593_LUNG",0
"84","unknown","4951STDY7487593_LUNG",12
"85","F","9JQK55ng_LUNG",0
"86","M","9JQK55ng_LUNG",0
"87","unknown","9JQK55ng_LUNG",24
"88","F","A9LCTZng_LUNG",0
"89","M","A9LCTZng_LUNG",0
"90","unknown","A9LCTZng_LUNG",36
"91","F","AdultLung_1",0
"92","M","AdultLung_1",0
"93","unknown","AdultLung_1",58
"94","F","AdultLung_2",0
"95","M","AdultLung_2",0
"96","unknown","AdultLung_2",28
"97","F","AdultLung_3",0
"98","M","AdultLung_3",0
"99","unknown","AdultLung_3",52
"100","F","CTTV027_RNAseq6949176_LUNG",0
"101","M","CTTV027_RNAseq6949176_LUNG",0
"102","unknown","CTTV027_RNAseq6949176_LUNG",16
"103","F","CTTV027_RNAseq6949177_LUNG",0
"104","M","CTTV027_RNAseq6949177_LUNG",0
"105","unknown","CTTV027_RNAseq6949177_LUNG",22
"106","F","CTTV027_RNAseq7118945_LUNG",0
"107","M","CTTV027_RNAseq7118945_LUNG",0
"108","unknown","CTTV027_RNAseq7118945_LUNG",3
"109","F","CTTV027_RNAseq7118946_LUNG",0
"110","M","CTTV027_RNAseq7118946_LUNG",0
"111","unknown","CTTV027_RNAseq7118946_LUNG",10
"112","F","CTTV027_RNAseq7333557_LUNG",0
"113","M","CTTV027_RNAseq7333557_LUNG",0
"114","unknown","CTTV027_RNAseq7333557_LUNG",22
"115","F","D088_LUNG",0
"116","M","D088_LUNG",0
"117","unknown","D088_LUNG",32
"118","F","D122_LUNG",0
"119","M","D122_LUNG",0
"120","unknown","D122_LUNG",17
"121","F","D150_LUNG",0
"122","M","D150_LUNG",0
"123","unknown","D150_LUNG",45
"124","F","D175_LUNG",0
"125","M","D175_LUNG",0
"126","unknown","D175_LUNG",13
"127","F","D231_LUNG",0
"128","M","D231_LUNG",0
"129","unknown","D231_LUNG",14
"130","F","distal_1a_LUNG",0
"131","M","distal_1a_LUNG",0
"132","unknown","distal_1a_LUNG",6
"133","F","distal_1b_LUNG",0
"134","M","distal_1b_LUNG",0
"135","unknown","distal_1b_LUNG",2
"136","F","distal_2_LUNG",0
"137","M","distal_2_LUNG",0
"138","unknown","distal_2_LUNG",2
"139","F","distal_3_LUNG",0
"140","M","distal_3_LUNG",0
"141","unknown","distal_3_LUNG",2
"142","F","ERR8048258",0
"143","M","ERR8048258",24
"144","unknown","ERR8048258",0
"145","F","ERR8048273",154
"146","M","ERR8048273",0
"147","unknown","ERR8048273",0
"148","F","ERR8048274",78
"149","M","ERR8048274",0
"150","unknown","ERR8048274",0
"151","F","FetalLung_1",0
"152","M","FetalLung_1",0
"153","unknown","FetalLung_1",4
"154","F","FetalLung_2",0
"155","M","FetalLung_2",0
"156","unknown","FetalLung_2",4
"157","F","Fib_Atlas",0
"158","M","Fib_Atlas",0
"159","unknown","Fib_Atlas",8
