"","group","accession","counts"
"1","COPD","GSM4058900",0
"2","Normal","GSM4058900",593
"3","COPD","GSM4058901",0
"4","Normal","GSM4058901",549
"5","COPD","GSM4058902",0
"6","Normal","GSM4058902",651
"7","COPD","GSM4058903",0
"8","Normal","GSM4058903",588
"9","COPD","GSM4058904",0
"10","Normal","GSM4058904",537
"11","COPD","GSM4058905",0
"12","Normal","GSM4058905",136
"13","COPD","GSM4058906",0
"14","Normal","GSM4058906",634
"15","COPD","GSM4058907",0
"16","Normal","GSM4058907",371
"17","COPD","GSM4058908",0
"18","Normal","GSM4058908",408
"19","COPD","GSM4058909",0
"20","Normal","GSM4058909",523
"21","COPD","GSM4058910",0
"22","Normal","GSM4058910",630
"23","COPD","GSM4058911",0
"24","Normal","GSM4058911",586
"25","COPD","GSM4058912",0
"26","Normal","GSM4058912",483
"27","COPD","GSM4058913",0
"28","Normal","GSM4058913",419
"29","COPD","GSM4058914",0
"30","Normal","GSM4058914",417
"31","COPD","GSM4058915",0
"32","Normal","GSM4058915",609
"33","COPD","GSM4058916",0
"34","Normal","GSM4058916",458
"35","COPD","GSM4058917",0
"36","Normal","GSM4058917",385
"37","COPD","GSM4058918",0
"38","Normal","GSM4058918",360
"39","COPD","GSM4058919",0
"40","Normal","GSM4058919",606
"41","COPD","GSM4058920",0
"42","Normal","GSM4058920",248
"43","COPD","GSM4058921",0
"44","Normal","GSM4058921",540
"45","COPD","GSM4058922",0
"46","Normal","GSM4058922",728
"47","COPD","GSM4058923",0
"48","Normal","GSM4058923",658
"49","COPD","GSM4058924",0
"50","Normal","GSM4058924",443
"51","COPD","GSM4058925",0
"52","Normal","GSM4058925",223
"53","COPD","GSM4058926",0
"54","Normal","GSM4058926",48
"55","COPD","GSM4058927",0
"56","Normal","GSM4058927",318
"57","COPD","GSM4058928",384
"58","Normal","GSM4058928",0
"59","COPD","GSM4058929",602
"60","Normal","GSM4058929",0
"61","COPD","GSM4058930",504
"62","Normal","GSM4058930",0
"63","COPD","GSM4058931",348
"64","Normal","GSM4058931",0
"65","COPD","GSM4058932",498
"66","Normal","GSM4058932",0
"67","COPD","GSM4058933",460
"68","Normal","GSM4058933",0
"69","COPD","GSM4058934",474
"70","Normal","GSM4058934",0
"71","COPD","GSM4058935",589
"72","Normal","GSM4058935",0
"73","COPD","GSM4058936",500
"74","Normal","GSM4058936",0
"75","COPD","GSM4058937",524
"76","Normal","GSM4058937",0
"77","COPD","GSM4058938",450
"78","Normal","GSM4058938",0
"79","COPD","GSM4058939",469
"80","Normal","GSM4058939",0
"81","COPD","GSM4058940",732
"82","Normal","GSM4058940",0
"83","COPD","GSM4058941",537
"84","Normal","GSM4058941",0
"85","COPD","GSM4058942",278
"86","Normal","GSM4058942",0
"87","COPD","GSM4058943",471
"88","Normal","GSM4058943",0
"89","COPD","GSM4058944",424
"90","Normal","GSM4058944",0
"91","COPD","GSM4058945",616
"92","Normal","GSM4058945",0
"93","COPD","GSM4816089",376
"94","Normal","GSM4816089",0
"95","COPD","GSM5100998",515
"96","Normal","GSM5100998",0
"97","COPD","GSM5100999",431
"98","Normal","GSM5100999",0
"99","COPD","GSM5101000",446
"100","Normal","GSM5101000",0
"101","COPD","GSM5282537",651
"102","Normal","GSM5282537",0
"103","COPD","GSM5282538",556
"104","Normal","GSM5282538",0
"105","COPD","GSM5282539",596
"106","Normal","GSM5282539",0
"107","COPD","GSM5282540",524
"108","Normal","GSM5282540",0
"109","COPD","GSM5282541",570
"110","Normal","GSM5282541",0
"111","COPD","GSM5282542",451
"112","Normal","GSM5282542",0
"113","COPD","GSM5282543",234
"114","Normal","GSM5282543",0
"115","COPD","GSM5282544",526
"116","Normal","GSM5282544",0
"117","COPD","GSM5282545",552
"118","Normal","GSM5282545",0
"119","COPD","GSM5282546",0
"120","Normal","GSM5282546",482
"121","COPD","GSM5282547",0
"122","Normal","GSM5282547",654
"123","COPD","GSM5282548",0
"124","Normal","GSM5282548",608
