"","groups","accession","counts"
"1","COPD","101CV0ng_LUNG",0
"2","Normal","101CV0ng_LUNG",15
"3","COPD","16E0F2ng_LUNG",0
"4","Normal","16E0F2ng_LUNG",20
"5","COPD","1A1DFBng_LUNG",0
"6","Normal","1A1DFBng_LUNG",22
"7","COPD","343B_0h",0
"8","Normal","343B_0h",19
"9","COPD","343B_24h",0
"10","Normal","343B_24h",15
"11","COPD","343B_72h",0
"12","Normal","343B_72h",31
"13","COPD","356C_0h",0
"14","Normal","356C_0h",28
"15","COPD","356C_12h",0
"16","Normal","356C_12h",28
"17","COPD","356C_24h",0
"18","Normal","356C_24h",27
"19","COPD","356C_72h",0
"20","Normal","356C_72h",29
"21","COPD","367C_0h",0
"22","Normal","367C_0h",26
"23","COPD","367C_12h",0
"24","Normal","367C_12h",31
"25","COPD","367C_24h",0
"26","Normal","367C_24h",11
"27","COPD","367C_72h",0
"28","Normal","367C_72h",22
"29","COPD","368C_0h",0
"30","Normal","368C_0h",5
"31","COPD","368C_12h",0
"32","Normal","368C_12h",29
"33","COPD","368C_24h",0
"34","Normal","368C_24h",13
"35","COPD","368C_72h",0
"36","Normal","368C_72h",13
"37","COPD","390C_0h",0
"38","Normal","390C_0h",27
"39","COPD","390C_12h",0
"40","Normal","390C_12h",31
"41","COPD","390C_24h",0
"42","Normal","390C_24h",17
"43","COPD","390C_72h",0
"44","Normal","390C_72h",18
"45","COPD","4951STDY7472265_LUNG",0
"46","Normal","4951STDY7472265_LUNG",21
"47","COPD","4951STDY7472266_LUNG",0
"48","Normal","4951STDY7472266_LUNG",64
"49","COPD","4951STDY7472267_LUNG",0
"50","Normal","4951STDY7472267_LUNG",44
"51","COPD","4951STDY7487591_LUNG",0
"52","Normal","4951STDY7487591_LUNG",18
"53","COPD","4951STDY7487592_LUNG",0
"54","Normal","4951STDY7487592_LUNG",22
"55","COPD","4951STDY7487593_LUNG",0
"56","Normal","4951STDY7487593_LUNG",12
"57","COPD","9JQK55ng_LUNG",0
"58","Normal","9JQK55ng_LUNG",24
"59","COPD","A9LCTZng_LUNG",0
"60","Normal","A9LCTZng_LUNG",36
"61","COPD","AdultLung_1",0
"62","Normal","AdultLung_1",58
"63","COPD","AdultLung_2",0
"64","Normal","AdultLung_2",28
"65","COPD","AdultLung_3",0
"66","Normal","AdultLung_3",52
"67","COPD","CTTV027_RNAseq6949176_LUNG",0
"68","Normal","CTTV027_RNAseq6949176_LUNG",16
"69","COPD","CTTV027_RNAseq6949177_LUNG",0
"70","Normal","CTTV027_RNAseq6949177_LUNG",22
"71","COPD","CTTV027_RNAseq7118945_LUNG",0
"72","Normal","CTTV027_RNAseq7118945_LUNG",3
"73","COPD","CTTV027_RNAseq7118946_LUNG",0
"74","Normal","CTTV027_RNAseq7118946_LUNG",10
"75","COPD","CTTV027_RNAseq7333557_LUNG",0
"76","Normal","CTTV027_RNAseq7333557_LUNG",22
"77","COPD","D088_LUNG",0
"78","Normal","D088_LUNG",32
"79","COPD","D122_LUNG",0
"80","Normal","D122_LUNG",17
"81","COPD","D150_LUNG",0
"82","Normal","D150_LUNG",45
"83","COPD","D175_LUNG",0
"84","Normal","D175_LUNG",13
"85","COPD","D231_LUNG",0
"86","Normal","D231_LUNG",14
"87","COPD","distal_1a_LUNG",0
"88","Normal","distal_1a_LUNG",6
"89","COPD","distal_1b_LUNG",0
"90","Normal","distal_1b_LUNG",2
"91","COPD","distal_2_LUNG",0
"92","Normal","distal_2_LUNG",2
"93","COPD","distal_3_LUNG",0
"94","Normal","distal_3_LUNG",2
"95","COPD","ERR8048258",0
"96","Normal","ERR8048258",24
"97","COPD","ERR8048273",0
"98","Normal","ERR8048273",154
"99","COPD","ERR8048274",0
"100","Normal","ERR8048274",78
"101","COPD","FetalLung_1",0
"102","Normal","FetalLung_1",4
"103","COPD","FetalLung_2",0
"104","Normal","FetalLung_2",4
"105","COPD","Fib_Atlas",0
"106","Normal","Fib_Atlas",8
"107","COPD","GSM3425686",0
"108","Normal","GSM3425686",36
"109","COPD","GSM3425687",0
"110","Normal","GSM3425687",27
"111","COPD","GSM3425692",0
"112","Normal","GSM3425692",76
"113","COPD","GSM3425693",0
"114","Normal","GSM3425693",42
"115","COPD","GSM3489182",0
"116","Normal","GSM3489182",20
"117","COPD","GSM3489185",0
"118","Normal","GSM3489185",28
"119","COPD","GSM3489187",0
"120","Normal","GSM3489187",35
"121","COPD","GSM3489189",0
"122","Normal","GSM3489189",28
"123","COPD","GSM3489191",0
"124","Normal","GSM3489191",29
"125","COPD","GSM3489193",0
"126","Normal","GSM3489193",27
