"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","AUTS2",2.41909047491514e-18,0.956538380604967,0.878,0.715,2.2151611478798e-13,"Normal","AUTS2","AT2"
"2","MACROD2",8.42236168449223e-17,0.840464374307669,0.834,0.649,7.71235659448953e-12,"Normal","MACROD2","AT2"
"3","COX1",2.53897138403927e-16,1.11321812697955,0.552,0.29,2.32493609636476e-11,"Normal","COX1","AT2"
"4","FOXP1",1.76223908643802e-15,0.614536145285659,0.909,0.841,1.61368233145129e-10,"Normal","FOXP1","AT2"
"5","MTCO1P12",2.05273310005524e-15,1.09979744586249,0.545,0.29,1.87968769972058e-10,"Normal","MTCO1P12","AT2"
"6","ZBTB20",2.35290364286572e-15,0.609402874500673,0.9,0.839,2.15455386577214e-10,"Normal","ZBTB20","AT2"
"7","RABGAP1L",2.594852632944e-15,0.830857746018203,0.79,0.681,2.37610655598682e-10,"Normal","RABGAP1L","AT2"
"8","COX2",2.63812295246132e-15,1.06951382677811,0.549,0.29,2.41572918756883e-10,"Normal","COX2","AT2"
"9","ND4L",3.46766151465965e-15,1.05786804695207,0.549,0.29,3.17533764897384e-10,"Normal","ND4L","AT2"
"11","ND1",5.95372390092199e-15,1.0546814497901,0.549,0.29,5.45182497607427e-10,"Normal","ND1","AT2"
"13","ND2",7.36979144748981e-15,1.05822707761804,0.542,0.29,6.74851802846642e-10,"Normal","ND2","AT2"
"14","ACACA",9.28043424292904e-15,0.971231895808197,0.809,0.681,8.49809363625013e-10,"Normal","ACACA","AT2"
"15","XIST",1.22852801931156e-14,1.4222272070868,0.348,0.123,1.1249631072836e-09,"Normal","XIST","AT2"
"16","KANK1",1.69620942047841e-14,1.15914338053144,0.693,0.49,1.55321896633208e-09,"Normal","KANK1","AT2"
"17","MECOM",2.59671051086082e-14,0.869351433225161,0.871,0.772,2.37780781479525e-09,"Normal","MECOM","AT2"
"18","CYTB",3.09580110076601e-14,1.0334823661248,0.536,0.29,2.83482506797144e-09,"Normal","CYTB","AT2"
"19","ND3",3.42657206813098e-14,1.0403344421855,0.539,0.288,3.13771204278754e-09,"Normal","ND3","AT2"
"20","MTATP8P1",5.38898544494082e-14,1.02014744661035,0.533,0.288,4.93469397193231e-09,"Normal","MTATP8P1","AT2"
"21","BTBD9",7.26911867416628e-14,0.890819330822449,0.755,0.584,6.65633196993406e-09,"Normal","BTBD9","AT2"
"22","PDE4D",1.8145982253475e-13,0.654238082407601,0.937,0.867,1.66162759495071e-08,"Normal","PDE4D","AT2"
"23","MTND1P23",1.86800361262083e-13,1.05671365688399,0.517,0.277,1.7105309080769e-08,"Normal","MTND1P23","AT2"
"24","ND5",3.10925783877198e-13,1.06125879125143,0.517,0.273,2.8471474029635e-08,"Normal","ND5","AT2"
"26","MTATP6P1",3.60090050695702e-13,0.960875380435279,0.53,0.277,3.29734459422054e-08,"Normal","MTATP6P1","AT2"
"27","PTPRM",1.3793160989348e-12,1.01879845498142,0.737,0.603,1.2630397517946e-07,"Normal","PTPRM","AT2"
"28","ACOXL",1.49051981793618e-12,1.12670680671077,0.696,0.548,1.36486899728416e-07,"Normal","ACOXL","AT2"
"29","MED13L",1.88879675950715e-12,0.759526383267016,0.806,0.721,1.7295711926807e-07,"Normal","MED13L","AT2"
"30","USP54",2.02735227774929e-12,0.847791037747917,0.765,0.588,1.85644648073502e-07,"Normal","USP54","AT2"
"31","RERE",3.75531995649089e-12,0.77100122106924,0.806,0.672,3.43874648415871e-07,"Normal","RERE","AT2"
"32","UNC13B",1.38969588224797e-11,0.836338442122712,0.812,0.715,1.27254451937446e-06,"Normal","UNC13B","AT2"
"33","AFF3",1.91586161697406e-11,1.0297330572703,0.74,0.634,1.75435448266315e-06,"Normal","AFF3","AT2"
"34","ND6",2.10931275781152e-11,1.12217766680871,0.47,0.258,1.93149769232801e-06,"Normal","ND6","AT2"
"35","MAGI1",2.67599271039094e-11,0.864328533546312,0.724,0.598,2.45040652490498e-06,"Normal","MAGI1","AT2"
"37","LOC101928626",4.68104033507949e-11,0.928593673516484,0.508,0.283,4.28642863483229e-06,"Normal","LOC101928626","AT2"
"38","ANK3",7.15341166702848e-11,0.476302047611708,0.944,0.884,6.55037906349798e-06,"Normal","ANK3","AT2"
"39","SNX25",7.16170838773056e-11,0.590680639219767,0.887,0.803,6.55797637064488e-06,"Normal","SNX25","AT2"
"40","TNIK",8.28407460797275e-11,0.844567554488065,0.743,0.603,7.58572711852065e-06,"Normal","TNIK","AT2"
"41","ARMH4",8.29935034523097e-11,1.4306494544351,0.364,0.175,7.599715111128e-06,"Normal","ARMH4","AT2"
"42","ADK",9.27229748121098e-11,0.836997230455394,0.821,0.729,8.49064280354489e-06,"Normal","ADK","AT2"
"43","PLEKHA5",1.18129051410972e-10,1.13259733576228,0.608,0.442,1.08170772377027e-05,"Normal","PLEKHA5","AT2"
"44","NIBAN2",1.8000371916136e-10,1.15152667348604,0.398,0.201,1.64829405636057e-05,"Normal","NIBAN2","AT2"
"45","TBC1D5",1.86680173926066e-10,1.0619345206678,0.636,0.488,1.70943035264098e-05,"Normal","TBC1D5","AT2"
"46","LOC729732",2.09385422548879e-10,1.59306486194168,0.323,0.148,1.91734231428009e-05,"Normal","LOC729732","AT2"
"48","SSH2",2.52887877504188e-10,0.845674191680333,0.734,0.609,2.31569429430585e-05,"Normal","SSH2","AT2"
"49","BMP1",2.59454891003621e-10,1.0261130405852,0.567,0.389,2.37582843692016e-05,"Normal","BMP1","AT2"
"50","NPIPB3",3.61959225405609e-10,1.2580619749723,0.389,0.197,3.31446062703917e-05,"Normal","NPIPB3","AT2"
"51","EVI5",3.68767140264138e-10,0.988682994836561,0.658,0.535,3.37680070339871e-05,"Normal","EVI5","AT2"
"52","NEBL",4.73846444223056e-10,0.706293912783795,0.846,0.77,4.33901188975052e-05,"Normal","NEBL","AT2"
"53","PRKG1",7.81117612179836e-10,1.17528246136451,0.545,0.397,7.15269397473076e-05,"Normal","PRKG1","AT2"
"54","CMTM8",7.91206152031763e-10,0.920279084108651,0.693,0.594,7.24507473415486e-05,"Normal","CMTM8","AT2"
"55","MTND2P28",9.540936856115e-10,0.951339507008323,0.448,0.245,8.73663587914451e-05,"Normal","MTND2P28","AT2"
"56","SPIDR",1.07023844722787e-09,0.89289725615734,0.652,0.518,9.80017346126562e-05,"Normal","SPIDR","AT2"
"57","MYO9A",1.09020210870677e-09,0.837935562149183,0.724,0.615,9.98298070942787e-05,"Normal","MYO9A","AT2"
"58","GPHN",1.21501824673465e-09,0.96763595396654,0.611,0.463,0.000111259220853492,"Normal","GPHN","AT2"
"59","LARP4B",1.29552026042091e-09,0.593826338712309,0.787,0.706,0.000118630790246743,"Normal","LARP4B","AT2"
"60","SHANK2",1.32624778763237e-09,0.951085976600375,0.639,0.51,0.000121444509913496,"Normal","SHANK2","AT2"
"61","PARD3",1.59521118802139e-09,0.83982539632487,0.708,0.596,0.000146073488487118,"Normal","PARD3","AT2"
"62","DLG2",1.90546183603674e-09,1.03360688642169,0.561,0.408,0.000174483140325884,"Normal","DLG2","AT2"
"63","RBM6",2.14883107276807e-09,0.909937980297712,0.68,0.577,0.000196768461333372,"Normal","RBM6","AT2"
"64","GPC5",2.38363376811317e-09,1.6548873140439,0.361,0.207,0.000218269344146123,"Normal","GPC5","AT2"
"65","ERBB4",2.53373706389362e-09,0.972364395110978,0.602,0.461,0.000232014302940739,"Normal","ERBB4","AT2"
"66","ST7",2.56296905369507e-09,0.7929877421527,0.737,0.617,0.000234691076246857,"Normal","ST7","AT2"
"67","AGAP1",2.68108013281447e-09,1.10345749899916,0.577,0.44,0.000245506507761821,"Normal","AGAP1","AT2"
"68","POLR2J3",3.041287905575e-09,1.16739351625745,0.417,0.241,0.000278490733513503,"Normal","POLR2J3","AT2"
"69","SLC9C1",3.25430278616747e-09,1.44897526601359,0.241,0.091,0.000297996506129355,"Normal","SLC9C1","AT2"
"70","MAGI3",3.264843988729e-09,0.649018012054534,0.806,0.706,0.000298961764047914,"Normal","MAGI3","AT2"
"71","LRBA",3.51643623347664e-09,0.926985249600074,0.699,0.607,0.000322000065899456,"Normal","LRBA","AT2"
"72","FBXL20",3.84149271353104e-09,1.15195626361431,0.517,0.37,0.000351765487778038,"Normal","FBXL20","AT2"
"73","MRTFA",3.99347211837451e-09,1.12815571707898,0.379,0.205,0.000365682241879554,"Normal","MRTFA","AT2"
"74","SCN1A-AS1",5.00198067801123e-09,1.90089220277433,0.21,0.074,0.000458031370685489,"Normal","SCN1A-AS1","AT2"
"75","LRMDA",5.0317874766636e-09,0.830936975071782,0.643,0.507,0.000460760779238086,"Normal","LRMDA","AT2"
"76","MTCO2P12",5.73294007294699e-09,0.911032684538158,0.436,0.239,0.000524965322479756,"Normal","MTCO2P12","AT2"
"77","AOPEP",6.82376841060142e-09,1.04793345520421,0.382,0.201,0.000624852473358772,"Normal","AOPEP","AT2"
"78","MARCHF6",6.99820195317423e-09,1.11986692111255,0.345,0.169,0.000640825352852164,"Normal","MARCHF6","AT2"
"79","PEBP4",7.43239368450611e-09,0.211791273009124,0.793,0.808,0.000680584289690225,"Normal","PEBP4","AT2"
"80","GUSBP11",8.76223291746731e-09,1.7023279225803,0.144,0.034,0.000802357668252482,"Normal","GUSBP11","AT2"
"81","VTI1A",9.47173482295578e-09,1.30409189033878,0.467,0.321,0.000867326757738061,"Normal","VTI1A","AT2"
"82","WWOX",1.11702722494259e-08,1.33246940898105,0.423,0.268,0.00102286182987993,"Normal","WWOX","AT2"
"83","LOC102724788",2.25287016297492e-08,1.8674659841486,0.169,0.051,0.00206295320823613,"Normal","LOC102724788","AT2"
"84","TMEM87A",2.63635571668577e-08,0.319010065537909,0.837,0.822,0.00241411092976916,"Normal","TMEM87A","AT2"
"85","SMYD3",2.64534336834414e-08,0.875194400057782,0.624,0.518,0.00242234092239273,"Normal","SMYD3","AT2"
"86","LOC100133091",3.22786626554589e-08,1.31941088271799,0.295,0.146,0.00295575713936037,"Normal","LOC100133091","AT2"
"87","MACF1",3.46732802738392e-08,0.412412268252772,0.931,0.871,0.00317503227467545,"Normal","MACF1","AT2"
"89","MGC27382",4.01545214303124e-08,1.4178080201048,0.229,0.093,0.0036769495273737,"Normal","MGC27382","AT2"
"90","BMS1P1",4.15715316628052e-08,1.88499947130466,0.154,0.044,0.00380670515436307,"Normal","BMS1P1","AT2"
"91","ZNF385B",4.84655817669704e-08,0.633819808162335,0.853,0.808,0.00443799332240148,"Normal","ZNF385B","AT2"
"92","ARMC9",5.19610471442334e-08,0.731976891021701,0.683,0.552,0.00475807308699745,"Normal","ARMC9","AT2"
"93","CUX1",5.50290040267905e-08,0.652834761089621,0.831,0.765,0.00503900589873321,"Normal","CUX1","AT2"
"94","TNRC6B",5.53002424210631e-08,0.718605818055355,0.68,0.596,0.00506384319849675,"Normal","TNRC6B","AT2"
"96","PRKN",5.76818797137601e-08,1.28499307690813,0.279,0.133,0.00528192972538901,"Normal","PRKN","AT2"
"97","CYP2B7P",5.99074109561218e-08,0.677834265876781,0.439,0.245,0.00548572162125207,"Normal","CYP2B7P","AT2"
"98","PTK2",6.24809846702067e-08,0.778101605825674,0.696,0.605,0.00572138376625083,"Normal","PTK2","AT2"
"99","DPYD",6.291370845611e-08,0.717141226360376,0.793,0.702,0.00576100828332599,"Normal","DPYD","AT2"
"100","TACC2",8.69775852412654e-08,0.618008363984755,0.856,0.786,0.00796453748054267,"Normal","TACC2","AT2"
"101","DAPK1",1.05194639939948e-07,0.746578093279329,0.699,0.586,0.00963267317930104,"Normal","DAPK1","AT2"
"102","EDIL3",1.18233823842851e-07,0.933047813266786,0.351,0.197,0.0108266712492899,"Normal","EDIL3","AT2"
"103","POLR2J4",1.48025540781877e-07,1.30649067546498,0.304,0.159,0.0135546987693965,"Normal","POLR2J4","AT2"
"104","ADGRL2",1.5093905574031e-07,1.26852196644849,0.197,0.074,0.0138214893341402,"Normal","ADGRL2","AT2"
"105","GAB2",1.51759797462634e-07,0.935317881395847,0.574,0.463,0.0138966446536534,"Normal","GAB2","AT2"
"106","PRKCA",1.54821055026474e-07,1.02488701150059,0.53,0.397,0.0141769640087742,"Normal","PRKCA","AT2"
"107","TTC28",1.57264974884623e-07,0.9791738954889,0.549,0.416,0.014400753750185,"Normal","TTC28","AT2"
"108","SPPL3",1.59605580091882e-07,0.91482012755697,0.596,0.497,0.0146150829690136,"Normal","SPPL3","AT2"
"109","NPIPB4",1.86098926094908e-07,0.980131157140146,0.429,0.268,0.0170410786625107,"Normal","NPIPB4","AT2"
"110","FTX",1.88374844863867e-07,0.849050752516571,0.671,0.584,0.0172494845441843,"Normal","FTX","AT2"
"111","MTUS1",2.21192899969491e-07,0.40268479916919,0.862,0.841,0.0202546338502063,"Normal","MTUS1","AT2"
"112","ARHGAP32",2.21553061636076e-07,0.936561434955675,0.58,0.465,0.0202876138540155,"Normal","ARHGAP32","AT2"
"113","NFIA",2.58312111969723e-07,0.552986802451107,0.777,0.708,0.0236536400930676,"Normal","NFIA","AT2"
"114","ZFAND3",2.66082928227338e-07,0.667926470209078,0.755,0.681,0.0243652137377774,"Normal","ZFAND3","AT2"
"115","MBD5",2.74771106902946e-07,0.945801870023027,0.508,0.385,0.0251607902591028,"Normal","MBD5","AT2"
"116","TMEM163",3.28869847238578e-07,0.70387372756925,0.774,0.715,0.0301146119116366,"Normal","TMEM163","AT2"
"117","ZNF609",3.36356070812013e-07,0.868103816619457,0.643,0.545,0.030800125404256,"Normal","ZNF609","AT2"
"118","DAPK2",3.47480890877046e-07,0.908990823275456,0.517,0.385,0.0318188251776111,"Normal","DAPK2","AT2"
"119","TBC1D22A",3.8624118120424e-07,1.18704441518968,0.461,0.342,0.0353681049628722,"Normal","TBC1D22A","AT2"
"120","CECR2",3.86567640473582e-07,1.24744733781368,0.408,0.273,0.0353979988381659,"Normal","CECR2","AT2"
"121","FHIT",4.11179704538924e-07,1.07579657631305,0.517,0.402,0.0376517255446293,"Normal","FHIT","AT2"
"122","AMBRA1",4.19365506101516e-07,0.938243170116941,0.448,0.307,0.0384012993937158,"Normal","AMBRA1","AT2"
"123","FOXO3",4.97476472143886e-07,0.667879566867492,0.727,0.653,0.0455539205542156,"Normal","FOXO3","AT2"
"1115","NNMT",9.28911289438175e-35,1.85025669042128,0.696,0.273,8.50604067738537e-30,"COPD","NNMT","AT2"
"1116","ICAM1",1.34591267841838e-27,1.78233603528752,0.636,0.273,1.23245223962771e-22,"COPD","ICAM1","AT2"
"1118","SERPINA1",8.37564005149013e-23,0.843278339253787,0.873,0.715,7.66957359514951e-18,"COPD","SERPINA1","AT2"
"1119","FGG",3.35427051191689e-22,2.93205003975168,0.323,0.038,3.0715055077623e-17,"COPD","FGG","AT2"
"1120","SFN",3.81663567087578e-22,1.09581873667532,0.666,0.313,3.49489328382096e-17,"COPD","SFN","AT2"
"1122","GAPDH",1.01116534111273e-21,1.01920120448087,0.719,0.498,9.25924102856927e-17,"COPD","GAPDH","AT2"
"1124","MTRNR2L1",6.29210064468457e-21,2.26943075748271,0.381,0.085,5.76167656033766e-16,"COPD","MTRNR2L1","AT2"
"1125","B2M",3.05121872778177e-20,0.440275917191271,0.97,0.897,2.79400098902976e-15,"COPD","B2M","AT2"
"1126","TM4SF1",6.10037485546345e-20,1.13305520424059,0.725,0.467,5.58611325514788e-15,"COPD","TM4SF1","AT2"
"1128","AREG",5.78741663177025e-19,0.961507483538758,0.795,0.527,5.29953740971201e-14,"COPD","AREG","AT2"
"1134","PHLDA2",1.78662174759074e-17,1.31778644116296,0.535,0.226,1.63600953426884e-12,"COPD","PHLDA2","AT2"
"1135","STEAP4",2.44671908013695e-17,0.95375270306668,0.772,0.558,2.2404606616814e-12,"COPD","STEAP4","AT2"
"1136","HLA-A",2.8090808707711e-17,0.595732982406134,0.867,0.721,2.5722753533651e-12,"COPD","HLA-A","AT2"
"1137","S100A10",3.56616150670857e-17,0.607075569024143,0.871,0.762,3.26553409169304e-12,"COPD","S100A10","AT2"
"1138","SFTA1P",1.76213506063978e-16,0.947404757721174,0.679,0.364,1.61358707502784e-11,"COPD","SFTA1P","AT2"
"1139","KRT18",2.86932914495628e-16,0.70928381112174,0.841,0.658,2.62744469803647e-11,"COPD","KRT18","AT2"
"1141","CALM2",5.24658446888073e-16,0.925044500206337,0.681,0.445,4.80429739815409e-11,"COPD","CALM2","AT2"
"1143","AGR3",1.21829937825771e-15,0.685706647008142,0.829,0.655,1.11559674067059e-10,"COPD","AGR3","AT2"
"1144","IER3",1.58449281472952e-15,1.51459093444674,0.469,0.207,1.45092007044782e-10,"COPD","IER3","AT2"
"1145","KRT8",1.68300939122095e-15,0.596350567708622,0.831,0.734,1.54113169954102e-10,"COPD","KRT8","AT2"
"1146","MTRNR2L12",1.81256717145138e-15,0.95196440839205,0.658,0.442,1.65976775889803e-10,"COPD","MTRNR2L12","AT2"
"1147","CLDN7",2.23571570065098e-15,0.99718737832986,0.653,0.426,2.0472448670861e-10,"COPD","CLDN7","AT2"
"1148","TCIM",2.33634142595426e-15,0.644658670792693,0.827,0.649,2.13938784374632e-10,"COPD","TCIM","AT2"
"1149","ZC3H12A",3.40005061250443e-15,1.68031528895082,0.4,0.147,3.1134263458703e-10,"COPD","ZC3H12A","AT2"
"1150","SOCS3",4.3583396161773e-15,0.992143720973068,0.664,0.414,3.99093158653355e-10,"COPD","SOCS3","AT2"
"1151","MCL1",5.35172385422158e-15,1.0375315903804,0.619,0.398,4.90057353331071e-10,"COPD","MCL1","AT2"
"1152","REL",5.78806079499122e-15,0.769496714664807,0.744,0.498,5.30012726997346e-10,"COPD","REL","AT2"
"1153","FTH1",1.02048159789602e-14,0.793841826641391,0.81,0.611,9.34454999193385e-10,"COPD","FTH1","AT2"
"1154","EIF1AY",1.30437785719693e-14,1.19462810298287,0.397,0.135,1.19441880383523e-09,"COPD","EIF1AY","AT2"
"1158","DDX3Y",1.28114633175545e-13,0.976816099670915,0.461,0.197,1.17314569598846e-08,"COPD","DDX3Y","AT2"
"1159","DUSP6",1.43642691403268e-13,0.842056499534448,0.719,0.498,1.31533612517973e-08,"COPD","DUSP6","AT2"
"1160","PKM",3.11149120446862e-13,0.698404235264228,0.82,0.608,2.84919249593192e-08,"COPD","PKM","AT2"
"1161","UQCR10",6.38814489624946e-13,0.644180868385509,0.816,0.636,5.84962428149563e-08,"COPD","UQCR10","AT2"
"1162","HLA-B",6.67495207556426e-13,0.581019480302917,0.918,0.718,6.11225361559419e-08,"COPD","HLA-B","AT2"
"1163","TNIP3",8.04192690983291e-13,1.98683340062689,0.247,0.053,7.363992471334e-08,"COPD","TNIP3","AT2"
"1164","YBX3",9.39111990573607e-13,0.558856468022447,0.829,0.708,8.59944849768252e-08,"COPD","YBX3","AT2"
"1165","ENO1",1.08974234011269e-12,0.438858421408654,0.888,0.777,9.97877060841194e-08,"COPD","ENO1","AT2"
"1166","EEF1A1",3.83371717747545e-12,0.56077581492424,0.941,0.787,3.51053481941427e-07,"COPD","EEF1A1","AT2"
"1167","RALGDS",7.4177355416349e-12,0.990217106098688,0.465,0.226,6.79242043547508e-07,"COPD","RALGDS","AT2"
"1169","TPT1",1.20406441548838e-11,0.456911127369873,0.947,0.821,1.10256178526271e-06,"COPD","TPT1","AT2"
"1170","HBB",1.26297816699165e-11,2.78248491755235,0.184,0.025,1.15650910751426e-06,"COPD","HBB","AT2"
"1171","C11orf96",1.37897843859065e-11,0.921666722815655,0.598,0.389,1.26273055621746e-06,"COPD","C11orf96","AT2"
"1173","TIMP1",1.85508943781347e-11,1.32364996944481,0.355,0.138,1.69870539820579e-06,"COPD","TIMP1","AT2"
"1175","BCAT1",2.20200335066243e-11,0.77302196148706,0.545,0.298,2.01637446820159e-06,"COPD","BCAT1","AT2"
"1176","CTSD",2.20494579065902e-11,0.823164449871417,0.647,0.433,2.01906886050647e-06,"COPD","CTSD","AT2"
"1177","WARS",2.36557483004891e-11,1.34676631116164,0.342,0.132,2.16615687187578e-06,"COPD","WARS","AT2"
"1178","GPX4",3.03987274436868e-11,0.579139006151035,0.835,0.655,2.7836114720184e-06,"COPD","GPX4","AT2"
"1179","TSTA3",4.44367254722591e-11,1.12146288766382,0.438,0.207,4.06907095149477e-06,"COPD","TSTA3","AT2"
"1180","EIF4G2",4.4699557560898e-11,0.510555804194942,0.818,0.668,4.09313848585143e-06,"COPD","EIF4G2","AT2"
"1181","TUBA1C",4.60179474304141e-11,0.83874508947347,0.624,0.42,4.21386344620302e-06,"COPD","TUBA1C","AT2"
"1182","AQP3",4.82994359003308e-11,0.59105048291609,0.808,0.661,4.42277934539329e-06,"COPD","AQP3","AT2"
"1183","GAS6",5.80651325542052e-11,1.03721932513911,0.281,0.082,5.31702418798857e-06,"COPD","GAS6","AT2"
"1184","AAED1",5.83071477916328e-11,1.23827410965505,0.309,0.107,5.33918552327981e-06,"COPD","AAED1","AT2"
"1185","ODC1",6.1216519740964e-11,0.877595995212274,0.647,0.483,5.60559671268007e-06,"COPD","ODC1","AT2"
"1186","LHX9",6.13935900892935e-11,1.85688996461588,0.146,0.009,5.62181104447661e-06,"COPD","LHX9","AT2"
"1187","CRYM",6.45272066952583e-11,1.31300971132745,0.296,0.1,5.9087563170848e-06,"COPD","CRYM","AT2"
"1188","HSP90AB1",7.34363875877009e-11,0.441737362319884,0.871,0.743,6.72457001140577e-06,"COPD","HSP90AB1","AT2"
"1189","ZNF281",8.05039948777265e-11,0.963373530478107,0.516,0.301,7.37175081095342e-06,"COPD","ZNF281","AT2"
"1190","FAM96B",8.17460591220617e-11,1.0079202315617,0.577,0.37,7.48548663380719e-06,"COPD","FAM96B","AT2"
"1191","RRAD",8.35368816988436e-11,1.0145486478291,0.529,0.307,7.64947225716311e-06,"COPD","RRAD","AT2"
"1192","BCL3",8.92177833063934e-11,0.953925423355716,0.488,0.26,8.16967241736645e-06,"COPD","BCL3","AT2"
"1193","ALKAL2",8.99078235036499e-11,1.3075972127336,0.271,0.082,8.23285939822922e-06,"COPD","ALKAL2","AT2"
"1194","HSD17B11",1.17006248254276e-10,0.948984381597126,0.552,0.32,1.07142621526441e-05,"COPD","HSD17B11","AT2"
