"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","MTND1P23",3.84195632322988e-19,1.84625359362128,0.971,0.315,3.5180794051816e-14,"Normal","MTND1P23","Basal"
"2","COX1",6.82902263760014e-19,1.60648275974281,1,0.371,6.25333602925045e-14,"Normal","COX1","Basal"
"3","MTCO1P12",1.02391891585158e-18,1.6217691284248,1,0.371,9.37602551245291e-14,"Normal","MTCO1P12","Basal"
"4","MTATP8P1",1.15945866950559e-18,1.67496025840716,1,0.348,1.06171630366627e-13,"Normal","MTATP8P1","Basal"
"5","ND2",7.47836731192825e-18,1.60612457507759,1,0.36,6.8479409475327e-13,"Normal","ND2","Basal"
"6","ND4L",8.25841985003812e-18,1.54017774310049,1,0.371,7.56223505667991e-13,"Normal","ND4L","Basal"
"8","ND1",1.10814050271941e-17,1.56577819720322,1,0.36,1.01472425834017e-12,"Normal","ND1","Basal"
"9","SEPTIN9",1.26728782182866e-17,1.93616704746498,0.912,0.303,1.1604554584485e-12,"Normal","SEPTIN9","Basal"
"10","ND6",3.7662497408531e-17,1.82437689284093,0.931,0.292,3.44875488769918e-12,"Normal","ND6","Basal"
"11","MTATP6P1",5.11879008740476e-17,1.55856124757098,0.99,0.371,4.68727608303654e-12,"Normal","MTATP6P1","Basal"
"12","COX2",7.89244506368038e-17,1.50324067887951,1,0.371,7.22711194481213e-12,"Normal","COX2","Basal"
"13","CYTB",1.02813737515192e-16,1.52500425438445,1,0.36,9.41465394426615e-12,"Normal","CYTB","Basal"
"15","PARD3",3.58052217708482e-16,1.53857022967014,0.931,0.528,3.27868415755657e-11,"Normal","PARD3","Basal"
"16","MIR205HG",4.58424556122947e-15,1.79549502355669,0.863,0.236,4.19779366041782e-10,"Normal","MIR205HG","Basal"
"17","ND5",7.08626143132179e-15,1.50015593125994,0.922,0.326,6.48888959266136e-10,"Normal","ND5","Basal"
"19","PDE4D",1.62386285873779e-13,1.37767828978978,0.912,0.551,1.48697121974619e-08,"Normal","PDE4D","Basal"
"20","ND3",1.76667233558246e-13,1.30831962447317,1,0.36,1.61774185769286e-08,"Normal","ND3","Basal"
"21","AOPEP",4.60947399310273e-13,1.78039404254515,0.794,0.27,4.22089533548417e-08,"Normal","AOPEP","Basal"
"22","VMP1",4.65704461331079e-13,1.04463530372163,0.951,0.742,4.26445575240869e-08,"Normal","VMP1","Basal"
"24","ZFAND3",1.32817126453663e-12,1.48374803628582,0.873,0.449,1.21620642693619e-07,"Normal","ZFAND3","Basal"
"25","MACF1",1.69532892445724e-12,1.16182804265032,0.922,0.753,1.5524126961255e-07,"Normal","MACF1","Basal"
"26","NEDD4L",2.53715744615866e-12,1.01007974963611,0.98,0.787,2.32327507344749e-07,"Normal","NEDD4L","Basal"
"27","CYP4Z2P",2.62172440966678e-12,1.90915993638306,0.745,0.213,2.40071304193187e-07,"Normal","CYP4Z2P","Basal"
"28","NF1",3.52122250158502e-12,1.61156919985425,0.814,0.517,3.22438344470141e-07,"Normal","NF1","Basal"
"29","POLR2J3",3.83315708095105e-12,1.80150195302673,0.765,0.303,3.51002193902688e-07,"Normal","POLR2J3","Basal"
"30","H3-3B",3.87219752667928e-12,1.39974847727601,0.902,0.337,3.54577127518022e-07,"Normal","H3-3B","Basal"
"32","UBE2Q2P2",6.61696460117526e-12,2.27430431347205,0.667,0.18,6.05915448529619e-07,"Normal","UBE2Q2P2","Basal"
"33","ADAMTSL4-AS1",1.23112771952789e-11,2.0092173271634,0.696,0.191,1.12734365277169e-06,"Normal","ADAMTSL4-AS1","Basal"
"34","KIAA1217",1.49944295709013e-11,0.888122847625896,0.961,0.753,1.37303991580743e-06,"Normal","KIAA1217","Basal"
"35","CYRIB",2.08224496945939e-11,1.6793225158979,0.765,0.247,1.90671171853397e-06,"Normal","CYRIB","Basal"
"36","WWOX",3.71832627888585e-11,1.40289204016067,0.843,0.416,3.40487137357577e-06,"Normal","WWOX","Basal"
