"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","AGBL4",5.18977237280356e-74,1.11550245146186,0.956,0.588,4.75227456177622e-69,"Normal","AGBL4","Ciliated"
"2","ULK4",5.50614159023217e-74,1.1100773843702,0.94,0.622,5.0419738541756e-69,"Normal","ULK4","Ciliated"
"3","COX1",1.65448569024462e-73,1.2325355505885,0.924,0.43,1.515012546557e-68,"Normal","COX1","Ciliated"
"4","LOC729732",3.12978113006259e-73,1.32507814635917,0.87,0.396,2.86594058079831e-68,"Normal","LOC729732","Ciliated"
"5","MAPK10",6.64949872296485e-71,0.935464571304785,0.967,0.729,6.08894598061891e-66,"Normal","MAPK10","Ciliated"
"6","CFAP299",6.96126847065063e-71,1.00358146284662,0.973,0.635,6.37443353857478e-66,"Normal","CFAP299","Ciliated"
"7","ND4L",7.34941931558158e-70,1.21300262881613,0.919,0.429,6.72986326727805e-65,"Normal","ND4L","Ciliated"
"8","CFAP54",1.07983582850127e-69,0.963871053605052,0.951,0.697,9.88805668158613e-65,"Normal","CFAP54","Ciliated"
"9","ND2",1.43658279488078e-69,1.21548713609845,0.922,0.426,1.31547886527233e-64,"Normal","ND2","Ciliated"
"10","COX2",3.7598756324941e-68,1.20135994761803,0.924,0.429,3.44291811667485e-63,"Normal","COX2","Ciliated"
"13","DNAH12",6.50363801213094e-67,0.695812587106117,0.992,0.864,5.9553813277083e-62,"Normal","DNAH12","Ciliated"
"14","RFX3",1.03307844287467e-66,0.784332503232156,0.979,0.807,9.45989930140336e-62,"Normal","RFX3","Ciliated"
"15","AQP4-AS1",2.44294400348021e-66,1.17948650403277,0.905,0.502,2.23700382398683e-61,"Normal","AQP4-AS1","Ciliated"
"16","CYTB",1.74963131387337e-64,1.18136411325048,0.918,0.425,1.60213739411385e-59,"Normal","CYTB","Ciliated"
"17","MTATP8P1",1.95923547884322e-64,1.18505367783541,0.91,0.42,1.79407192797673e-59,"Normal","MTATP8P1","Ciliated"
"18","ND3",6.98964892091572e-64,1.17310443950605,0.918,0.426,6.40042151688252e-59,"Normal","ND3","Ciliated"
"19","TMEM232",2.92273398629278e-62,0.833264025525061,0.957,0.771,2.6763475112483e-57,"Normal","TMEM232","Ciliated"
"20","CFAP47",4.34589052725244e-62,1.03838803583078,0.916,0.639,3.97953195580506e-57,"Normal","CFAP47","Ciliated"
"21","MTCO1P12",5.47051901345772e-62,1.14917626170324,0.916,0.429,5.00935426062323e-57,"Normal","MTCO1P12","Ciliated"
"22","ND1",6.16829704733492e-62,1.1514016365729,0.919,0.428,5.64830960624458e-57,"Normal","ND1","Ciliated"
"23","ND5",1.54863872783779e-61,1.19349071459213,0.884,0.421,1.41808848308106e-56,"Normal","ND5","Ciliated"
"24","ANK3",2.00265351828643e-61,0.900007667095311,0.952,0.707,1.83382982669488e-56,"Normal","ANK3","Ciliated"
"25","DCDC1",7.87158237647841e-61,0.946640336570111,0.929,0.688,7.20800798214128e-56,"Normal","DCDC1","Ciliated"
"26","LRBA",8.76979124448568e-61,0.941676964179303,0.905,0.67,8.03049784257554e-56,"Normal","LRBA","Ciliated"
"27","RNLS",1.0979930156106e-60,1.20180871201404,0.865,0.399,1.00543220439462e-55,"Normal","RNLS","Ciliated"
"28","ZBTB20",3.73022757894527e-60,0.997456437770894,0.918,0.613,3.41576939404019e-55,"Normal","ZBTB20","Ciliated"
"29","SDK1",2.21420069440082e-59,1.12437485462097,0.873,0.521,2.02754357586283e-54,"Normal","SDK1","Ciliated"
"30","WWOX",3.01470063743126e-59,1.11528581566898,0.883,0.525,2.76056137369581e-54,"Normal","WWOX","Ciliated"
"31","BCAS3",4.73117525229487e-59,0.9295082357411,0.941,0.689,4.33233717852641e-54,"Normal","BCAS3","Ciliated"
"32","LMNTD1",1.21083529887998e-58,1.17016450569392,0.865,0.476,1.1087618831844e-53,"Normal","LMNTD1","Ciliated"
"33","EXOC4",2.60837300868792e-58,1.04574888502337,0.881,0.608,2.38848716405553e-53,"Normal","EXOC4","Ciliated"
"34","RP1",6.74974011427039e-58,0.76342792724762,0.971,0.781,6.1807370226374e-53,"Normal","RP1","Ciliated"
"35","PDE4D",1.08469474635147e-57,1.04744495248852,0.892,0.584,9.9325497923404e-53,"Normal","PDE4D","Ciliated"
"36","HYDIN",5.23412718225461e-57,0.676971282379299,0.973,0.817,4.79289026079054e-52,"Normal","HYDIN","Ciliated"
"37","PTPRT",8.22448119421756e-56,1.0771431123757,0.864,0.588,7.53115742954502e-51,"Normal","PTPRT","Ciliated"
"38","ND6",9.36171876888017e-56,1.16055953679323,0.846,0.402,8.57252587666357e-51,"Normal","ND6","Ciliated"
"39","FGF14",9.90595371822977e-56,0.902076523674463,0.918,0.714,9.070881819783e-51,"Normal","FGF14","Ciliated"
"40","ANKFN1",1.24215572644635e-55,1.05349667474723,0.883,0.58,1.13744199870693e-50,"Normal","ANKFN1","Ciliated"
"41","MTATP6P1",1.6776519976831e-55,1.12933097241894,0.872,0.415,1.53622593427841e-50,"Normal","MTATP6P1","Ciliated"
"42","RAD51B",2.49965773344365e-55,1.15285137833435,0.827,0.449,2.28893658651435e-50,"Normal","RAD51B","Ciliated"
"43","DNAH7",2.03205756504449e-54,0.729157017298342,0.949,0.791,1.86075511231124e-49,"Normal","DNAH7","Ciliated"
"44","AOPEP",6.36071966179796e-54,1.20915624741248,0.789,0.38,5.82451099430839e-49,"Normal","AOPEP","Ciliated"
"45","DNAH11",1.28568345357052e-53,0.742375100874675,0.956,0.768,1.17730033843452e-48,"Normal","DNAH11","Ciliated"
"46","BTBD9",1.32872726045476e-53,1.0593931411837,0.868,0.552,1.21671555239842e-48,"Normal","BTBD9","Ciliated"
"47","CFAP251",5.18528457936608e-53,1.28758577074021,0.764,0.356,4.74816508932552e-48,"Normal","CFAP251","Ciliated"
"48","MAML2",5.49417031990698e-53,0.997651616144027,0.884,0.612,5.03101176193882e-48,"Normal","MAML2","Ciliated"
"49","KIAA0825",1.19217573148784e-52,1.07986944108548,0.875,0.535,1.09167531732341e-47,"Normal","KIAA0825","Ciliated"
"50","PARD3",1.49010476265339e-52,0.982874700130812,0.878,0.588,1.36448893116171e-47,"Normal","PARD3","Ciliated"
"51","MTND1P23",2.74260875761e-52,1.10301237077432,0.872,0.412,2.51140683934348e-47,"Normal","MTND1P23","Ciliated"
"53","SHANK2",2.05027487005524e-51,0.921156968159328,0.889,0.643,1.87743669850958e-46,"Normal","SHANK2","Ciliated"
"54","DNAH9",2.3040718577622e-51,0.661144336522124,0.975,0.831,2.10983860015284e-46,"Normal","DNAH9","Ciliated"
"55","ESRRG",3.80928838387531e-51,1.13992806745149,0.823,0.494,3.48816537311462e-46,"Normal","ESRRG","Ciliated"
"56","MAGI1",9.62566624973274e-51,0.930807441818379,0.902,0.617,8.81422258488027e-46,"Normal","MAGI1","Ciliated"
"57","NEK10",5.05407439147159e-50,0.782701143533747,0.933,0.743,4.62801592027054e-45,"Normal","NEK10","Ciliated"
"58","DNAH3",3.54397741639117e-49,0.8423658735064,0.918,0.694,3.24522012018939e-44,"Normal","DNAH3","Ciliated"
"59","FOXP1",1.08271408976492e-48,0.722209204365823,0.922,0.766,9.91441291997739e-44,"Normal","FOXP1","Ciliated"
"60","CFAP94",2.43670398749974e-48,1.28410136967275,0.716,0.328,2.23128984135351e-43,"Normal","CFAP94","Ciliated"
"61","EFCAB6",3.89866479660057e-48,1.03795786456702,0.849,0.554,3.57000735424714e-43,"Normal","EFCAB6","Ciliated"
"62","GNA14",6.23350638561431e-48,1.04741600289775,0.827,0.576,5.70802179730703e-43,"Normal","GNA14","Ciliated"
"63","WDR49",1.26886765844895e-47,0.866996301780255,0.886,0.688,1.16190211484171e-42,"Normal","WDR49","Ciliated"
"64","DNAI4",3.35129613619836e-47,1.22092435624236,0.731,0.339,3.06878187191684e-42,"Normal","DNAI4","Ciliated"
"65","DYNC2I1",5.51875205798774e-47,1.19321204542534,0.756,0.371,5.05352125949937e-42,"Normal","DYNC2I1","Ciliated"
"66","DMD",8.72999011592653e-47,0.904720996447131,0.886,0.636,7.99405194915392e-42,"Normal","DMD","Ciliated"
"67","CCDC30",1.92466173441722e-46,0.776124481593429,0.903,0.745,1.76241275020585e-41,"Normal","CCDC30","Ciliated"
"68","SERPINI2",2.34539433956162e-46,1.12076734653778,0.797,0.467,2.14767759673657e-41,"Normal","SERPINI2","Ciliated"
"69","KCNMB2",8.36636417334098e-46,1.19473774135853,0.743,0.415,7.66107967352833e-41,"Normal","KCNMB2","Ciliated"
"70","LDLRAD4",9.9822683053795e-46,1.03962367525182,0.823,0.544,9.140763087236e-41,"Normal","LDLRAD4","Ciliated"
"71","FOXP2",1.67549729142291e-45,1.01479316288407,0.826,0.557,1.53425286975596e-40,"Normal","FOXP2","Ciliated"
"72","CLEC19A",2.39860323249362e-45,1.32270015950504,0.685,0.334,2.19640097999441e-40,"Normal","CLEC19A","Ciliated"
"73","NFIA",7.82833935528519e-45,0.737068816111121,0.9,0.73,7.16841034763465e-40,"Normal","NFIA","Ciliated"
"74","C8orf34",1.26576991207181e-44,0.93521299622653,0.867,0.617,1.15906550848415e-39,"Normal","C8orf34","Ciliated"
"75","SCHLAP1",2.11398425796722e-44,1.08662777093398,0.74,0.37,1.93577538502059e-39,"Normal","SCHLAP1","Ciliated"
"76","ECT2L",4.32044240918101e-44,0.850526745389422,0.868,0.672,3.95622911408705e-39,"Normal","ECT2L","Ciliated"
"77","VWA3A",4.85473822642847e-44,0.926425621375301,0.856,0.621,4.44548379394055e-39,"Normal","VWA3A","Ciliated"
"78","LNC-LBCS",5.73180634196827e-44,1.09123689286945,0.788,0.392,5.24861506734035e-39,"Normal","LNC-LBCS","Ciliated"
"79","H3-3B",8.56946817107536e-44,1.08602941198353,0.742,0.367,7.8470620042537e-39,"Normal","H3-3B","Ciliated"
"80","IGF1R",1.11698372830015e-43,0.84573629348041,0.878,0.648,1.02282200000445e-38,"Normal","IGF1R","Ciliated"
"81","PTRH1",1.50717426700854e-43,0.951953331809482,0.826,0.608,1.38011947629972e-38,"Normal","PTRH1","Ciliated"
"82","GRHL2",2.20663586053195e-43,1.13184712072652,0.764,0.485,2.02061645748911e-38,"Normal","GRHL2","Ciliated"
"83","ATXN1",3.32884914366072e-43,1.04260972365354,0.797,0.535,3.04822716085012e-38,"Normal","ATXN1","Ciliated"
"85","GLIS3",1.35395434346252e-42,0.86456838292992,0.861,0.65,1.23981599230863e-37,"Normal","GLIS3","Ciliated"
"86","FBXL13",5.14168317830819e-42,1.12813811092013,0.767,0.479,4.70823928637681e-37,"Normal","FBXL13","Ciliated"
"87","TBC1D8",6.12409672869493e-42,1.03361295810418,0.797,0.517,5.60783537446595e-37,"Normal","TBC1D8","Ciliated"
"88","SIK3",7.12843178038421e-42,0.991069639167172,0.816,0.56,6.52750498129782e-37,"Normal","SIK3","Ciliated"
"89","DNAAF4-CCPG1",9.53079515131008e-42,1.24721827115413,0.658,0.309,8.72734912005464e-37,"Normal","DNAAF4-CCPG1","Ciliated"
"90","LOC101928626",1.152430715569e-41,1.0041060355467,0.834,0.402,1.05528080624653e-36,"Normal","LOC101928626","Ciliated"
"92","DNAH6",1.56746207090891e-41,0.693574948525015,0.918,0.776,1.43532501833129e-36,"Normal","DNAH6","Ciliated"
"93","EIF4G3",1.09786872312802e-40,0.909448754047175,0.84,0.613,1.00531838976832e-35,"Normal","EIF4G3","Ciliated"
"94","TTLL5",1.66877033551562e-40,0.873950456809919,0.845,0.609,1.52809299623166e-35,"Normal","TTLL5","Ciliated"
"95","SPAG16",1.70805308977541e-40,0.481849810465165,0.965,0.877,1.56406421430734e-35,"Normal","SPAG16","Ciliated"
"96","PACRG",2.77625256800183e-40,0.556503273753652,0.949,0.835,2.54221447651928e-35,"Normal","PACRG","Ciliated"
"97","CIBAR2",4.0561503136498e-40,1.27185957688893,0.632,0.302,3.71421684220912e-35,"Normal","CIBAR2","Ciliated"
"98","SPATA13",5.0605046567801e-40,0.884048183436281,0.832,0.594,4.63390411421354e-35,"Normal","SPATA13","Ciliated"
"99","DOCK4",7.55047929504477e-40,1.09755432533103,0.765,0.499,6.9139738904725e-35,"Normal","DOCK4","Ciliated"
"100","TBC1D5",8.40694512545808e-40,1.08724617787838,0.731,0.444,7.69823965138196e-35,"Normal","TBC1D5","Ciliated"
"101","WDPCP",1.92298984221113e-39,0.961091898860431,0.805,0.54,1.76088179851274e-34,"Normal","WDPCP","Ciliated"
"102","PLCH1",4.54356533346479e-39,0.937916344432259,0.823,0.583,4.16054277585371e-34,"Normal","PLCH1","Ciliated"
"103","ARMC2",7.24324955048745e-39,0.854434253393451,0.83,0.636,6.63264361338135e-34,"Normal","ARMC2","Ciliated"
"104","NAALADL2",8.73155279042468e-39,1.06355235278994,0.762,0.467,7.99548289019188e-34,"Normal","NAALADL2","Ciliated"
"105","AGAP1",9.89647956568058e-39,0.948190704818413,0.808,0.513,9.06220633829371e-34,"Normal","AGAP1","Ciliated"
"106","CRACDL",1.53981708860204e-38,1.22661234855237,0.642,0.297,1.41001050803288e-33,"Normal","CRACDL","Ciliated"
"107","NAV2",5.70173241930994e-38,0.86137761227458,0.838,0.612,5.22107637636211e-33,"Normal","NAV2","Ciliated"
"108","IL6ST",7.83610789484363e-38,0.807609938880318,0.849,0.64,7.17552399930831e-33,"Normal","IL6ST","Ciliated"
"109","FHIT",1.19377302423588e-37,1.1754937536725,0.685,0.403,1.0931379582928e-32,"Normal","FHIT","Ciliated"
"110","KATNIP",1.39212298862209e-37,1.12179159140961,0.683,0.344,1.27476702068125e-32,"Normal","KATNIP","Ciliated"
"111","AADACL2",2.40113839336349e-37,1.32971343507074,0.597,0.266,2.19872242680295e-32,"Normal","AADACL2","Ciliated"
