"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","TMEM52B",5.43252119774064e-52,0.827092615046616,0.474,0.287,4.9745596607711e-47,"Normal","TMEM52B","DC"
"2","MS4A6E",2.43861808883476e-51,0.558277159746483,0.68,0.493,2.23304258394599e-46,"Normal","MS4A6E","DC"
"3","MTATP6P1",1.69938993306189e-40,0.325587085330254,0.922,0.776,1.55613136170477e-35,"Normal","MTATP6P1","DC"
"4","MTND1P23",3.71918227201489e-40,0.336169287808341,0.903,0.763,3.40565520648404e-35,"Normal","MTND1P23","DC"
"5","PLXDC2",2.15507841205047e-34,0.270155052962154,0.91,0.84,1.97340530191462e-29,"Normal","PLXDC2","DC"
"6","SNHG5",2.44089840463733e-33,0.432011487198467,0.668,0.513,2.2351306691264e-28,"Normal","SNHG5","DC"
"7","TAOK3",2.65519651719008e-32,0.344426415038126,0.796,0.719,2.43136345079096e-27,"Normal","TAOK3","DC"
"8","ADAMTS2",3.12986356064073e-32,1.11273133370649,0.167,0.067,2.86601606247871e-27,"Normal","ADAMTS2","DC"
"9","PPARG",1.50178041083036e-31,0.730080278047258,0.42,0.29,1.37518032219736e-26,"Normal","PPARG","DC"
"10","LOC729732",3.83026887238883e-31,0.868004129077688,0.285,0.16,3.50737720644646e-26,"Normal","LOC729732","DC"
"11","COX1",1.68967342916272e-30,0.243336028513808,0.953,0.819,1.5472339590843e-25,"Normal","COX1","DC"
"12","SCHLAP1",1.69752488083928e-29,0.275863314869326,0.917,0.777,1.55442353338453e-24,"Normal","SCHLAP1","DC"
"13","SLC11A1",1.75425698292273e-29,0.41091891217443,0.676,0.556,1.60637311926234e-24,"Normal","SLC11A1","DC"
"14","QKI",1.2121022128871e-28,0.274016038948377,0.856,0.8,1.10992199634071e-23,"Normal","QKI","DC"
"15","SBF2",6.29232728933048e-28,0.300855395464315,0.813,0.702,5.76188409883992e-23,"Normal","SBF2","DC"
"16","ND6",1.94351465242701e-27,0.291333757512873,0.858,0.715,1.77967636722741e-22,"Normal","ND6","DC"
"17","MTATP8P1",8.64595423200168e-27,0.241190189178392,0.944,0.807,7.91710029024394e-22,"Normal","MTATP8P1","DC"
"18","LRMDA",1.05214943320981e-26,0.339765795856068,0.783,0.674,9.63453235990227e-22,"Normal","LRMDA","DC"
"19","ATG7",2.40144467177215e-26,0.423832680978928,0.636,0.519,2.19900288594176e-21,"Normal","ATG7","DC"
"20","RNASEK",2.85799217685366e-26,0.29295942562807,0.791,0.694,2.6170634363449e-21,"Normal","RNASEK","DC"
"21","DOCK4",8.18654901444565e-25,0.282433974470909,0.839,0.734,7.49642293252788e-20,"Normal","DOCK4","DC"
"22","MTCO1P12",1.00752834496406e-24,0.234967976781566,0.951,0.817,9.22593705483588e-20,"Normal","MTCO1P12","DC"
"23","FOXO3",6.71649155093646e-24,0.287579399854298,0.813,0.725,6.15029131319251e-19,"Normal","FOXO3","DC"
"24","FNDC3B",9.25993177711046e-24,0.278568927081781,0.813,0.729,8.47931952830004e-19,"Normal","FNDC3B","DC"
"25","ND5",3.00205442604502e-23,0.239956991175466,0.899,0.768,2.74898123792942e-18,"Normal","ND5","DC"
"26","PLAUR",3.05483785566419e-23,0.275614159830408,0.809,0.73,2.7973150244317e-18,"Normal","PLAUR","DC"
