"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","COX1",2.28836469338009e-82,1.62775453957541,0.548,0.177,2.09545554972815e-77,"Normal","COX1","Endothelial"
"2","ND2",9.70870178162156e-81,1.59756402577258,0.549,0.18,8.89025822143086e-76,"Normal","ND2","Endothelial"
"3","ND1",2.37178430759932e-80,1.63905909462538,0.533,0.167,2.17184289046869e-75,"Normal","ND1","Endothelial"
"4","COX2",2.5433085687328e-80,1.58778319162778,0.547,0.178,2.32890765638862e-75,"Normal","COX2","Endothelial"
"5","ND4L",1.53052640901739e-79,1.59265300359485,0.545,0.178,1.40150303273723e-74,"Normal","ND4L","Endothelial"
"6","MTCO1P12",9.12724080172916e-79,1.63953144754117,0.526,0.169,8.35781440214339e-74,"Normal","MTCO1P12","Endothelial"
"9","CYTB",2.04688600788657e-73,1.52964591157953,0.531,0.176,1.87433351742173e-68,"Normal","CYTB","Endothelial"
"10","MTATP8P1",2.04239819112147e-66,1.53024463177129,0.494,0.166,1.87022402360993e-61,"Normal","MTATP8P1","Endothelial"
"11","CCSER1",2.67840640910062e-63,1.58196884583124,0.476,0.165,2.45261674881343e-58,"Normal","CCSER1","Endothelial"
"12","MTND1P23",5.45161495582456e-61,1.63177084326068,0.435,0.141,4.99204381504855e-56,"Normal","MTND1P23","Endothelial"
"13","ND3",2.07203011175676e-58,1.32149386783397,0.494,0.176,1.89735797333566e-53,"Normal","ND3","Endothelial"
"14","STEAP1B",8.24248314171524e-58,1.58121597744338,0.426,0.14,7.54764181286865e-53,"Normal","STEAP1B","Endothelial"
"15","ND5",1.17215823447816e-57,1.5478227569901,0.431,0.143,1.07334529531165e-52,"Normal","ND5","Endothelial"
"16","MIR1244-2",2.21496308378456e-56,1.68303978462331,0.394,0.124,2.02824169582152e-51,"Normal","MIR1244-2","Endothelial"
"19","SCHLAP1",3.96910032889241e-54,1.52593304372404,0.409,0.129,3.63450517116678e-49,"Normal","SCHLAP1","Endothelial"
"26","MRTFB",3.45311354239334e-50,1.6663426570545,0.347,0.104,3.16201607076958e-45,"Normal","MRTFB","Endothelial"
"28","H3-3B",4.54753444575129e-48,1.33946662862602,0.418,0.148,4.16417729197445e-43,"Normal","H3-3B","Endothelial"
"30","MTATP6P1",1.41792513308371e-46,1.4269309024415,0.386,0.135,1.29839404436476e-41,"Normal","MTATP6P1","Endothelial"
"31","ND6",7.84964874134163e-45,1.50169274259128,0.345,0.111,7.18792335244653e-40,"Normal","ND6","Endothelial"
"32","BCL2L14",2.50378601734211e-44,1.57772446984432,0.332,0.106,2.29271685608017e-39,"Normal","BCL2L14","Endothelial"
"35","DTWD2",1.45359187884697e-42,1.59360171897711,0.361,0.138,1.33105408346018e-37,"Normal","DTWD2","Endothelial"
"36","GARRE1",2.09502462872042e-42,1.70665879019293,0.277,0.075,1.91841405251929e-37,"Normal","GARRE1","Endothelial"
"38","SYN3",2.39131931594512e-41,1.69253515107118,0.292,0.086,2.18973109761095e-36,"Normal","SYN3","Endothelial"
"39","POLR2J4",2.41522837372676e-41,1.97895838472298,0.244,0.059,2.21162462182159e-36,"Normal","POLR2J4","Endothelial"
"40","ST6GALNAC3",2.18229375424825e-40,1.21508699378967,0.498,0.263,1.99832639076512e-35,"Normal","ST6GALNAC3","Endothelial"
"41","NME1-NME2",5.02255671198695e-40,1.73004683290386,0.274,0.08,4.59915518116645e-35,"Normal","NME1-NME2","Endothelial"
"42","LOC102724050",7.26889685942887e-40,1.56297680044134,0.298,0.092,6.65612885417901e-35,"Normal","LOC102724050","Endothelial"
"43","SNHG31",9.13839056253904e-40,1.5934660957272,0.308,0.101,8.368024238117e-35,"Normal","SNHG31","Endothelial"
"44","RBFOX2",2.35902350569867e-38,1.04916442455255,0.562,0.345,2.16015782416827e-33,"Normal","RBFOX2","Endothelial"
"45","PALM2AKAP2",2.57485488403136e-38,1.31932673573895,0.346,0.123,2.35779461730752e-33,"Normal","PALM2AKAP2","Endothelial"
"46","LOC101928626",3.14391721456155e-38,1.22777753482563,0.352,0.127,2.87888499337401e-33,"Normal","LOC101928626","Endothelial"
"48","ARMC9",9.70704254598658e-38,1.1879893961782,0.396,0.158,8.88873885935991e-33,"Normal","ARMC9","Endothelial"
"50","LRMDA",1.3149816998048e-37,1.22817207832464,0.483,0.263,1.20412874251126e-32,"Normal","LRMDA","Endothelial"
