"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","COX1",1.75700903321907e-17,1.19741179510541,0.869,0.395,1.60889317171871e-12,"Normal","COX1","Epithelial"
"3","CYTB",6.91099507020379e-17,1.16150474573497,0.876,0.391,6.32839818578561e-12,"Normal","CYTB","Epithelial"
"4","MTCO1P12",1.02256183186262e-16,1.16936794824462,0.861,0.391,9.36359869436599e-12,"Normal","MTCO1P12","Epithelial"
"5","COX2",1.38594800437116e-16,1.15884952369027,0.869,0.395,1.26911258760267e-11,"Normal","COX2","Epithelial"
"7","ND4L",4.81878176307155e-16,1.15589696113408,0.869,0.387,4.41255846044462e-11,"Normal","ND4L","Epithelial"
"8","ND2",6.50129436606185e-16,1.14874530674436,0.869,0.387,5.95323525100284e-11,"Normal","ND2","Epithelial"
"9","FHIT",1.29528761455829e-15,1.37406296616294,0.759,0.372,1.18609486865103e-10,"Normal","FHIT","Epithelial"
"10","MTATP8P1",4.62285285965525e-15,1.0961859890891,0.847,0.379,4.23314636358631e-10,"Normal","MTATP8P1","Epithelial"
"11","ND3",9.88412448325407e-15,1.09773910822815,0.876,0.387,9.05089278931575e-10,"Normal","ND3","Epithelial"
"12","FTX",2.00050220816052e-14,1.31788245357555,0.759,0.407,1.83185987201259e-09,"Normal","FTX","Epithelial"
"13","MTND1P23",3.54592050783371e-14,1.14901302176787,0.803,0.364,3.24699940902333e-09,"Normal","MTND1P23","Epithelial"
"14","MECOM",4.21170186527634e-14,0.965191867167389,0.876,0.628,3.85665539803354e-09,"Normal","MECOM","Epithelial"
"15","ND1",7.92548396689511e-14,1.08739740718834,0.847,0.387,7.25736566848585e-09,"Normal","ND1","Epithelial"
"16","LPP",1.17099757430539e-13,0.77134106804336,0.92,0.723,1.07228247879145e-08,"Normal","LPP","Epithelial"
"17","FOXP1",2.08597485982801e-13,0.819009287474517,0.869,0.711,1.91012717914451e-08,"Normal","FOXP1","Epithelial"
"18","MTATP6P1",2.10250757569999e-13,1.04369539044588,0.832,0.372,1.92526618706848e-08,"Normal","MTATP6P1","Epithelial"
"19","FGD4",2.34252156390703e-13,1.35635037691626,0.679,0.324,2.14504699606967e-08,"Normal","FGD4","Epithelial"
"20","ND5",6.43776144313811e-13,1.04338707861407,0.803,0.372,5.89505815348156e-08,"Normal","ND5","Epithelial"
"21","ND6",6.53314273774992e-13,1.08233659737229,0.788,0.364,5.9823988049576e-08,"Normal","ND6","Epithelial"
"22","AMBRA1",2.06001631689324e-12,1.3144961827263,0.628,0.281,1.88635694137914e-07,"Normal","AMBRA1","Epithelial"
"23","SCHLAP1",2.32950487766869e-12,1.20106758145033,0.693,0.324,2.13312761648122e-07,"Normal","SCHLAP1","Epithelial"
