"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","ZBTB16",7.07392061059884e-19,0.774179752289824,0.624,0.379,6.47758910312536e-14,"Normal","ZBTB16","Fibroblast"
"2","RORA",1.24694234542981e-15,0.53839078506377,0.729,0.557,1.14182510571007e-10,"Normal","RORA","Fibroblast"
"3","PBX1",2.1194548916785e-15,0.641089544482798,0.678,0.542,1.94078484431e-10,"Normal","PBX1","Fibroblast"
"4","MTND1P23",2.22126638553697e-15,0.754492992894089,0.58,0.382,2.0340136292362e-10,"Normal","MTND1P23","Fibroblast"
"5","MTATP6P1",4.11736386807013e-15,0.67574493085621,0.597,0.387,3.77027009399182e-10,"Normal","MTATP6P1","Fibroblast"
"6","MTATP8P1",1.50748606306458e-14,0.641778350874478,0.633,0.435,1.38040498794823e-09,"Normal","MTATP8P1","Fibroblast"
"7","MTCO1P12",2.54917543492012e-14,0.60200678388155,0.64,0.446,2.33427994575636e-09,"Normal","MTCO1P12","Fibroblast"
"8","ARHGAP6",6.15896361470924e-14,1.00010268540408,0.426,0.26,5.63976298198925e-09,"Normal","ARHGAP6","Fibroblast"
"10","ADH1B",1.83393812913904e-13,0.476138927841639,0.784,0.578,1.67933714485262e-08,"Normal","ADH1B","Fibroblast"
"11","SVEP1",3.24233975925739e-13,0.713918577057731,0.566,0.382,2.96901051755199e-08,"Normal","SVEP1","Fibroblast"
"12","GPX3",6.74386274257416e-13,0.521576435313987,0.738,0.679,6.17535511337516e-08,"Normal","GPX3","Fibroblast"
"14","FTX",2.06518331453346e-12,0.531599008678829,0.684,0.509,1.89108836111829e-07,"Normal","FTX","Fibroblast"
"15","CELF2",2.13965240066403e-12,0.463194612076581,0.767,0.642,1.95927970328805e-07,"Normal","CELF2","Fibroblast"
"16","KAZN",2.41816777675772e-12,0.773663760975232,0.537,0.391,2.21431623317704e-07,"Normal","KAZN","Fibroblast"
"17","MIR100HG",2.62310902498834e-12,0.957055775920655,0.371,0.207,2.40198093418182e-07,"Normal","MIR100HG","Fibroblast"
