"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","PLXDC2",2.20629784031735e-52,0.364937332940896,0.934,0.862,2.0203069323786e-47,"Normal","PLXDC2","Macrophages"
"2","TMEM52B",7.5824128943283e-45,0.730757241695275,0.586,0.42,6.94321548733642e-40,"Normal","TMEM52B","Macrophages"
"3","PPARG",1.06062535450336e-43,0.455624333135195,0.814,0.716,9.71214637118726e-39,"Normal","PPARG","Macrophages"
"4","POLR2J3",3.02421837156836e-36,0.627254480508198,0.599,0.448,2.76927676284514e-31,"Normal","POLR2J3","Macrophages"
"5","MCF2L2",2.68402620832211e-35,0.454211078137964,0.767,0.626,2.45776279896056e-30,"Normal","MCF2L2","Macrophages"
"6","MS4A6E",1.58343971228168e-34,0.369946658457508,0.816,0.688,1.44995574453634e-29,"Normal","MS4A6E","Macrophages"
"7","SNHG32",2.64244189645324e-33,0.662776061286252,0.545,0.408,2.41968404458223e-28,"Normal","SNHG32","Macrophages"
"8","SFMBT2",5.51423166144001e-32,0.774878614186518,0.457,0.314,5.04938193238062e-27,"Normal","SFMBT2","Macrophages"
"9","MYO9B",2.78940762438191e-31,0.399775506122618,0.791,0.704,2.55426056164652e-26,"Normal","MYO9B","Macrophages"
"10","PRKCE",1.61379116757638e-30,0.453789392192088,0.742,0.628,1.47774857214969e-25,"Normal","PRKCE","Macrophages"
"11","MAML2",1.36704173551068e-29,0.418732734399799,0.781,0.705,1.25180011720713e-24,"Normal","MAML2","Macrophages"
"12","LOC729732",4.67059794519841e-29,1.05251666935371,0.256,0.131,4.27686653841819e-24,"Normal","LOC729732","Macrophages"
"13","ABR",5.9521963334667e-28,0.446347857163352,0.714,0.609,5.45042618255545e-23,"Normal","ABR","Macrophages"
"14","HSPA1B",1.6333895395101e-26,0.728099879181468,0.442,0.318,1.4956948013294e-21,"Normal","HSPA1B","Macrophages"
