"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"2","MTCO1P12",3.78609646315698e-98,0.473534886353546,0.943,0.717,3.46692853131284e-93,"Normal","MTCO1P12","Monocytes"
"3","COX1",1.25969805209962e-94,0.460159399453644,0.947,0.718,1.15350550630762e-89,"Normal","COX1","Monocytes"
"4","ND1",9.07748061542619e-92,0.473527817095889,0.934,0.705,8.31224899954576e-87,"Normal","ND1","Monocytes"
"5","COX2",2.9604132687554e-90,0.453103683737381,0.947,0.718,2.71085043019932e-85,"Normal","COX2","Monocytes"
"6","ND4L",1.06925397436427e-87,0.451237589069885,0.946,0.716,9.79115864325362e-83,"Normal","ND4L","Monocytes"
"7","FGD4",1.60474282712831e-79,0.536290054722332,0.808,0.67,1.46946300680139e-74,"Normal","FGD4","Monocytes"
"8","MTATP6P1",2.7845864278263e-79,0.505111831476472,0.892,0.667,2.54984579196054e-74,"Normal","MTATP6P1","Monocytes"
"10","ND3",8.68440681730927e-78,0.452057927595011,0.935,0.708,7.9523113226101e-73,"Normal","ND3","Monocytes"
"11","DPYD",9.50337835328161e-78,0.465466930946001,0.871,0.734,8.70224355809997e-73,"Normal","DPYD","Monocytes"
"12","JARID2",2.40316505739921e-77,0.450571880248706,0.896,0.745,2.20057824306045e-72,"Normal","JARID2","Monocytes"
"13","CYTB",6.47304280839752e-77,0.446329215313973,0.937,0.71,5.92736529964961e-72,"Normal","CYTB","Monocytes"
"14","GAB2",1.23487898958483e-74,0.507162378691073,0.838,0.663,1.13077869076282e-69,"Normal","GAB2","Monocytes"
"15","MTATP8P1",1.60369734906511e-74,0.445227104912587,0.923,0.703,1.46850566253892e-69,"Normal","MTATP8P1","Monocytes"
"16","FOXO3",6.32384201200394e-74,0.539936225188809,0.793,0.634,5.79074213039201e-69,"Normal","FOXO3","Monocytes"
"17","ND2",1.17798249825292e-73,0.429858482426337,0.939,0.711,1.0786785736502e-68,"Normal","ND2","Monocytes"
"18","QKI",9.41614440452638e-72,0.478796264746142,0.816,0.709,8.62236343122481e-67,"Normal","QKI","Monocytes"
"19","SNHG5",1.00079116617246e-70,0.848074300010466,0.546,0.345,9.1642447086412e-66,"Normal","SNHG5","Monocytes"
"20","PLXDC2",1.56447317750409e-70,0.532056394527618,0.8,0.661,1.4325880886405e-65,"Normal","PLXDC2","Monocytes"
"21","USP36",4.12237049858208e-68,0.873561731914625,0.532,0.335,3.77485466555161e-63,"Normal","USP36","Monocytes"
"22","MTND1P23",7.26446506748581e-68,0.4930268616106,0.835,0.647,6.65207066229675e-63,"Normal","MTND1P23","Monocytes"
"23","ZFAND3",3.08410635871266e-65,0.474250072470879,0.831,0.67,2.82411619267318e-60,"Normal","ZFAND3","Monocytes"
"24","DOCK4",3.1080477304454e-65,0.503435072419502,0.803,0.589,2.84603930676885e-60,"Normal","DOCK4","Monocytes"
