"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"2","MTCO1P12",7.31925097120992e-89,1.12349503914306,0.7,0.309,6.70223811433692e-84,"Normal","MTCO1P12","NK+T"
"5","MTATP8P1",3.37277559911197e-76,1.09442680498532,0.626,0.279,3.08845061610683e-71,"Normal","MTATP8P1","NK+T"
"6","MTND4P12",3.52333975455951e-76,3.16314187941878,0.185,0.015,3.22632221325014e-71,"Normal","MTND4P12","NK+T"
"7","ND4L",4.85910072791999e-76,1.07655967333213,0.707,0.404,4.44947853655634e-71,"Normal","ND4L","NK+T"
"14","STEAP1B",7.50739228425904e-70,1.11377619173488,0.604,0.288,6.874519114696e-65,"Normal","STEAP1B","NK+T"
"15","SCHLAP1",1.8384883431046e-69,1.20423562828359,0.516,0.211,1.68350377578088e-64,"Normal","SCHLAP1","NK+T"
"16","PLEKHA6",1.81718443854476e-68,1.3948944883673,0.435,0.161,1.66399579037544e-63,"Normal","PLEKHA6","NK+T"
"18","CCSER1",1.77004756841452e-67,1.0846810581272,0.581,0.263,1.62083255839717e-62,"Normal","CCSER1","NK+T"
"21","SIK3",6.86266961467604e-65,1.03722086603062,0.636,0.353,6.28414656615885e-60,"Normal","SIK3","NK+T"
"26","ND2",4.29764456725575e-62,0.843933644443596,0.697,0.411,3.93535313023609e-57,"Normal","ND2","NK+T"
"29","MGC4859",5.0525672058712e-60,1.76851249653461,0.276,0.072,4.62663579041626e-55,"Normal","MGC4859","NK+T"
"30","SNHG5",1.43281984377945e-59,1.344141708446,0.392,0.143,1.31203313094884e-54,"Normal","SNHG5","NK+T"
"31","ND3",1.03106446191303e-58,0.849601974579683,0.671,0.404,9.44145727773759e-54,"Normal","ND3","NK+T"
"32","NPIPB4",1.1046028832762e-58,1.13845884160585,0.494,0.217,1.01148486021602e-53,"Normal","NPIPB4","NK+T"
"33","COX1",1.17476512499086e-58,0.797316986161482,0.712,0.418,1.07573242495413e-53,"Normal","COX1","NK+T"
"34","PPP1R16B",1.23139879419451e-58,1.09149198790628,0.522,0.244,1.12759187584391e-53,"Normal","PPP1R16B","NK+T"
"35","DGKI",1.42014943621305e-58,1.15855893687195,0.477,0.207,1.30043083874029e-53,"Normal","DGKI","NK+T"
"36","MIR1244-2",1.65616466951638e-57,1.15796570710192,0.469,0.199,1.51654998787615e-52,"Normal","MIR1244-2","NK+T"
"37","IL6ST",6.61144506345985e-57,0.831063213783664,0.731,0.503,6.05410024461019e-52,"Normal","IL6ST","NK+T"
"38","EEF1G",1.00926061074907e-56,1.11837539957119,0.508,0.239,9.24179941262923e-52,"Normal","EEF1G","NK+T"
"40","MTND1P23",6.19695010334757e-56,1.09323647771014,0.478,0.206,5.67454720963537e-51,"Normal","MTND1P23","NK+T"
"42","COX2",1.33199727163721e-55,0.780070760927187,0.712,0.418,1.21970990163819e-50,"Normal","COX2","NK+T"
"45","PLEKHA7",5.16518596417964e-54,1.10415426330492,0.463,0.198,4.72976078739929e-49,"Normal","PLEKHA7","NK+T"
"46","MTCO2P12",1.70395541878616e-53,1.22127212202415,0.402,0.158,1.56031197698248e-48,"Normal","MTCO2P12","NK+T"
"47","DENND4A",3.9270459495104e-53,0.912118808680638,0.611,0.338,3.59599597596667e-48,"Normal","DENND4A","NK+T"
"48","CYTB",1.43146681588585e-52,0.784546306820916,0.687,0.406,1.31079416330668e-47,"Normal","CYTB","NK+T"
"49","MTATP6P1",1.88888753635689e-52,1.03411714314396,0.503,0.233,1.729654317042e-47,"Normal","MTATP6P1","NK+T"
"50","NPIPB3",1.39797841125092e-51,1.16635607525222,0.42,0.176,1.28012883118246e-46,"Normal","NPIPB3","NK+T"
"51","GAS5",2.32008014887059e-51,1.34919569331784,0.348,0.128,2.1244973923208e-46,"Normal","GAS5","NK+T"
"53","NPIPB5",5.97660452045927e-49,1.01989275795287,0.509,0.257,5.47277675938456e-44,"Normal","NPIPB5","NK+T"
"54","ND1",1.46639546779896e-48,0.766156152257105,0.652,0.393,1.34277832986351e-43,"Normal","ND1","NK+T"
"55","ARHGAP15",3.72644805102138e-48,0.811632541911617,0.652,0.393,3.41230848032028e-43,"Normal","ARHGAP15","NK+T"
"56","DTWD2",5.50585669585087e-48,1.14324854626312,0.408,0.173,5.04171297639064e-43,"Normal","DTWD2","NK+T"
"57","ATXN1",8.00926344007707e-48,0.895751434276891,0.602,0.35,7.33408253207857e-43,"Normal","ATXN1","NK+T"
"58","SNHG31",1.11467985280306e-47,1.01096460295547,0.461,0.209,1.02071234121176e-42,"Normal","SNHG31","NK+T"
"59","CBLB",1.20790905127624e-47,0.850636243759969,0.636,0.375,1.10608231825365e-42,"Normal","CBLB","NK+T"
"60","RABGAP1L",1.78260021766067e-47,0.902063066921794,0.578,0.323,1.63232701931188e-42,"Normal","RABGAP1L","NK+T"
"61","H3-3B",2.03699604976795e-47,0.8347778075978,0.592,0.356,1.86527728277251e-42,"Normal","H3-3B","NK+T"
"62","RBFOX2",4.90796133886879e-47,0.952299400265644,0.614,0.376,4.49422019800216e-42,"Normal","RBFOX2","NK+T"
"63","CNOT6L",1.79203353867047e-46,0.686425791353155,0.748,0.523,1.64096511136055e-41,"Normal","CNOT6L","NK+T"
"64","PDXDC2P-NPIPB14P",1.92807336076715e-46,1.19179952527975,0.361,0.143,1.76553677645448e-41,"Normal","PDXDC2P-NPIPB14P","NK+T"
"66","RORA-AS1",6.72400368889925e-46,1.24309764465005,0.361,0.148,6.15717017792505e-41,"Normal","RORA-AS1","NK+T"
"67","PRKCH",7.82406154443535e-46,0.720752772207637,0.687,0.398,7.16449315623945e-41,"Normal","PRKCH","NK+T"
"68","TXNRD1",3.13014714318708e-45,0.950679285392789,0.579,0.375,2.86627573901641e-40,"Normal","TXNRD1","NK+T"
"70","ARMC9",8.41215713515509e-45,0.872172831954611,0.558,0.281,7.70301228866152e-40,"Normal","ARMC9","NK+T"
"71","BCL2L14",1.21716937017594e-44,1.13679502326179,0.345,0.134,1.11456199227011e-39,"Normal","BCL2L14","NK+T"
"72","FOXN3",4.35778108362988e-44,0.778599874368581,0.656,0.423,3.99042013827988e-39,"Normal","FOXN3","NK+T"
"73","PARP8",4.86746850648187e-44,0.763566997065273,0.662,0.409,4.45714091138545e-39,"Normal","PARP8","NK+T"
"74","CDC42SE2",6.55168236648059e-44,0.666293502457719,0.773,0.572,5.99937554298627e-39,"Normal","CDC42SE2","NK+T"
"75","KDM6A",2.57206844997721e-43,1.05890240568045,0.432,0.206,2.35524307964413e-38,"Normal","KDM6A","NK+T"
"77","CLVS1",5.21222194903818e-43,1.20141204447823,0.331,0.128,4.77283163873426e-38,"Normal","CLVS1","NK+T"
"78","SMG1P3",5.6498019235596e-43,1.15660544538097,0.362,0.151,5.17352362140353e-38,"Normal","SMG1P3","NK+T"
"79","CYTH1",5.30529561171788e-42,0.776121398249822,0.624,0.378,4.85805919165007e-37,"Normal","CYTH1","NK+T"
"80","AMBRA1",5.87799569850875e-42,1.05763971628907,0.427,0.204,5.38248066112446e-37,"Normal","AMBRA1","NK+T"
"81","AOAH",3.70653911954187e-41,0.964410771380184,0.457,0.227,3.39407787176449e-36,"Normal","AOAH","NK+T"
"83","TSPAN9",8.01549431403112e-41,1.37160405289637,0.299,0.117,7.33978814335829e-36,"Normal","TSPAN9","NK+T"
"86","CHST11",3.01737586177599e-39,0.805936756556873,0.585,0.344,2.76301107662827e-34,"Normal","CHST11","NK+T"
"90","ARHGAP26",1.35162157001367e-37,0.889961137630325,0.459,0.237,1.23767987166152e-32,"Normal","ARHGAP26","NK+T"
"91","SLFN12L",3.52783051326726e-37,1.03260575302016,0.385,0.185,3.23043440099883e-32,"Normal","SLFN12L","NK+T"
"92","PBX4",3.88723821540823e-37,0.997911239902337,0.403,0.198,3.55954403384931e-32,"Normal","PBX4","NK+T"
"93","LOC101928626",7.77604834435765e-37,0.895942757413939,0.421,0.203,7.1205274689283e-32,"Normal","LOC101928626","NK+T"
"94","ND5",1.23316522814088e-36,0.85399390533238,0.517,0.329,1.1292093994086e-31,"Normal","ND5","NK+T"
"95","RIPOR2",1.25055627018114e-36,0.897871810767181,0.467,0.25,1.14513437660487e-31,"Normal","RIPOR2","NK+T"
"96","PITPNC1",1.53988509060623e-36,0.716578417716164,0.648,0.454,1.41007277746813e-31,"Normal","PITPNC1","NK+T"
"97","NIBAN1",7.5835403739955e-36,1.13872325784558,0.412,0.224,6.94424792046768e-31,"Normal","NIBAN1","NK+T"
"98","MIR4300HG",9.52279263214581e-36,1.1119224831634,0.313,0.132,8.72002121325592e-31,"Normal","MIR4300HG","NK+T"
"100","PIP4K2A",1.30822110546057e-35,0.653147073677288,0.697,0.499,1.19793806627024e-30,"Normal","PIP4K2A","NK+T"
"101","SMG1P1",1.35559938244049e-35,0.947956657677017,0.389,0.187,1.24132235450076e-30,"Normal","SMG1P1","NK+T"
"102","EEF1B2P6",3.21448598470075e-35,1.11093168931158,0.313,0.133,2.94350481619048e-30,"Normal","EEF1B2P6","NK+T"
"103","IQGAP2",4.2850397649395e-35,0.594163772591636,0.696,0.451,3.9238109127551e-30,"Normal","IQGAP2","NK+T"
"107","POLR2J4",1.98254384818694e-33,1.21634387168672,0.269,0.108,1.81541540178478e-28,"Normal","POLR2J4","NK+T"
"108","ARL15",4.65942263541027e-33,1.11509989367789,0.319,0.144,4.26663330724518e-28,"Normal","ARL15","NK+T"
"109","MBNL1",5.30596778264546e-33,0.545226690869023,0.769,0.616,4.85867469856845e-28,"Normal","MBNL1","NK+T"
"110","FOXO1",1.68136659498088e-32,0.813887676887218,0.486,0.283,1.53962739102399e-27,"Normal","FOXO1","NK+T"
"111","SNHG6",2.9356927682153e-32,1.16201045397489,0.258,0.103,2.68821386785475e-27,"Normal","SNHG6","NK+T"
"112","CAMK1D",3.30338612858844e-32,0.936984475694519,0.401,0.209,3.02491067794843e-27,"Normal","CAMK1D","NK+T"
"113","STAT4",4.3688233816732e-32,0.655851491795936,0.583,0.356,4.00053157059815e-27,"Normal","STAT4","NK+T"
"114","NCOA2",1.33621313505466e-31,0.994693541790355,0.393,0.212,1.22357036776955e-26,"Normal","NCOA2","NK+T"
"115","PCED1B-AS1",2.8328934069397e-31,1.17904877699173,0.239,0.091,2.59408049273468e-26,"Normal","PCED1B-AS1","NK+T"
"116","PTPRJ",1.56777623129953e-30,0.811531633669934,0.446,0.25,1.43561269500098e-25,"Normal","PTPRJ","NK+T"
"117","TVP23C-CDRT4",1.61035335537275e-30,1.54362180544631,0.155,0.042,1.47460056751483e-25,"Normal","TVP23C-CDRT4","NK+T"
