"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"2","ND3",3.72491302993578e-36,0.677389771567458,0.897,0.601,3.41090286151219e-31,"Normal","ND3","Plasma+B"
"3","COX1",6.53652646422768e-36,0.657185554559036,0.913,0.618,5.98549728329329e-31,"Normal","COX1","Plasma+B"
"4","EEF1G",2.6236514171597e-33,0.679917356513493,0.779,0.55,2.40247760269314e-28,"Normal","EEF1G","Plasma+B"
"6","MTATP8P1",4.80883542048308e-32,0.680046122723049,0.845,0.574,4.40345059453636e-27,"Normal","MTATP8P1","Plasma+B"
"7","ND2",6.21223606048614e-32,0.6326401371756,0.903,0.611,5.68854456058716e-27,"Normal","ND2","Plasma+B"
"8","ND4L",1.2622262011711e-31,0.627588530278833,0.908,0.616,1.15582053241238e-26,"Normal","ND4L","Plasma+B"
"9","MTATP6P1",3.12558626068652e-31,0.762230557883643,0.779,0.493,2.86209933891064e-26,"Normal","MTATP6P1","Plasma+B"
"12","MTCO1P12",5.97432849052788e-30,0.634483498788426,0.908,0.615,5.47069259877638e-25,"Normal","MTCO1P12","Plasma+B"
"14","STEAP1B",4.03513061090609e-29,0.618257212526627,0.808,0.567,3.6949691004067e-24,"Normal","STEAP1B","Plasma+B"
"16","COX2",1.25495421057382e-28,0.602727640551367,0.908,0.619,1.14916157062245e-23,"Normal","COX2","Plasma+B"
"17","TXNRD1",1.72262993374042e-27,0.622926025287598,0.802,0.56,1.57741223032611e-22,"Normal","TXNRD1","Plasma+B"
"18","IL6ST",2.97254358851234e-27,0.552399660953544,0.89,0.644,2.72195816400075e-22,"Normal","IL6ST","Plasma+B"
"19","MIR1244-2",6.43010457448232e-27,0.727268447348384,0.697,0.457,5.88804675885346e-22,"Normal","MIR1244-2","Plasma+B"
"20","H3-3B",1.7549365414178e-26,0.734848700167703,0.697,0.458,1.60699539097628e-21,"Normal","H3-3B","Plasma+B"
"21","APOC1",2.13923643720654e-26,1.29309001840449,0.408,0.18,1.95889880555003e-21,"Normal","APOC1","Plasma+B"
"24","CYTB",3.13818945939415e-25,0.575697952114862,0.89,0.612,2.87364008796723e-20,"Normal","CYTB","Plasma+B"
"25","SNHG5",5.34829462310887e-24,0.942531277084498,0.534,0.307,4.89743338638079e-19,"Normal","SNHG5","Plasma+B"
"28","ST6GAL1",5.72682635471359e-23,0.648855361098705,0.752,0.527,5.24405489301123e-18,"Normal","ST6GAL1","Plasma+B"
"30","SNHG31",2.62759066868305e-22,0.655852273110177,0.69,0.474,2.40608477531307e-17,"Normal","SNHG31","Plasma+B"
"31","ND1",6.68579785938747e-22,0.562647931270737,0.885,0.601,6.12218509984111e-17,"Normal","ND1","Plasma+B"
"34","MTND4P12",2.7272636007994e-20,2.12955501598441,0.19,0.053,2.49735527925201e-15,"Normal","MTND4P12","Plasma+B"
"35","CHCHD3",2.9002739981242e-20,0.621137540633391,0.705,0.5,2.65578090008233e-15,"Normal","CHCHD3","Plasma+B"
"37","SIK3",2.22699305422063e-19,0.518759684588701,0.802,0.593,2.03925753974983e-14,"Normal","SIK3","Plasma+B"
"38","CLVS1",3.76364662959875e-19,0.78999272843934,0.54,0.328,3.44637121872358e-14,"Normal","CLVS1","Plasma+B"
"39","CORO1B",4.29785202786866e-19,0.793511918748779,0.555,0.351,3.93554310191933e-14,"Normal","CORO1B","Plasma+B"
"41","MTND1P23",4.74758752138815e-19,0.629825071531559,0.718,0.494,4.34736589333512e-14,"Normal","MTND1P23","Plasma+B"
"42","DTWD2",1.33670193138279e-18,0.670226140935194,0.613,0.4,1.22401795856722e-13,"Normal","DTWD2","Plasma+B"
"43","RBFOX2",1.39069638807011e-18,0.499621219860996,0.805,0.582,1.2734606825558e-13,"Normal","RBFOX2","Plasma+B"
"44","ND5",1.44095899178963e-18,0.673818845633917,0.679,0.472,1.31948614878177e-13,"Normal","ND5","Plasma+B"
"46","SCHLAP1",2.17891669609822e-18,0.61069672847464,0.71,0.473,1.99523401861714e-13,"Normal","SCHLAP1","Plasma+B"
"48","SNHG6",2.67824880911394e-17,0.932276646483002,0.427,0.237,2.45247243450563e-12,"Normal","SNHG6","Plasma+B"
"49","AFF3",4.52512796789954e-17,0.609768386651253,0.711,0.5,4.1436596802056e-12,"Normal","AFF3","Plasma+B"
"50","OSBPL10",8.23625532738025e-17,0.753237349531883,0.537,0.334,7.54193900328209e-12,"Normal","OSBPL10","Plasma+B"
"51","GAS5",9.8483770960484e-17,0.694250266738492,0.561,0.369,9.01815890685152e-12,"Normal","GAS5","Plasma+B"
"52","ARHGAP15",1.10778584405053e-16,0.517741905330234,0.779,0.572,1.01439949739707e-11,"Normal","ARHGAP15","Plasma+B"
"54","PRKCB",2.28720182273217e-16,0.533863710754368,0.724,0.569,2.09439070907584e-11,"Normal","PRKCB","Plasma+B"
"55","EEF1B2P6",3.84526693115751e-16,0.629978960880679,0.594,0.409,3.52111092886093e-11,"Normal","EEF1B2P6","Plasma+B"
