"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","MTATP6P1",2.52021753972095e-16,1.19557511719507,0.712,0.301,2.30776320112247e-11,"Normal","MTATP6P1","Stromal"
"2","COX1",3.01664045586925e-16,1.08396571809089,0.79,0.38,2.76233766543947e-11,"Normal","COX1","Stromal"
"3","MTCO1P12",1.82417625419678e-15,1.07045919675551,0.773,0.376,1.67039819596799e-10,"Normal","MTCO1P12","Stromal"
"4","COX2",3.31010990993807e-15,1.07167750401382,0.786,0.376,3.03106764453029e-10,"Normal","COX2","Stromal"
"6","MTATP8P1",3.01603716065464e-14,1.0589344530692,0.747,0.362,2.76178522801146e-09,"Normal","MTATP8P1","Stromal"
"7","CYTB",3.46420729554727e-14,1.03266596385611,0.782,0.38,3.17217462053264e-09,"Normal","CYTB","Stromal"
"9","ND4L",1.22444614169526e-13,1.01167963004872,0.782,0.376,1.12122533195035e-08,"Normal","ND4L","Stromal"
"10","ND2",1.6385688929566e-13,1.00231014863296,0.773,0.371,1.50043753528036e-08,"Normal","ND2","Stromal"
"11","SEPTIN7",5.28998624940362e-13,1.45618783848215,0.537,0.214,4.8440404085789e-08,"Normal","SEPTIN7","Stromal"
"12","MIR1244-2",6.32504434148441e-13,1.22687521297147,0.585,0.253,5.79184310349727e-08,"Normal","MIR1244-2","Stromal"
"13","POLR2J3",2.07242767591344e-12,1.85550169809297,0.419,0.131,1.89772202283393e-07,"Normal","POLR2J3","Stromal"
"14","ND1",2.96569597500378e-12,0.930457953362255,0.769,0.376,2.71568780431096e-07,"Normal","ND1","Stromal"
"15","CCSER1",3.75362213137027e-12,1.10731101616972,0.646,0.306,3.43719178569576e-07,"Normal","CCSER1","Stromal"
"16","ND3",1.20699134688499e-11,0.907705442305451,0.751,0.358,1.10524197634258e-06,"Normal","ND3","Stromal"
"17","ND5",1.37515813392019e-11,0.958509392175436,0.677,0.319,1.25923230323072e-06,"Normal","ND5","Stromal"
"18","PTPRG",2.155780853363e-11,0.884661487994567,0.777,0.463,1.9740485274245e-06,"Normal","PTPRG","Stromal"
"19","H2AJ",3.27164517566385e-11,1.79529549990271,0.389,0.122,2.99584548735539e-06,"Normal","H2AJ","Stromal"
"20","MTND1P23",3.67604496369547e-11,0.985337237479988,0.677,0.332,3.36615437325594e-06,"Normal","MTND1P23","Stromal"
"21","SCHLAP1",6.37759127962132e-11,1.03132170221361,0.624,0.279,5.83996033474924e-06,"Normal","SCHLAP1","Stromal"
"22","LARGE1",6.87710706742221e-11,1.39737070574292,0.493,0.214,6.29736694163852e-06,"Normal","LARGE1","Stromal"
"23","STEAP1B",2.12879926233954e-10,0.918585251574022,0.659,0.332,1.94934148452432e-05,"Normal","STEAP1B","Stromal"
"24","GABARAP",2.37158427247909e-10,1.14593718460865,0.528,0.231,2.1716597183091e-05,"Normal","GABARAP","Stromal"
"25","BCL2L14",2.90531188094371e-10,1.08436593689473,0.515,0.21,2.66039408938016e-05,"Normal","BCL2L14","Stromal"
"29","ASAP1",8.986707270462e-10,0.892238416505617,0.686,0.437,8.22912784756206e-05,"Normal","ASAP1","Stromal"
"30","MICOS10",1.39580952814494e-09,1.1724173988307,0.467,0.192,0.000127814278492232,"Normal","MICOS10","Stromal"
"31","CACNA1C",1.98758060828005e-09,0.914229254336137,0.672,0.406,0.000182002756300204,"Normal","CACNA1C","Stromal"
"33","MRTFA",3.51404996141676e-09,1.06596663489954,0.502,0.227,0.000321781554966933,"Normal","MRTFA","Stromal"
"34","PARD3B",3.8253577715777e-09,1.19864840013542,0.507,0.245,0.00035028801114337,"Normal","PARD3B","Stromal"
"35","POLR2J4",4.0768827489729e-09,1.39562261431343,0.38,0.131,0.000373320153323448,"Normal","POLR2J4","Stromal"
"36","SYN3",5.55682537646747e-09,1.42329311015132,0.384,0.144,0.000508838499723126,"Normal","SYN3","Stromal"
"37","NEDD8-MDP1",5.56112875026049e-09,1.30918001064025,0.376,0.135,0.000509232559661353,"Normal","NEDD8-MDP1","Stromal"
"38","ANKRD10",6.52795503924537e-09,1.03722574225139,0.603,0.371,0.000597764842943699,"Normal","ANKRD10","Stromal"
"39","SNHG5",6.89272924283964e-09,1.09053361033658,0.406,0.148,0.000631167216766826,"Normal","SNHG5","Stromal"
